site_id,sensor,period,valid_frac,B2,B3,B4,B8,B11,B12,NDVI,NDWI,VV,VH,VV_minus_VH
treatment_0001,sentinel2,before,1.0,0.03401241451501846,0.05723898485302925,0.04046350717544556,0.346731960773468,0.20181027054786682,0.09667311608791351,0.7957481145858765,-0.7197359204292297,,,
treatment_0001,sentinel2,after,1.0,0.020947366952896118,0.04594361409544945,0.034823227673769,0.306901752948761,0.19191661477088928,0.0957588329911232,0.7952630519866943,-0.7422292232513428,,,
treatment_0001,sentinel2,change,1.0,-0.013065047562122345,-0.011295371688902378,-0.005640280432999134,-0.03983024135231972,-0.009893623180687428,-0.0009142826311290264,-0.0004850908590015024,-0.02249334007501602,,,
treatment_0001,sentinel1,before,1.0,,,,,,,,,-10.203109741210938,-16.393932342529297,6.190822124481201
treatment_0001,sentinel1,after,0.9992157631604744,,,,,,,,,-10.264698028564453,-16.115251541137695,5.8505539894104
treatment_0001,sentinel1,change,0.9992157631604744,,,,,,,,,-0.06620761752128601,0.2741466462612152,-0.34035420417785645
treatment_0002,sentinel2,before,1.0,0.026975316926836967,0.04736637324094772,0.030808228999376297,0.3456566035747528,0.17856432497501373,0.08248782902956009,0.8331030607223511,-0.755618691444397,,,
treatment_0002,sentinel2,after,1.0,0.01844385825097561,0.04141629487276077,0.03565068915486336,0.2656002640724182,0.18552210927009583,0.09486991167068481,0.7619031667709351,-0.7297831773757935,,,
treatment_0002,sentinel2,change,1.0,-0.008531457744538784,-0.005950083024799824,0.0048424615524709225,-0.08005629479885101,0.006957788020372391,0.01238206960260868,-0.0711999163031578,0.02583557926118374,,,
treatment_0002,sentinel1,before,1.0,,,,,,,,,-10.036641120910645,-16.426855087280273,6.390213966369629
treatment_0002,sentinel1,after,0.9997059111851779,,,,,,,,,-9.908491134643555,-15.819382667541504,5.910891532897949
treatment_0002,sentinel1,change,0.9997059111851779,,,,,,,,,0.12616334855556488,0.6057517528533936,-0.47958841919898987
treatment_0003,sentinel2,before,1.0,0.03131565824151039,0.05216711014509201,0.027203401550650597,0.3795389235019684,0.1673058271408081,0.06661587953567505,0.8657075762748718,-0.7573798894882202,,,
treatment_0003,sentinel2,after,1.0,0.014661621302366257,0.03963765874505043,0.024851525202393532,0.3108483850955963,0.15076258778572083,0.06443898379802704,0.8487901091575623,-0.7722944617271423,,,
treatment_0003,sentinel2,change,1.0,-0.016654033213853836,-0.012529454194009304,-0.0023518772795796394,-0.06869054585695267,-0.016543250530958176,-0.0021768943406641483,-0.016917504370212555,-0.014914579689502716,,,
treatment_0003,sentinel1,before,1.0,,,,,,,,,-9.193355560302734,-15.526394844055176,6.333038806915283
treatment_0003,sentinel1,after,1.0,,,,,,,,,-9.609646797180176,-15.663667678833008,6.054020404815674
treatment_0003,sentinel1,change,1.0,,,,,,,,,-0.4162914752960205,-0.13727392256259918,-0.2790175676345825
treatment_0004,sentinel2,before,0.9900990099009901,0.051837313920259476,0.07203711569309235,0.054331544786691666,0.3351864516735077,0.2204858660697937,0.11448744684457779,0.7239543795585632,-0.6468177437782288,,,
treatment_0004,sentinel2,after,0.9900990099009901,0.02786543220281601,0.05239254608750343,0.04156497120857239,0.3066859245300293,0.20483964681625366,0.10643815994262695,0.7621799111366272,-0.7095075249671936,,,
treatment_0004,sentinel2,change,0.9900990099009901,-0.023971887305378914,-0.019644569605588913,-0.012766574509441853,-0.028500493615865707,-0.015646208077669144,-0.008049297146499157,0.03822554647922516,-0.06268974393606186,,,
treatment_0004,sentinel1,before,0.9900990099009901,,,,,,,,,-10.64382266998291,-16.787641525268555,6.143819808959961
treatment_0004,sentinel1,after,0.9900990099009901,,,,,,,,,-10.847456932067871,-16.863508224487305,6.016053676605225
treatment_0004,sentinel1,change,0.9900990099009901,,,,,,,,,-0.20363380014896393,-0.07586719840765,-0.12776659429073334
treatment_0005,sentinel2,before,1.0,0.03896027430891991,0.0554194375872612,0.039828382432460785,0.3218294084072113,0.18369616568088531,0.08643987774848938,0.7916970252990723,-0.7130169868469238,,,
treatment_0005,sentinel2,after,1.0,0.024791931733489037,0.0444471575319767,0.03806804120540619,0.26267722249031067,0.181850403547287,0.09186405688524246,0.7738378643989563,-0.7309293150901794,,,
treatment_0005,sentinel2,change,1.0,-0.014168341644108295,-0.010972278192639351,-0.0017603420419618487,-0.059152208268642426,-0.0018457649275660515,0.005424179136753082,-0.017859183251857758,-0.017912322655320168,,,
treatment_0005,sentinel1,before,1.0,,,,,,,,,-9.974494934082031,-16.219436645507812,6.244940757751465
treatment_0005,sentinel1,after,1.0,,,,,,,,,-10.23206615447998,-16.26129722595215,6.029230117797852
treatment_0005,sentinel1,change,1.0,,,,,,,,,-0.2575717866420746,-0.04186081886291504,-0.21571093797683716
treatment_0006,sentinel2,before,1.0,0.037911511957645416,0.056047581136226654,0.03842247277498245,0.35175028443336487,0.18825805187225342,0.09144365787506104,0.8033931255340576,-0.724417507648468,,,
treatment_0006,sentinel2,after,1.0,0.021901557222008705,0.04337089881300926,0.04149049520492554,0.26565754413604736,0.19458138942718506,0.10171788185834885,0.7315897941589355,-0.7227857708930969,,,
treatment_0006,sentinel2,change,1.0,-0.016009951010346413,-0.012676683254539967,0.0030680226627737284,-0.08609273284673691,0.006323341280221939,0.01027422770857811,-0.0718032494187355,0.00163176073692739,,,
treatment_0006,sentinel1,before,1.0,,,,,,,,,-10.525997161865234,-17.068605422973633,6.542609214782715
treatment_0006,sentinel1,after,1.0,,,,,,,,,-10.498551368713379,-16.24568748474121,5.747134685516357
treatment_0006,sentinel1,change,1.0,,,,,,,,,0.0274448674172163,0.8229198455810547,-0.7954750061035156
