site_id,sensor,band,valid_before,valid_after,valid_both,chg_p01,chg_p05,chg_p50,chg_p95,chg_p99,frac_below_t1,frac_below_t2
counterfactual_0002_03,sentinel1,VV,1.0,0.9998039407901186,0.9998039407901186,-5.787360248565673,-3.861152601242065,0.007042884826660156,3.7800718307495127,5.189156398773197,0.18531228551818807,0.04480831454064124
counterfactual_0002_04,sentinel2,NDVI,1.0,1.0,1.0,-0.4773454964160919,-0.24019140005111694,-0.016477644443511963,0.15749633312225342,0.2077987790107727,0.23321243015390647,0.06969904911283208
counterfactual_0002_04,sentinel1,VV,1.0,0.9999019703950593,0.9999019703950593,-5.337608051300049,-3.7465527296066283,0.053315162658691406,3.8308317184448235,5.457234363555911,0.18519607843137256,0.04049019607843137
counterfactual_0002_05,sentinel2,NDVI,1.0,1.0,1.0,-0.26014387607574463,-0.20853149890899658,-0.057279229164123535,0.12921136617660522,0.24473077058792114,0.3060484266248407,0.05901382217429664
counterfactual_0002_05,sentinel1,VV,1.0,1.0,1.0,-5.615901947021484,-3.855344772338867,0.1078948974609375,3.650914192199707,5.19599723815918,0.18772669346142534,0.0446034702480149
counterfactual_0002_06,sentinel2,NDVI,1.0,1.0,1.0,-0.20476925373077393,-0.15739941596984863,-0.03140723705291748,0.1335354447364807,0.21696823835372925,0.14812273306538576,0.0136261150867562
counterfactual_0002_06,sentinel1,VV,1.0,0.9992157631604744,0.9992157631604744,-5.865626811981201,-4.126315116882324,-0.09113883972167969,3.7905660629272453,5.4096187210083,0.21122338860001963,0.05582262336897871
counterfactual_0002_07,sentinel2,NDVI,1.0,1.0,1.0,-0.2823055386543274,-0.17395520210266113,-0.06256318092346191,0.03386598825454712,0.07092112302780151,0.2590922458582492,0.030585236741495932
counterfactual_0002_07,sentinel1,VV,1.0,0.9998039407901186,0.9998039407901186,-6.008706340789795,-4.237184619903564,-0.16844558715820312,3.354641151428223,4.8579334354400645,0.2236493773899402,0.06098637121286401
counterfactual_0002_08,sentinel2,NDVI,1.0,1.0,1.0,-0.30797451734542847,-0.20398402214050293,-0.07101833820343018,0.031158626079559326,0.2183423638343811,0.34173120282325264,0.053034016272914423
counterfactual_0002_08,sentinel1,VV,1.0,0.9995098519752965,0.9995098519752965,-5.726963329315185,-3.802089214324951,0.18868350982666016,3.94974148273468,5.425339341163616,0.18311102393095333,0.043742644174185955
counterfactual_0002_09,sentinel2,NDVI,1.0,1.0,1.0,-0.34517091512680054,-0.23189955949783325,-0.0706663727760315,0.08865392208099365,0.15921485424041748,0.3615331830212724,0.08999117733555534
counterfactual_0002_09,sentinel1,VV,1.0,1.0,1.0,-5.934083938598633,-4.15926456451416,-0.2186737060546875,3.682253837585449,5.389796257019043,0.22978139398098227,0.057543378100186254
counterfactual_0002_10,sentinel2,NDVI,1.0,1.0,1.0,-0.2326175570487976,-0.16274374723434448,-0.027897417545318604,0.11365973949432373,0.20174580812454224,0.16576806195471033,0.021860601901774336
counterfactual_0002_10,sentinel1,VV,1.0,1.0,1.0,-5.500743865966797,-3.622732162475586,0.19556427001953125,3.7386646270751953,5.185001373291016,0.16949318694245663,0.03627095382805607
counterfactual_0003_01,sentinel2,NDVI,1.0,1.0,1.0,-0.20270878076553345,-0.15771150588989258,-0.048497796058654785,0.11294984817504883,0.316051721572876,0.2032153710420547,0.010881286148416823
counterfactual_0003_01,sentinel1,VV,1.0,1.0,1.0,-3.8406505584716797,-2.644679069519043,-0.17293167114257812,2.1483078002929688,3.131105422973633,0.11204783844721106,0.00794039800019606
counterfactual_0003_02,sentinel2,NDVI,0.9900990099009901,0.9900990099009901,0.9900990099009901,-0.3075402331352234,-0.23102933168411255,-0.05309054255485535,0.17237882018089293,0.2828574854135526,0.28277227722772275,0.08257425742574258
counterfactual_0003_02,sentinel1,VV,0.9900990099009901,0.9900990099009901,0.9900990099009901,-4.087296090126038,-2.7925941467285154,-0.19112396240234375,2.3122295856475823,3.534557218551637,0.12504950495049505,0.012178217821782179
counterfactual_0003_03,sentinel2,NDVI,1.0,1.0,1.0,-0.26405757665634155,-0.1900928020477295,-0.06557321548461914,0.13869524002075195,0.31894102692604065,0.2959513773159494,0.039211841976276834
counterfactual_0003_03,sentinel1,VV,1.0,1.0,1.0,-3.922278881072998,-2.7473411560058594,-0.19472503662109375,2.2941675186157227,3.4610114097595215,0.12106656210175473,0.009312812469365748
counterfactual_0003_04,sentinel2,NDVI,1.0,1.0,1.0,-0.23394060134887695,-0.17471319437026978,-0.0511777400970459,0.0006330013275146484,0.018638908863067627,0.2233114400548966,0.029800999901970396
counterfactual_0003_04,sentinel1,VV,1.0,1.0,1.0,-4.012241840362549,-2.769742965698242,-0.2963881492614746,2.063718795776367,3.009042263031006,0.12969316733653563,0.010097049308891284
counterfactual_0003_05,sentinel2,NDVI,1.0,1.0,1.0,-0.1819959282875061,-0.13851934671401978,-0.053921282291412354,0.006118178367614746,0.09322798252105713,0.1496912067444368,0.004803450642093913
counterfactual_0003_05,sentinel1,VV,1.0,1.0,1.0,-5.655506134033203,-4.000347137451172,-0.09473991394042969,3.452641487121582,4.828424453735352,0.2006666013135967,0.05028918733457504
counterfactual_0003_06,sentinel2,NDVI,1.0,1.0,1.0,-0.15211188793182373,-0.11423683166503906,-0.02873528003692627,0.0523068904876709,0.08906137943267822,0.0831291049897069,0.0013724144691696892
counterfactual_0003_06,sentinel1,VV,1.0,1.0,1.0,-3.669130325317383,-2.7181105613708496,-0.4499063491821289,1.792867660522461,2.756052017211914,0.1316537594353495,0.005293598666797373
counterfactual_0003_07,sentinel2,NDVI,1.0,1.0,1.0,-0.2045557200908661,-0.1227526068687439,-0.032864391803741455,0.19176143407821655,0.3027464747428894,0.09361827271836094,0.010685226938535438
