arm,sensor,treatment_site_id,scheme,eval_period,valid_rmse_scm,valid_rmse_ascm,improvement,ascm_better,latent_frac_outside_01
main,sentinel1,treatment_0001,frozen_joint,pooled,1.076979669828495,1.07697966983554,-7.045031225061393e-12,False,0.0
main,sentinel1,treatment_0001,expanding,P09,1.0683515774077017,1.0683515773999943,7.707390281552762e-12,True,0.0
main,sentinel1,treatment_0001,expanding,P10,1.085693999123312,1.0856939989578414,1.6547074821460228e-10,True,0.0
main,sentinel1,treatment_0002,frozen_joint,pooled,1.0745025779157216,1.0745025825008903,-4.585168689175134e-09,False,0.0
main,sentinel1,treatment_0002,expanding,P09,1.0637517269204364,1.063751735890415,-8.969978537720635e-09,False,0.0
main,sentinel1,treatment_0002,expanding,P10,1.0851422993937814,1.0851422993966764,-2.895017559012558e-12,False,0.0
main,sentinel1,treatment_0003,frozen_joint,pooled,1.035149140131413,1.0351491401423467,-1.0933698391113467e-11,False,0.0
main,sentinel1,treatment_0003,expanding,P09,1.0396778621173524,1.0396778621668696,-4.951727916591153e-11,False,0.0
main,sentinel1,treatment_0003,expanding,P10,1.0306310678885604,1.030631067863788,2.4772406348461118e-11,True,0.0
main,sentinel1,treatment_0004,frozen_joint,pooled,1.065008977532695,1.0650089768064013,7.262936918550622e-10,True,0.0
main,sentinel1,treatment_0004,expanding,P09,1.0710110187378348,1.071011019320175,-5.823401760807201e-10,False,0.0
main,sentinel1,treatment_0004,expanding,P10,1.0589988670568593,1.0589988641342738,2.9225855069370255e-09,True,0.0
main,sentinel1,treatment_0005,frozen_joint,pooled,1.0637252717581414,1.063725271761957,-3.815614491031738e-12,False,0.0
main,sentinel1,treatment_0005,expanding,P09,1.0624849429566776,1.0624849430003944,-4.371680795145494e-11,False,0.0
main,sentinel1,treatment_0005,expanding,P10,1.0652853247758989,1.065285324763833,1.2065903831626201e-11,True,0.0
main,sentinel1,treatment_0006,frozen_joint,pooled,1.072336734646042,1.0723367337233467,9.226952535357213e-10,True,0.0
main,sentinel1,treatment_0006,expanding,P09,1.0575322012772153,1.0575322009622496,3.149656091494535e-10,True,0.0
main,sentinel1,treatment_0006,expanding,P10,1.0866458146407127,1.0866458255160525,-1.087533973986865e-08,False,0.0
main,sentinel1,treatment_0007,frozen_joint,pooled,1.050730805236984,1.0507307993787973,5.8581866024809415e-09,True,0.0
main,sentinel1,treatment_0007,expanding,P09,1.0553808448436883,1.0553808429661555,1.8775327959019705e-09,True,0.0
main,sentinel1,treatment_0007,expanding,P10,1.0459074201934788,1.0459074173311118,2.862367010081357e-09,True,0.0
main,sentinel1,treatment_0008,frozen_joint,pooled,1.051239267520558,1.0512392671881847,3.3237324004176116e-10,True,0.0
main,sentinel1,treatment_0008,expanding,P09,1.0581474699086215,1.0581474683380878,1.5705337030880173e-09,True,0.0
main,sentinel1,treatment_0008,expanding,P10,1.0442519479835344,1.044251950431287,-2.4477526672228578e-09,False,0.0
main,sentinel1,treatment_0009,frozen_joint,pooled,1.0538420642858737,1.0538420661791008,-1.8932271306226767e-09,False,0.0
main,sentinel1,treatment_0009,expanding,P09,1.0560060477120086,1.0560060504150046,-2.7029960492086502e-09,False,0.0
main,sentinel1,treatment_0009,expanding,P10,1.0514216675978922,1.0514216635669666,4.030925593312418e-09,True,0.0
main,sentinel1,treatment_0010,frozen_joint,pooled,1.0398404082773531,1.039840401198952,7.078401198512552e-09,True,0.0
main,sentinel1,treatment_0010,expanding,P09,1.033990025439657,1.0339900164693465,8.970310494404998e-09,True,0.0
main,sentinel1,treatment_0010,expanding,P10,1.0454053553725662,1.0454053644160541,-9.043487958493301e-09,False,0.0
main,sentinel2,treatment_0001,frozen_joint,pooled,1.181945449499597,1.1819454713169968,-2.1817399886714384e-08,False,0.0
main,sentinel2,treatment_0001,expanding,P09,1.0664386650724331,1.066438696027718,-3.0955284779921044e-08,False,0.0
main,sentinel2,treatment_0001,expanding,P10,1.2852433290219123,1.285243322709154,6.31275831608491e-09,True,0.0
main,sentinel2,treatment_0002,frozen_joint,pooled,1.2214715083900294,1.2214715091383856,-7.483562658450182e-10,False,0.0
main,sentinel2,treatment_0002,expanding,P09,1.2327025190465952,1.232702519500363,-4.537676900895349e-10,False,0.0
main,sentinel2,treatment_0002,expanding,P10,1.2022760446284766,1.202276042348923,2.2795536569475416e-09,True,0.0
main,sentinel2,treatment_0003,frozen_joint,pooled,0.927376260875564,0.9273762687141296,-7.838565574402878e-09,False,0.0
main,sentinel2,treatment_0003,expanding,P09,0.889142654298574,0.8891426494385918,4.859982194460599e-09,True,0.0
main,sentinel2,treatment_0003,expanding,P10,0.9615244663339296,0.9615244624576784,3.876251208900783e-09,True,0.0
main,sentinel2,treatment_0004,frozen_joint,pooled,1.3759260690242696,1.3759260690204513,3.818279026290838e-12,True,0.0
main,sentinel2,treatment_0004,expanding,P09,1.3820350756036317,1.3820350796204595,-4.0168277593011226e-09,False,0.0
main,sentinel2,treatment_0004,expanding,P10,1.370714717761032,1.370714747324426,-2.9563394177145597e-08,False,0.0
main,sentinel2,treatment_0005,frozen_joint,pooled,1.1901917008059737,1.1901916993726969,1.4332768305536092e-09,True,0.0
main,sentinel2,treatment_0005,expanding,P09,1.109324125802043,1.1093241233250533,2.4769897244425465e-09,True,0.0
main,sentinel2,treatment_0005,expanding,P10,1.2653148666309604,1.2653148665088372,1.2212320044113767e-10,True,0.0
main,sentinel2,treatment_0006,frozen_joint,pooled,1.2323628882302915,1.2323628900749068,-1.8446153493556494e-09,False,0.0
main,sentinel2,treatment_0006,expanding,P09,1.225693874130533,1.2256938764414667,-2.310933666649362e-09,False,0.0
main,sentinel2,treatment_0006,expanding,P10,1.2382087628333809,1.2382087633721708,-5.387899015829589e-10,False,0.0
main,sentinel2,treatment_0007,frozen_joint,pooled,1.083566716972042,1.08356671600341,9.686320634472168e-10,True,0.0
main,sentinel2,treatment_0007,expanding,P09,1.098851881727695,1.0988518809037977,8.238973947527484e-10,True,0.0
main,sentinel2,treatment_0007,expanding,P10,1.0677809254143826,1.0677809412882486,-1.5873865999438408e-08,False,0.0
main,sentinel2,treatment_0008,frozen_joint,pooled,1.1338702113734105,1.1338702085283265,2.8450839462124122e-09,True,0.0
main,sentinel2,treatment_0008,expanding,P09,0.9840971249969078,0.9840971195819217,5.414986126162091e-09,True,0.0
main,sentinel2,treatment_0008,expanding,P10,1.2664792097407642,1.2664792115471268,-1.8063626150421896e-09,False,0.0
main,sentinel2,treatment_0009,frozen_joint,pooled,1.225539671127208,1.2255396670030572,4.124150798645587e-09,True,0.0
main,sentinel2,treatment_0009,expanding,P09,1.074132680625744,1.0741326791877037,1.438040353463066e-09,True,0.0
main,sentinel2,treatment_0009,expanding,P10,1.3621910305849758,1.3621910194020939,1.118288195378625e-08,True,0.0
main,sentinel2,treatment_0010,frozen_joint,pooled,1.231982446229629,1.2319824454068982,8.227307723984723e-10,True,0.0
main,sentinel2,treatment_0010,expanding,P09,1.0111362152233547,1.0111362182514263,-3.0280715712649453e-09,False,0.0
main,sentinel2,treatment_0010,expanding,P10,1.418794507605385,1.4187945014752688,6.13011619243764e-09,True,0.0
quality40,sentinel1,treatment_0001,frozen_joint,pooled,1.076979669828495,1.07697966983554,-7.045031225061393e-12,False,0.0
quality40,sentinel1,treatment_0001,expanding,P09,1.0683515774077017,1.0683515773999943,7.707390281552762e-12,True,0.0
quality40,sentinel1,treatment_0001,expanding,P10,1.085693999123312,1.0856939989578414,1.6547074821460228e-10,True,0.0
quality40,sentinel1,treatment_0002,frozen_joint,pooled,1.0745025779157216,1.0745025825008903,-4.585168689175134e-09,False,0.0
quality40,sentinel1,treatment_0002,expanding,P09,1.0637517269204364,1.063751735890415,-8.969978537720635e-09,False,0.0
quality40,sentinel1,treatment_0002,expanding,P10,1.0851422993937814,1.0851422993966764,-2.895017559012558e-12,False,0.0
quality40,sentinel1,treatment_0003,frozen_joint,pooled,1.035149140131413,1.0351491401423467,-1.0933698391113467e-11,False,0.0
quality40,sentinel1,treatment_0003,expanding,P09,1.0396778621173524,1.0396778621668696,-4.951727916591153e-11,False,0.0
quality40,sentinel1,treatment_0003,expanding,P10,1.0306310678885604,1.030631067863788,2.4772406348461118e-11,True,0.0
quality40,sentinel1,treatment_0004,frozen_joint,pooled,1.065008977532695,1.0650089768064013,7.262936918550622e-10,True,0.0
quality40,sentinel1,treatment_0004,expanding,P09,1.0710110187378348,1.071011019320175,-5.823401760807201e-10,False,0.0
quality40,sentinel1,treatment_0004,expanding,P10,1.0589988670568593,1.0589988641342738,2.9225855069370255e-09,True,0.0
quality40,sentinel1,treatment_0005,frozen_joint,pooled,1.0637252717581414,1.063725271761957,-3.815614491031738e-12,False,0.0
quality40,sentinel1,treatment_0005,expanding,P09,1.0624849429566776,1.0624849430003944,-4.371680795145494e-11,False,0.0
quality40,sentinel1,treatment_0005,expanding,P10,1.0652853247758989,1.065285324763833,1.2065903831626201e-11,True,0.0
quality40,sentinel1,treatment_0006,frozen_joint,pooled,1.072336734646042,1.0723367337233467,9.226952535357213e-10,True,0.0
quality40,sentinel1,treatment_0006,expanding,P09,1.0575322012772153,1.0575322009622496,3.149656091494535e-10,True,0.0
quality40,sentinel1,treatment_0006,expanding,P10,1.0866458146407127,1.0866458255160525,-1.087533973986865e-08,False,0.0
quality40,sentinel1,treatment_0007,frozen_joint,pooled,1.050730805236984,1.0507307993787973,5.8581866024809415e-09,True,0.0
quality40,sentinel1,treatment_0007,expanding,P09,1.0553808448436883,1.0553808429661555,1.8775327959019705e-09,True,0.0
quality40,sentinel1,treatment_0007,expanding,P10,1.0459074201934788,1.0459074173311118,2.862367010081357e-09,True,0.0
quality40,sentinel1,treatment_0008,frozen_joint,pooled,1.051239267520558,1.0512392671881847,3.3237324004176116e-10,True,0.0
quality40,sentinel1,treatment_0008,expanding,P09,1.0581474699086215,1.0581474683380878,1.5705337030880173e-09,True,0.0
quality40,sentinel1,treatment_0008,expanding,P10,1.0442519479835344,1.044251950431287,-2.4477526672228578e-09,False,0.0
quality40,sentinel1,treatment_0009,frozen_joint,pooled,1.0538420642858737,1.0538420661791008,-1.8932271306226767e-09,False,0.0
quality40,sentinel1,treatment_0009,expanding,P09,1.0560060477120086,1.0560060504150046,-2.7029960492086502e-09,False,0.0
quality40,sentinel1,treatment_0009,expanding,P10,1.0514216675978922,1.0514216635669666,4.030925593312418e-09,True,0.0
quality40,sentinel1,treatment_0010,frozen_joint,pooled,1.0398404082773531,1.039840401198952,7.078401198512552e-09,True,0.0
quality40,sentinel1,treatment_0010,expanding,P09,1.033990025439657,1.0339900164693465,8.970310494404998e-09,True,0.0
quality40,sentinel1,treatment_0010,expanding,P10,1.0454053553725662,1.0454053644160541,-9.043487958493301e-09,False,0.0
quality40,sentinel2,treatment_0001,frozen_joint,pooled,1.3564785541352091,1.3564785659423133,-1.180710418324793e-08,False,0.0
quality40,sentinel2,treatment_0001,expanding,P09,,,,False,
quality40,sentinel2,treatment_0001,expanding,P10,1.3564785541352091,1.3564785659423133,-1.180710418324793e-08,False,0.0
quality40,sentinel2,treatment_0002,frozen_joint,pooled,1.2261493840005346,1.2261493836019073,3.9862735334850186e-10,True,0.0
quality40,sentinel2,treatment_0002,expanding,P09,1.2301100700180334,1.2301100686554571,1.3625762740332448e-09,True,0.0
quality40,sentinel2,treatment_0002,expanding,P10,1.2200979198231023,1.2200979198276154,-4.513056595101261e-12,False,0.007142857142857143
quality40,sentinel2,treatment_0003,frozen_joint,pooled,0.8912741982023689,0.8912741978691329,3.3323599435419737e-10,True,0.0
quality40,sentinel2,treatment_0003,expanding,P09,0.8797350485497288,0.8797350483034597,2.462691162108399e-10,True,0.0
quality40,sentinel2,treatment_0003,expanding,P10,0.9043104264513196,0.904310426828564,-3.772443468719189e-10,False,0.0
quality40,sentinel2,treatment_0004,frozen_joint,pooled,1.3764589027037135,1.3764588990537168,3.6499967492886753e-09,True,0.0
quality40,sentinel2,treatment_0004,expanding,P09,1.3905788179573495,1.3905788110572117,6.9001377944744036e-09,True,0.0
quality40,sentinel2,treatment_0004,expanding,P10,1.3562224244240642,1.3562224163395584,8.084505731531522e-09,True,0.0
quality40,sentinel2,treatment_0005,frozen_joint,pooled,1.1682289886545865,1.1682289916273199,-2.972733392780924e-09,False,0.0
quality40,sentinel2,treatment_0005,expanding,P09,,,,False,
quality40,sentinel2,treatment_0005,expanding,P10,1.1682289886545865,1.1682289916273199,-2.972733392780924e-09,False,0.0
quality40,sentinel2,treatment_0006,frozen_joint,pooled,1.1786955370860104,1.1786955407581576,-3.6721472529421817e-09,False,0.0
quality40,sentinel2,treatment_0006,expanding,P09,1.2057575639351554,1.2057575684148698,-4.479714377225719e-09,False,0.0
quality40,sentinel2,treatment_0006,expanding,P10,1.147835549086858,1.1478355484181553,6.687026488094716e-10,True,0.0
