arm,sensor,treatment_site_id,fit_window,donor,weight,lambda,lambda_at_boundary,weight_distance_from_scm,n_negative_weights,sum_negative_weight,n_train_periods
main,sentinel1,treatment_0004,P01-09,counterfactual_0010_03,0.19791473302772664,0.00031622776601683794,False,1.583274719623274e-07,0,-0.0,9
main,sentinel1,treatment_0005,P01-08,counterfactual_0006_01,0.21037587069242134,10000.0,True,1.139166875501654e-09,0,-0.0,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0005_03,0.2022200656060522,10000.0,True,1.139166875501654e-09,0,-0.0,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0004_05,0.20494931813916023,10000.0,True,1.139166875501654e-09,0,-0.0,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0010_04,0.20618329986963796,10000.0,True,1.139166875501654e-09,0,-0.0,8
main,sentinel1,treatment_0005,P01-08,counterfactual_0001_04,0.1762714456927282,10000.0,True,1.139166875501654e-09,0,-0.0,8
main,sentinel1,treatment_0005,P01-09,counterfactual_0006_01,0.2109264257771388,10000.0,True,1.0037965293286621e-09,0,-0.0,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0005_03,0.20618928363323039,10000.0,True,1.0037965293286621e-09,0,-0.0,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0004_05,0.20554246250394992,10000.0,True,1.0037965293286621e-09,0,-0.0,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0010_04,0.20796113181637033,10000.0,True,1.0037965293286621e-09,0,-0.0,9
main,sentinel1,treatment_0005,P01-09,counterfactual_0001_04,0.16938069626931068,10000.0,True,1.0037965293286621e-09,0,-0.0,9
main,sentinel1,treatment_0006,P01-08,counterfactual_0006_04,0.19545062552355674,0.0001,True,2.836894139164158e-07,0,-0.0,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0009_01,0.21987737804721227,0.0001,True,2.836894139164158e-07,0,-0.0,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0003_03,0.1946672134639006,0.0001,True,2.836894139164158e-07,0,-0.0,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0007_02,0.1882722208411562,0.0001,True,2.836894139164158e-07,0,-0.0,8
main,sentinel1,treatment_0006,P01-08,counterfactual_0010_01,0.2017325621241741,0.0001,True,2.836894139164158e-07,0,-0.0,8
main,sentinel1,treatment_0006,P01-09,counterfactual_0006_04,0.19782447007369147,10000.0,True,2.3231447472540507e-07,0,-0.0,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0009_01,0.2193097511267843,10000.0,True,2.3231447472540507e-07,0,-0.0,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0003_03,0.1934592333553389,10000.0,True,2.3231447472540507e-07,0,-0.0,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0007_02,0.18483466794787776,10000.0,True,2.3231447472540507e-07,0,-0.0,9
main,sentinel1,treatment_0006,P01-09,counterfactual_0010_01,0.20457187749630748,10000.0,True,2.3231447472540507e-07,0,-0.0,9
main,sentinel1,treatment_0007,P01-08,counterfactual_0006_05,0.22509942518297069,10000.0,True,1.2432247419279724e-07,0,-0.0,8
main,sentinel1,treatment_0007,P01-08,counterfactual_0003_02,0.19400246317964526,10000.0,True,1.2432247419279724e-07,0,-0.0,8
main,sentinel1,treatment_0007,P01-08,counterfactual_0008_03,0.1968019175853723,10000.0,True,1.2432247419279724e-07,0,-0.0,8
main,sentinel1,treatment_0007,P01-08,counterfactual_0008_01,0.20167367809517442,10000.0,True,1.2432247419279724e-07,0,-0.0,8
main,sentinel1,treatment_0007,P01-08,counterfactual_0007_04,0.18242251595683734,10000.0,True,1.2432247419279724e-07,0,-0.0,8
main,sentinel1,treatment_0007,P01-09,counterfactual_0006_05,0.22485981828891566,0.0001,True,4.541931700826015e-09,0,-0.0,9
main,sentinel1,treatment_0007,P01-09,counterfactual_0003_02,0.19175381924509768,0.0001,True,4.541931700826015e-09,0,-0.0,9
main,sentinel1,treatment_0007,P01-09,counterfactual_0008_03,0.19764800319299175,0.0001,True,4.541931700826015e-09,0,-0.0,9
main,sentinel1,treatment_0007,P01-09,counterfactual_0008_01,0.20362869975583203,0.0001,True,4.541931700826015e-09,0,-0.0,9
main,sentinel1,treatment_0007,P01-09,counterfactual_0007_04,0.18210965951716276,0.0001,True,4.541931700826015e-09,0,-0.0,9
main,sentinel1,treatment_0008,P01-08,counterfactual_0006_05,0.21815017269259238,10000.0,True,1.1872244550583801e-07,0,-0.0,8
main,sentinel1,treatment_0008,P01-08,counterfactual_0005_03,0.20527325266089674,10000.0,True,1.1872244550583801e-07,0,-0.0,8
main,sentinel1,treatment_0008,P01-08,counterfactual_0008_03,0.20198392615387503,10000.0,True,1.1872244550583801e-07,0,-0.0,8
main,sentinel1,treatment_0008,P01-08,counterfactual_0003_01,0.1990987793185295,10000.0,True,1.1872244550583801e-07,0,-0.0,8
main,sentinel1,treatment_0008,P01-08,counterfactual_0007_03,0.17549386917410634,10000.0,True,1.1872244550583801e-07,0,-0.0,8
main,sentinel1,treatment_0008,P01-09,counterfactual_0006_05,0.21429566434469496,10000.0,True,1.0167562845561394e-07,0,-0.0,9
main,sentinel1,treatment_0008,P01-09,counterfactual_0005_03,0.20977093505138547,10000.0,True,1.0167562845561394e-07,0,-0.0,9
main,sentinel1,treatment_0008,P01-09,counterfactual_0008_03,0.20484421307023418,10000.0,True,1.0167562845561394e-07,0,-0.0,9
main,sentinel1,treatment_0008,P01-09,counterfactual_0003_01,0.19808876603110095,10000.0,True,1.0167562845561394e-07,0,-0.0,9
main,sentinel1,treatment_0008,P01-09,counterfactual_0007_03,0.17300042150258457,10000.0,True,1.0167562845561394e-07,0,-0.0,9
main,sentinel1,treatment_0009,P01-08,counterfactual_0003_02,0.21213519100566317,10000.0,True,1.0473079560179752e-07,0,-0.0,8
main,sentinel1,treatment_0009,P01-08,counterfactual_0001_04,0.1848605747305612,10000.0,True,1.0473079560179752e-07,0,-0.0,8
main,sentinel1,treatment_0009,P01-08,counterfactual_0001_05,0.20913669136270965,10000.0,True,1.0473079560179752e-07,0,-0.0,8
main,sentinel1,treatment_0009,P01-08,counterfactual_0005_03,0.20333935592972555,10000.0,True,1.0473079560179752e-07,0,-0.0,8
main,sentinel1,treatment_0009,P01-08,counterfactual_0009_05,0.1905281869713405,10000.0,True,1.0473079560179752e-07,0,-0.0,8
main,sentinel1,treatment_0009,P01-09,counterfactual_0003_02,0.21345364077553025,10000.0,True,3.1130894631567344e-07,0,-0.0,9
main,sentinel1,treatment_0009,P01-09,counterfactual_0001_04,0.18475597056559792,10000.0,True,3.1130894631567344e-07,0,-0.0,9
