sensor,treatment_site_id,scheme,eval_period,scm_chipmean,scm_genfill,ascm_chipmean,ascm_genfill,scm_level_chipmean,scm_level_genfill
sentinel1,treatment_0001,frozen_joint,pooled,1.076979669828495,1.0831053276682114,1.07697966983554,1.0831053201239003,FAIL,FAIL
sentinel1,treatment_0002,frozen_joint,pooled,1.0745025779157216,1.0756041711828181,1.0745025825008905,1.0756041778337913,FAIL,FAIL
sentinel1,treatment_0003,frozen_joint,pooled,1.035149140131413,1.0361809962743116,1.0351491401423467,1.036180996277905,FAIL,FAIL
sentinel1,treatment_0004,frozen_joint,pooled,1.065008977532695,1.0659306665129467,1.0650089768064013,1.0659306657701721,FAIL,FAIL
sentinel1,treatment_0005,frozen_joint,pooled,1.0637252717581414,1.0646201493024294,1.063725271761957,1.0646201492911327,FAIL,FAIL
sentinel1,treatment_0006,frozen_joint,pooled,1.072336734646042,1.0821579671005093,1.0723367337233467,1.0821579670204475,FAIL,FAIL
sentinel1,treatment_0007,frozen_joint,pooled,1.050730805236984,1.0508336504887548,1.050730799378797,1.0508336494616053,FAIL,FAIL
sentinel1,treatment_0008,frozen_joint,pooled,1.051239267520558,1.052431904366319,1.0512392671881847,1.0524319072388515,FAIL,FAIL
sentinel1,treatment_0009,frozen_joint,pooled,1.0538420642858737,1.0549725966481789,1.0538420661791008,1.0549725982919165,FAIL,FAIL
sentinel1,treatment_0010,frozen_joint,pooled,1.0398404082773531,1.0405352643061878,1.039840401198952,1.0405352642839873,FAIL,FAIL
sentinel2,treatment_0001,frozen_joint,pooled,1.181945449499597,1.067952439604171,1.1819454713169968,1.0679524398134501,FAIL,FAIL
sentinel2,treatment_0002,frozen_joint,pooled,1.2214715083900294,1.1321613797946901,1.2214715091383856,1.132161385897488,FAIL,FAIL
sentinel2,treatment_0003,frozen_joint,pooled,0.927376260875564,1.0168549896165109,0.9273762687141296,1.0168549924861834,pass,FAIL
sentinel2,treatment_0004,frozen_joint,pooled,1.3759260690242696,0.7300610487024013,1.3759260690204511,0.7300610508520857,FAIL,pass
sentinel2,treatment_0005,frozen_joint,pooled,1.1901917008059737,0.9745149623904286,1.1901916993726969,0.9745149664663824,FAIL,pass
sentinel2,treatment_0006,frozen_joint,pooled,1.2323628882302915,1.0330803373286517,1.2323628900749068,1.0330803359298044,FAIL,FAIL
sentinel2,treatment_0007,frozen_joint,pooled,1.083566716972042,1.0904108426787142,1.08356671600341,1.0904107337830615,FAIL,FAIL
sentinel2,treatment_0008,frozen_joint,pooled,1.1338702113734105,1.1783908002864596,1.1338702085283263,1.1783907914085574,FAIL,FAIL
sentinel2,treatment_0009,frozen_joint,pooled,1.225539671127208,0.9933198313069203,1.2255396670030572,0.993319838812555,FAIL,pass
sentinel2,treatment_0010,frozen_joint,pooled,1.231982446229629,1.285931729561114,1.2319824454068982,1.2859317460249966,FAIL,FAIL
sentinel1,treatment_0001,expanding,P09,1.0683515774077017,1.0726009457827843,1.0683515773999943,1.0726009600077882,FAIL,FAIL
sentinel1,treatment_0002,expanding,P09,1.0637517269204364,1.0647712014760498,1.063751735890415,1.0647712147789237,FAIL,FAIL
sentinel1,treatment_0003,expanding,P09,1.0396778621173524,1.0407805994932833,1.0396778621668696,1.0407805995261241,FAIL,FAIL
sentinel1,treatment_0004,expanding,P09,1.0710110187378348,1.0719831658701138,1.071011019320175,1.0719831664450636,FAIL,FAIL
sentinel1,treatment_0005,expanding,P09,1.0624849429566776,1.0635993993171668,1.0624849430003944,1.0635993993138197,FAIL,FAIL
sentinel1,treatment_0006,expanding,P09,1.0575322012772153,1.0683103673910308,1.0575322009622496,1.0683103731124126,FAIL,FAIL
sentinel1,treatment_0007,expanding,P09,1.0553808448436883,1.0540963254167872,1.0553808429661555,1.054096323695546,FAIL,FAIL
sentinel1,treatment_0008,expanding,P09,1.0581474699086215,1.0593164124268981,1.0581474683380878,1.059316416245219,FAIL,FAIL
sentinel1,treatment_0009,expanding,P09,1.0560060477120086,1.0572733608501497,1.0560060504150046,1.057273363233901,FAIL,FAIL
sentinel1,treatment_0010,expanding,P09,1.033990025439657,1.0344287615718546,1.0339900164693463,1.034428761527275,FAIL,FAIL
sentinel2,treatment_0001,expanding,P09,1.0664386650724331,0.9054418393211714,1.066438696027718,0.9054418411357343,FAIL,pass
sentinel2,treatment_0002,expanding,P09,1.2327025190465952,1.0577747456754358,1.232702519500363,1.0577747530731918,FAIL,FAIL
sentinel2,treatment_0003,expanding,P09,0.889142654298574,1.106470639083454,0.8891426494385918,1.106470643392242,pass,FAIL
sentinel2,treatment_0004,expanding,P09,1.3820350756036317,0.7278669917908669,1.3820350796204597,0.7278669929440175,FAIL,pass
sentinel2,treatment_0005,expanding,P09,1.109324125802043,0.8843013408881414,1.1093241233250533,0.884301347691692,FAIL,pass
