sensor,treatment_site_id,period,latent_gap_norm,treated_latent_present,donors_present
sentinel1,treatment_0010,P19,1.081290715680426,True,True
sentinel1,treatment_0010,P20,1.0542525771418934,True,True
sentinel2,treatment_0001,P11,1.1796636813789083,True,True
sentinel2,treatment_0001,P12,1.214973475007233,True,True
sentinel2,treatment_0001,P13,0.9839244404670163,True,True
sentinel2,treatment_0001,P14,0.939536520755141,True,True
sentinel2,treatment_0001,P15,,False,False
sentinel2,treatment_0001,P16,1.194624393961867,True,True
sentinel2,treatment_0001,P17,1.2444499678499474,True,True
sentinel2,treatment_0001,P18,1.2737648334263205,True,True
sentinel2,treatment_0001,P19,1.3587409393118246,True,True
sentinel2,treatment_0001,P20,1.3613613590380433,True,True
sentinel2,treatment_0002,P11,1.2296449417016018,True,True
sentinel2,treatment_0002,P12,1.2363413328171822,True,True
sentinel2,treatment_0002,P13,1.1612762436723523,True,True
sentinel2,treatment_0002,P14,1.3009514757949483,True,True
sentinel2,treatment_0002,P15,,False,False
sentinel2,treatment_0002,P16,1.2352306269642186,True,True
sentinel2,treatment_0002,P17,1.237543812115979,True,True
sentinel2,treatment_0002,P18,1.1789639071155409,True,True
sentinel2,treatment_0002,P19,1.393347987695311,True,True
sentinel2,treatment_0002,P20,1.3276047091381211,True,True
sentinel2,treatment_0003,P11,0.9644062782848689,True,True
sentinel2,treatment_0003,P12,0.9977112266069987,True,True
sentinel2,treatment_0003,P13,0.8747543989606296,True,True
sentinel2,treatment_0003,P14,0.895089569085522,True,True
sentinel2,treatment_0003,P15,,False,False
sentinel2,treatment_0003,P16,1.2246762562030238,True,True
sentinel2,treatment_0003,P17,1.3529751223671904,True,True
sentinel2,treatment_0003,P18,1.281676691481131,True,True
sentinel2,treatment_0003,P19,1.21741660769711,True,True
sentinel2,treatment_0003,P20,1.2659370760818158,True,True
sentinel2,treatment_0004,P11,1.3138992733084582,True,True
sentinel2,treatment_0004,P12,1.288782159909656,True,True
sentinel2,treatment_0004,P13,1.2878541175579359,True,True
sentinel2,treatment_0004,P14,1.265215134872034,True,True
sentinel2,treatment_0004,P15,,True,False
sentinel2,treatment_0004,P16,1.244890945595933,True,True
sentinel2,treatment_0004,P17,1.2709550362110187,True,True
sentinel2,treatment_0004,P18,1.3421212740009854,True,True
sentinel2,treatment_0004,P19,1.2930405859877776,True,True
sentinel2,treatment_0004,P20,1.452344241312885,True,True
sentinel2,treatment_0005,P11,1.112695711804866,True,True
sentinel2,treatment_0005,P12,1.138275912465786,True,True
sentinel2,treatment_0005,P13,0.7801362767717155,True,True
sentinel2,treatment_0005,P14,1.071779342860623,True,True
sentinel2,treatment_0005,P15,,True,False
