sensor,treatment_site_id,period,latent_gap_norm,latent_frac_outside_01,treated_latent_present,donors_present
sentinel1,treatment_0010,P20,1.054252577128675,0.0,True,True
sentinel2,treatment_0001,P11,1.179663680049617,0.0,True,True
sentinel2,treatment_0001,P12,1.2149734736395381,0.0,True,True
sentinel2,treatment_0001,P13,0.9839244369487655,0.0,True,True
sentinel2,treatment_0001,P14,0.9395365159974222,0.0,True,True
sentinel2,treatment_0001,P15,,,False,False
sentinel2,treatment_0001,P16,1.194624395283254,0.0,True,True
sentinel2,treatment_0001,P17,1.2444499697651985,0.0,True,True
sentinel2,treatment_0001,P18,1.2737648341463133,0.0,True,True
sentinel2,treatment_0001,P19,1.3587409392659882,0.0,True,True
sentinel2,treatment_0001,P20,1.3613613560569866,0.0,True,True
sentinel2,treatment_0002,P11,1.2296449458189205,0.009183673469387756,True,True
sentinel2,treatment_0002,P12,1.2363413363373106,0.00510204081632653,True,True
sentinel2,treatment_0002,P13,1.1612762451633327,0.004081632653061225,True,True
sentinel2,treatment_0002,P14,1.3009514797961208,0.00816326530612245,True,True
sentinel2,treatment_0002,P15,,,False,False
sentinel2,treatment_0002,P16,1.2352306303985288,0.003061224489795918,True,True
sentinel2,treatment_0002,P17,1.2375438145892668,0.014285714285714285,True,True
sentinel2,treatment_0002,P18,1.1789639091433837,0.004081632653061225,True,True
sentinel2,treatment_0002,P19,1.393347991190342,0.006122448979591836,True,True
sentinel2,treatment_0002,P20,1.3276047090354821,0.00816326530612245,True,True
sentinel2,treatment_0003,P11,0.9644062912136415,0.0,True,True
sentinel2,treatment_0003,P12,0.9977112337014427,0.0,True,True
sentinel2,treatment_0003,P13,0.8747543673614301,0.0,True,True
sentinel2,treatment_0003,P14,0.895089542276454,0.0,True,True
sentinel2,treatment_0003,P15,,,False,False
sentinel2,treatment_0003,P16,1.2246762593794867,0.0,True,True
sentinel2,treatment_0003,P17,1.3529751276459305,0.0,True,True
sentinel2,treatment_0003,P18,1.281676696035491,0.0,True,True
sentinel2,treatment_0003,P19,1.2174166159804944,0.0,True,True
sentinel2,treatment_0003,P20,1.2659370914590788,0.0,True,True
sentinel2,treatment_0004,P11,1.3138992698309369,0.0010204081632653062,True,True
sentinel2,treatment_0004,P12,1.2887821562343214,0.0010204081632653062,True,True
sentinel2,treatment_0004,P13,1.287854115705201,0.017346938775510204,True,True
sentinel2,treatment_0004,P14,1.265215131590517,0.0,True,True
sentinel2,treatment_0004,P15,,,True,False
sentinel2,treatment_0004,P16,1.2448909418584655,0.006122448979591836,True,True
sentinel2,treatment_0004,P17,1.2709550321884737,0.007142857142857143,True,True
sentinel2,treatment_0004,P18,1.3421212708456571,0.009183673469387756,True,True
sentinel2,treatment_0004,P19,1.2930405849137085,0.0020408163265306124,True,True
sentinel2,treatment_0004,P20,1.4523442405189986,0.0,True,True
sentinel2,treatment_0005,P11,1.1126957145946048,0.004081632653061225,True,True
sentinel2,treatment_0005,P12,1.1382759149694097,0.0010204081632653062,True,True
sentinel2,treatment_0005,P13,0.7801362935848287,0.015306122448979591,True,True
sentinel2,treatment_0005,P14,1.0717793610600979,0.004081632653061225,True,True
sentinel2,treatment_0005,P15,,,True,False
sentinel2,treatment_0005,P16,1.1318597578258156,0.0020408163265306124,True,True
sentinel2,treatment_0005,P17,1.1696471699718098,0.006122448979591836,True,True
sentinel2,treatment_0005,P18,1.1250652534657186,0.006122448979591836,True,True
sentinel2,treatment_0005,P19,1.2397668807311522,0.0,True,True
sentinel2,treatment_0005,P20,1.2208369945531174,0.003061224489795918,True,True
sentinel2,treatment_0006,P11,1.1736633396736693,0.0,True,True
sentinel2,treatment_0006,P12,1.1938663406930523,0.0,True,True
sentinel2,treatment_0006,P13,0.9807030183930368,0.0,True,True
sentinel2,treatment_0006,P14,1.1948175092075035,0.0,True,True
sentinel2,treatment_0006,P15,,,False,False
sentinel2,treatment_0006,P16,1.2444806945900497,0.0,True,True
sentinel2,treatment_0006,P17,1.1896399900685193,0.0,True,True
sentinel2,treatment_0006,P18,1.1750162343907173,0.0,True,True
sentinel2,treatment_0006,P19,1.2861436645341155,0.0,True,True
sentinel2,treatment_0006,P20,1.3639026789982738,0.0,True,True
sentinel2,treatment_0007,P11,1.1212245614166627,0.0,True,True
sentinel2,treatment_0007,P12,1.1596468746121606,0.0,True,True
sentinel2,treatment_0007,P13,1.1449788959262972,0.0,True,True
sentinel2,treatment_0007,P14,1.0680776049711116,0.0,True,True
sentinel2,treatment_0007,P15,,,True,False
sentinel2,treatment_0007,P16,1.229252346211196,0.0,True,True
sentinel2,treatment_0007,P17,1.0909705412681845,0.0,True,True
sentinel2,treatment_0007,P18,1.145138170348444,0.0,True,True
sentinel2,treatment_0007,P19,1.2584735294049936,0.0,True,True
sentinel2,treatment_0007,P20,1.3470305442614088,0.0,True,True
sentinel2,treatment_0008,P11,1.1213606648578762,0.0,True,True
sentinel2,treatment_0008,P12,1.1732207366071734,0.0,True,True
sentinel2,treatment_0008,P13,1.0978744042770834,0.0,True,True
sentinel2,treatment_0008,P14,1.024499507051826,0.0,True,True
sentinel2,treatment_0008,P15,,,True,False
sentinel2,treatment_0008,P16,1.1979207242219752,0.0,True,True
sentinel2,treatment_0008,P17,1.1995210129493357,0.0,True,True
sentinel2,treatment_0008,P18,1.246142498136861,0.0,True,True
sentinel2,treatment_0008,P19,1.1639789837817551,0.0,True,True
sentinel2,treatment_0008,P20,1.3656562023118997,0.0,True,True
sentinel2,treatment_0009,P11,1.2467076241077188,0.0,True,True
sentinel2,treatment_0009,P12,1.3045028869499546,0.0,True,True
sentinel2,treatment_0009,P13,0.7221341492584767,0.0,True,True
sentinel2,treatment_0009,P14,0.8169195288599709,0.0,True,True
sentinel2,treatment_0009,P15,0.689586772481657,0.0,True,True
sentinel2,treatment_0009,P16,0.6864210585156819,0.0,True,True
sentinel2,treatment_0009,P17,0.7258549024365683,0.0,True,True
sentinel2,treatment_0009,P18,0.7504442916081162,0.0,True,True
sentinel2,treatment_0009,P19,0.7663047094451572,0.0,True,True
sentinel2,treatment_0009,P20,1.4103951576521978,0.0,True,True
sentinel2,treatment_0010,P11,1.3070927884039412,0.0,True,True
sentinel2,treatment_0010,P12,1.3716635245871371,0.0,True,True
sentinel2,treatment_0010,P13,1.2101432053898875,0.0,True,True
sentinel2,treatment_0010,P14,1.2160860218455878,0.0,True,True
sentinel2,treatment_0010,P15,,,True,False
sentinel2,treatment_0010,P16,1.1731301983893996,0.0,True,True
sentinel2,treatment_0010,P17,1.2476746602579287,0.0,True,True
sentinel2,treatment_0010,P18,1.3507765340064541,0.0,True,True
sentinel2,treatment_0010,P19,1.2123283860280472,0.0,True,True
sentinel2,treatment_0010,P20,1.4063412768014245,0.0,True,True
