sensor,site_id,role,target_site,control_rank,seq,period_id,month,usable,mean_VV,mean_VH,mean_VV_minus_VH,mean_B2,mean_B3,mean_B4,mean_B8,mean_B11,mean_B12,mean_NDVI,mean_NDWI
sentinel1,counterfactual_0015_03,donor,treatment_0015,3,7,P07,2024-05,True,-8.900105865804976,-14.616366925467206,5.748730362831006,,,,,,,,
sentinel1,counterfactual_0015_03,donor,treatment_0015,3,8,P08,2024-06,True,-9.21162239091909,-14.909296228165557,5.697673831773749,,,,,,,,
sentinel1,counterfactual_0015_03,donor,treatment_0015,3,9,P09,2024-07,True,-9.062672938170264,-14.671107361637112,5.618969773651104,,,,,,,,
sentinel1,counterfactual_0015_03,donor,treatment_0015,3,10,P10,2024-08,True,-9.441780023160677,-15.204032671053074,5.762252645001565,,,,,,,,
sentinel1,counterfactual_0015_04,donor,treatment_0015,4,1,P01,2023-11,True,-9.419790535227433,-14.561342323519368,5.141551786127827,,,,,,,,
sentinel1,counterfactual_0015_04,donor,treatment_0015,4,2,P02,2023-12,True,-9.805204007692424,-14.97536971113072,5.154625853194668,,,,,,,,
sentinel1,counterfactual_0015_04,donor,treatment_0015,4,3,P03,2024-01,True,-11.004852785782282,-17.310614468174673,6.305761678142328,,,,,,,,
sentinel1,counterfactual_0015_04,donor,treatment_0015,4,4,P04,2024-02,True,-9.680854414762345,-15.09973394504985,5.418879532499817,,,,,,,,
sentinel1,counterfactual_0015_04,donor,treatment_0015,4,5,P05,2024-03,True,-9.81737206615241,-15.069816665408215,5.252444603216641,,,,,,,,
sentinel1,counterfactual_0015_04,donor,treatment_0015,4,6,P06,2024-04,True,-9.58876173283093,-14.70140738903734,5.121276478367557,,,,,,,,
sentinel1,counterfactual_0015_04,donor,treatment_0015,4,7,P07,2024-05,True,-9.644330678483035,-15.840461673648694,6.230205086839455,,,,,,,,
sentinel1,counterfactual_0015_04,donor,treatment_0015,4,8,P08,2024-06,True,-9.847470048034603,-15.977485665339206,6.1300156205942224,,,,,,,,
sentinel1,counterfactual_0015_04,donor,treatment_0015,4,9,P09,2024-07,True,-9.226567297282845,-15.372163888695496,6.156494863348117,,,,,,,,
sentinel1,counterfactual_0015_04,donor,treatment_0015,4,10,P10,2024-08,True,-10.02047122432816,-16.133146425401822,6.112675191181429,,,,,,,,
sentinel1,counterfactual_0015_05,donor,treatment_0015,5,1,P01,2023-11,True,-11.288221584919848,-17.476105906194174,6.187884307757959,,,,,,,,
sentinel1,counterfactual_0015_05,donor,treatment_0015,5,2,P02,2023-12,True,-12.006646844942322,-17.838341931106648,5.884761119574899,,,,,,,,
sentinel1,counterfactual_0015_05,donor,treatment_0015,5,3,P03,2024-01,True,-12.742672592667361,-19.947992334458398,7.205319745459723,,,,,,,,
sentinel1,counterfactual_0015_05,donor,treatment_0015,5,4,P04,2024-02,True,-12.000439640729466,-18.10419247143643,6.103752820318443,,,,,,,,
sentinel1,counterfactual_0015_05,donor,treatment_0015,5,5,P05,2024-03,True,-11.316332022311547,-17.86862591478991,6.552293892694918,,,,,,,,
sentinel1,counterfactual_0015_05,donor,treatment_0015,5,6,P06,2024-04,True,-12.018658530141995,-17.718116738798336,5.716240984715544,,,,,,,,
sentinel1,counterfactual_0015_05,donor,treatment_0015,5,7,P07,2024-05,True,-12.392846309684627,-18.39309670581337,5.982008767449991,,,,,,,,
sentinel1,counterfactual_0015_05,donor,treatment_0015,5,8,P08,2024-06,True,-12.40977316721726,-18.68418139362438,6.274408219878276,,,,,,,,
sentinel1,counterfactual_0015_05,donor,treatment_0015,5,9,P09,2024-07,True,-11.978009310130565,-18.24489644447643,6.2863783388606835,,,,,,,,
sentinel1,counterfactual_0015_05,donor,treatment_0015,5,10,P10,2024-08,True,-12.481290596611517,-18.84227079981017,6.360980217735355,,,,,,,,
sentinel1,treatment_0016,target,treatment_0016,0,1,P01,2023-11,True,-10.784816191647757,-16.838691124880082,6.053874931759887,,,,,,,,
sentinel1,treatment_0016,target,treatment_0016,0,2,P02,2023-12,True,-10.642190470810954,-16.81638651975825,6.16896502117836,,,,,,,,
sentinel1,treatment_0016,target,treatment_0016,0,3,P03,2024-01,True,-12.217671053302766,-20.194192124142294,7.976521094866026,,,,,,,,
sentinel1,treatment_0016,target,treatment_0016,0,4,P04,2024-02,True,-10.648038255176221,-17.415668837475597,6.767630578278283,,,,,,,,
sentinel1,treatment_0016,target,treatment_0016,0,5,P05,2024-03,True,-11.241873741596894,-18.19735024940873,6.955476509228562,,,,,,,,
sentinel1,treatment_0016,target,treatment_0016,0,6,P06,2024-04,True,-10.871163596032753,-17.372374604208986,6.546235818704197,,,,,,,,
sentinel1,treatment_0016,target,treatment_0016,0,7,P07,2024-05,True,-10.240843939157154,-16.58262051574016,6.354012664004232,,,,,,,,
sentinel1,treatment_0016,target,treatment_0016,0,8,P08,2024-06,True,-10.530223103507268,-16.384111513426323,5.8538884064190855,,,,,,,,
