method,sensor,site_id,ok,validation_rmse_std,err_VV,err_VH,err_VV-VH,training_rmse_std,validation_to_training_rmse_ratio,validation_flag,largest_donor_weight,effective_number_of_donors,weights,err_B2,err_B3,err_B4,err_B8,err_B11,err_B12,err_NDVI,err_NDWI
gpt-oss-120b (default effort),sentinel2,treatment_0005,False,,,,,,,,,,,,,,,,,,
scm,sentinel2,treatment_0006,True,0.7105239134853607,,,,0.4644578336435897,1.5297920758735535,caution,0.4530531169695452,3.2238858472052736,0.0000 0.1916 0.2281 0.4531 0.1273,1.068031128912335,0.8209639843476331,1.059612450701259,-0.13165341168808298,0.2359032456132698,0.5503615871484027,-0.4940536766280388,0.6937817217074944
Kimi-K3-thinking-low,sentinel2,treatment_0006,True,0.5166120229214682,,,,,,,,,,0.9464639792428526,0.8104117461636823,0.5937134552037581,0.1170073285733852,-0.10474460455252793,0.029717346067858363,-0.1602960611809121,0.42285557060496126
gpt-oss-120b,sentinel2,treatment_0006,True,0.7086863817967702,,,,,,,,,,1.0125801546474429,0.8104117461636823,1.063942233071712,-0.12311940286362832,0.34585462485615437,0.6163454652413409,-0.49088422241459395,0.6694844266291919
gpt-oss-120b (default effort),sentinel2,treatment_0006,False,,,,,,,,,,,,,,,,,,
scm,sentinel2,treatment_0007,True,0.07553525568146889,,,,1.1941096395751876,0.06325654963169132,good,1.0,1.0,0.0000 0.0000 0.0000 1.0000 0.0000,0.12473116892310665,-0.11433082754752377,0.0630605622269278,-0.07768853271377929,-0.034812241936766464,-0.05995160615634343,-0.04500861456027039,0.01308399406421401
Kimi-K3-thinking-low,sentinel2,treatment_0007,True,0.1653590986237168,,,,,,,,,,-0.09836247031594592,-0.20479343330079813,-0.07996613847436551,-0.05591776963914663,-0.2848114037727465,-0.24971678279889353,0.06542982616035253,-0.09927273717228102
gpt-oss-120b,sentinel2,treatment_0007,True,0.23260228199262553,,,,,,,,,,-0.23059482112512653,-0.2584404469490811,-0.18446142244502206,0.08351065506621613,-0.25977811325004185,-0.24971678279889353,0.14957953992892636,-0.3459015931965119
gpt-oss-120b (default effort),sentinel2,treatment_0007,False,,,,,,,,,,,,,,,,,,
scm,sentinel2,treatment_0008,True,0.3069208881622818,,,,0.3909369659978615,0.7850904745701657,good,0.6214303010092546,1.8886075257956396,0.6214 0.0000 0.0000 0.0000 0.3786,-0.2768764223845086,-0.3096447710241837,-0.40668402781264734,0.07072585926123653,-0.3509074991342528,-0.3507890846842344,0.22720354645440066,-0.3359441369895495
Kimi-K3-thinking-low,sentinel2,treatment_0008,False,,,,,,,,,,,,,,,,,,
gpt-oss-120b,sentinel2,treatment_0008,True,0.09940462343886229,,,,,,,,,,-0.04277199486890543,-0.07725148334457305,-0.00026581960930571746,-0.1246037620024727,0.11370012236947397,0.19243573564675476,-0.06110053069206556,0.04510349063372976
gpt-oss-120b (default effort),sentinel2,treatment_0008,True,0.42012757907332043,,,,,,,,,,-0.10888817027349573,-0.23819252428942186,-0.47049459747725975,-0.28727025749206214,-0.7874983364478914,-0.6223255409830829,0.16129514141059298,-0.07821093737838569
scm,sentinel2,treatment_0009,True,0.395344127945732,,,,0.4139240215634481,0.9551127920831043,good,0.5170149448610406,1.9976866121913421,0.0000 0.0000 0.0000 0.4830 0.5170,-0.6995881212331889,-0.3803394271555059,-0.5461810904260842,0.14642194479284387,0.04017405952220393,-0.05756440923513084,0.2952373315891501,-0.4521596500141283
Kimi-K3-thinking-low,sentinel2,treatment_0009,False,,,,,,,,,,,,,,,,,,
