model,sensor,n_cells_bands,slope_on_linear9,r2_on_linear9,mean_abs_model_move,mean_abs_truth_move,direction_ok_model,direction_ok_last3_mean,direction_ok_own_mean,direction_ok_linear9,direction_ok_linear4,direction_ok_holt_damped,nearest_persistence,nearest_last3_mean,nearest_own_mean,nearest_linear9,nearest_linear4,nearest_holt_damped
Kimi-K3-thinking-low,sentinel1,36,0.4653233204260085,0.27351549709687184,0.1531131530674382,0.5796230773396318,0.75,0.8611111111111112,0.5833333333333334,0.75,0.75,0.8055555555555556,6,16,0,6,3,5
Kimi-K3-thinking-low,sentinel2,120,-0.6093161551588254,0.5558748697132901,0.28113170554624356,0.6452635720934176,0.425,0.49166666666666664,0.625,0.4083333333333333,0.5916666666666667,0.675,54,13,12,11,3,27
ensemble,sentinel1,36,0.49339386945443775,0.41357933465104235,0.13991265063096903,0.5796230773396318,0.6666666666666666,0.8611111111111112,0.5833333333333334,0.75,0.75,0.8055555555555556,9,11,2,5,3,6
ensemble,sentinel2,120,-0.36373371756033723,0.516146211484996,0.17577857968088553,0.6452635720934176,0.5166666666666667,0.49166666666666664,0.625,0.4083333333333333,0.5916666666666667,0.675,58,13,8,11,4,26
gpt-oss-120b,sentinel1,36,0.5214644184828635,0.2941205171832261,0.19924364378106704,0.5796230773396318,0.6944444444444444,0.8611111111111112,0.5833333333333334,0.75,0.75,0.8055555555555556,4,14,3,7,4,4
gpt-oss-120b,sentinel2,120,-0.11815127996184915,0.09563975936418462,0.1682598935400209,0.6452635720934176,0.55,0.49166666666666664,0.625,0.4083333333333333,0.5916666666666667,0.675,43,26,6,8,7,30
gpt-oss-120b (default effort),sentinel1,36,0.6931959847246825,0.4029339286359526,0.20919006293158018,0.5796230773396318,0.6944444444444444,0.8611111111111112,0.5833333333333334,0.75,0.75,0.8055555555555556,9,14,0,7,2,4
gpt-oss-120b (default effort),sentinel2,120,-0.0902916350265285,0.022062599502747745,0.2276127767560326,0.6452635720934176,0.5,0.49166666666666664,0.625,0.4083333333333333,0.5916666666666667,0.675,40,32,11,8,5,24
