method,sensor,n,mean_validation_rmse,median_validation_rmse
Kimi-K3-thinking-low,sentinel1,9,0.23090938066079097,0.21918989199301928
Kimi-K3-thinking-low,sentinel2,10,0.3531974674016206,0.30127242240681845
gpt-oss-120b,sentinel1,12,0.36072851752312934,0.25188199466780103
gpt-oss-120b,sentinel2,15,0.5719984289393475,0.5977552123903389
gpt-oss-120b (default effort),sentinel1,11,0.3055995261524415,0.23928482292095993
gpt-oss-120b (default effort),sentinel2,2,0.44167920379919456,0.44167920379919456
scm,sentinel1,12,0.3630957143053895,0.31491735242707775
scm,sentinel2,15,0.3416294434275399,0.3153323643943032
