label,sensor,period,treatment_site_id,group,rank,n_units,p_site,treated_magnitude,max_control_magnitude,repr,method
genfill,sentinel2,P16,treatment_0002,2,4,6,0.6666666666666666,0.237181780091844,0.349712590073314,gram,covmat
genfill,sentinel2,P16,treatment_0003,3,5,6,0.8333333333333334,0.118998639952611,0.191413420788249,gram,covmat
genfill,sentinel2,P16,treatment_0004,4,2,6,0.3333333333333333,0.163777235447827,0.197102378589136,gram,covmat
genfill,sentinel2,P16,treatment_0005,5,5,6,0.8333333333333334,0.0818831429825186,0.298985024983952,gram,covmat
genfill,sentinel2,P16,treatment_0006,6,6,6,1.0,0.0913576521603942,0.241839323749463,gram,covmat
genfill,sentinel2,P16,treatment_0007,7,4,6,0.6666666666666666,0.127663360914763,0.481613400000966,gram,covmat
genfill,sentinel2,P16,treatment_0008,8,2,6,0.3333333333333333,0.122879153562328,0.162373877004763,gram,covmat
genfill,sentinel2,P16,treatment_0009,9,4,6,0.6666666666666666,0.187118350196066,0.706382013503595,gram,covmat
genfill,sentinel2,P16,treatment_0010,10,4,6,0.6666666666666666,0.0959722354163941,0.20991007605632,gram,covmat
genfill,sentinel2,P20,treatment_0001,1,5,6,0.8333333333333334,0.241869932932727,0.697787642571967,gram,covmat
genfill,sentinel2,P20,treatment_0002,2,1,6,0.16666666666666666,0.203214099366087,0.167005269549772,gram,covmat
genfill,sentinel2,P20,treatment_0003,3,5,6,0.8333333333333334,0.134088167622254,0.695251639430599,gram,covmat
genfill,sentinel2,P20,treatment_0004,4,2,6,0.3333333333333333,0.494882045087857,0.523407767484614,gram,covmat
genfill,sentinel2,P20,treatment_0005,5,5,6,0.8333333333333334,0.28178093488666,0.625197956070588,gram,covmat
genfill,sentinel2,P20,treatment_0006,6,1,6,0.16666666666666666,0.315960610061764,0.304647148735488,gram,covmat
genfill,sentinel2,P20,treatment_0007,7,5,6,0.8333333333333334,0.168066039003784,0.537434651178669,gram,covmat
genfill,sentinel2,P20,treatment_0008,8,5,6,0.8333333333333334,0.29963591539872,0.750123372696908,gram,covmat
genfill,sentinel2,P20,treatment_0009,9,4,6,0.6666666666666666,0.305181440750633,0.473426535510791,gram,covmat
genfill,sentinel2,P20,treatment_0010,10,1,6,0.16666666666666666,0.755635214332181,0.658789580696197,gram,covmat
