group,site_id,seq,n_valid_parcels,masked
2,counterfactual_0002_02,3,53,True
2,counterfactual_0002_02,4,196,True
2,counterfactual_0002_02,5,171,True
2,counterfactual_0002_02,6,137,True
2,counterfactual_0002_02,7,0,False
2,counterfactual_0002_02,8,196,True
2,counterfactual_0002_02,9,196,True
2,counterfactual_0002_02,10,196,True
2,counterfactual_0002_02,11,196,True
2,counterfactual_0002_02,12,196,True
2,counterfactual_0002_02,13,155,True
2,counterfactual_0002_02,14,196,True
2,counterfactual_0002_02,16,125,True
2,counterfactual_0002_02,17,116,True
2,counterfactual_0002_02,18,8,False
2,counterfactual_0002_02,19,196,True
2,counterfactual_0002_02,20,196,True
2,counterfactual_0002_03,1,0,False
2,counterfactual_0002_03,2,194,True
2,counterfactual_0002_03,3,195,True
2,counterfactual_0002_03,4,196,True
2,counterfactual_0002_03,5,196,True
2,counterfactual_0002_03,6,109,True
2,counterfactual_0002_03,7,0,False
2,counterfactual_0002_03,8,196,True
2,counterfactual_0002_03,9,196,True
2,counterfactual_0002_03,10,196,True
2,counterfactual_0002_03,11,196,True
2,counterfactual_0002_03,12,196,True
2,counterfactual_0002_03,13,191,True
2,counterfactual_0002_03,14,196,True
2,counterfactual_0002_03,16,196,True
2,counterfactual_0002_03,17,77,True
2,counterfactual_0002_03,18,25,True
2,counterfactual_0002_03,19,196,True
2,counterfactual_0002_03,20,196,True
2,counterfactual_0002_04,1,196,True
2,counterfactual_0002_04,2,35,True
2,counterfactual_0002_04,3,193,True
2,counterfactual_0002_04,4,196,True
2,counterfactual_0002_04,5,196,True
2,counterfactual_0002_04,6,196,True
2,counterfactual_0002_04,7,193,True
2,counterfactual_0002_04,8,196,True
2,counterfactual_0002_04,9,196,True
2,counterfactual_0002_04,10,196,True
2,counterfactual_0002_04,11,196,True
2,counterfactual_0002_04,12,196,True
2,counterfactual_0002_04,13,196,True
2,counterfactual_0002_04,14,196,True
2,counterfactual_0002_04,16,196,True
2,counterfactual_0002_04,17,196,True
