variant,sensor,treatment_site_id,period,latent_gap_norm,treated_latent_present,donors_present
paper,sentinel1,treatment_0010,P12,,True,False
paper,sentinel1,treatment_0010,P13,0.9994358856002928,True,True
paper,sentinel1,treatment_0010,P14,1.0041706132975106,True,True
paper,sentinel1,treatment_0010,P15,,True,False
paper,sentinel1,treatment_0010,P16,,True,False
paper,sentinel1,treatment_0010,P17,1.0072282673375588,True,True
paper,sentinel1,treatment_0010,P18,1.0254677185405165,True,True
paper,sentinel1,treatment_0010,P19,1.0067097773784912,True,True
paper,sentinel1,treatment_0010,P20,0.9903112844816974,True,True
paper,sentinel2,treatment_0001,P11,1.2362960301697907,True,True
paper,sentinel2,treatment_0001,P12,1.2253917055177161,True,True
paper,sentinel2,treatment_0001,P13,0.9798785427731554,True,True
paper,sentinel2,treatment_0001,P14,1.1800514999295724,True,True
paper,sentinel2,treatment_0001,P15,,False,False
paper,sentinel2,treatment_0001,P16,1.284425942043959,True,True
paper,sentinel2,treatment_0001,P17,0.748688717716393,True,True
paper,sentinel2,treatment_0001,P18,0.7817971602313738,True,True
paper,sentinel2,treatment_0001,P19,1.4163345866014398,True,True
paper,sentinel2,treatment_0001,P20,1.4629321657654553,True,True
paper,sentinel2,treatment_0002,P11,1.260199176459304,True,True
paper,sentinel2,treatment_0002,P12,1.2760862716496415,True,True
paper,sentinel2,treatment_0002,P13,0.8597384554362015,True,True
paper,sentinel2,treatment_0002,P14,1.297069147296378,True,True
paper,sentinel2,treatment_0002,P15,,False,False
paper,sentinel2,treatment_0002,P16,1.2106248318890414,True,True
paper,sentinel2,treatment_0002,P17,0.8737906414090215,True,True
paper,sentinel2,treatment_0002,P18,0.8315143498623421,True,True
paper,sentinel2,treatment_0002,P19,1.3413765656964969,True,True
paper,sentinel2,treatment_0002,P20,1.3160071480096174,True,True
paper,sentinel2,treatment_0003,P11,1.0295948927479934,True,True
paper,sentinel2,treatment_0003,P12,1.0651381163366593,True,True
paper,sentinel2,treatment_0003,P13,1.3012906968648728,True,True
paper,sentinel2,treatment_0003,P14,0.6235169268947544,True,True
paper,sentinel2,treatment_0003,P15,,False,False
paper,sentinel2,treatment_0003,P16,1.1014517990316854,True,True
paper,sentinel2,treatment_0003,P17,1.0993328117636807,True,True
paper,sentinel2,treatment_0003,P18,1.0895324727485811,True,True
paper,sentinel2,treatment_0003,P19,1.1701258315227967,True,True
paper,sentinel2,treatment_0003,P20,1.2548682348197493,True,True
paper,sentinel2,treatment_0004,P11,1.2052695181939852,True,True
paper,sentinel2,treatment_0004,P12,1.228324905049682,True,True
paper,sentinel2,treatment_0004,P13,0.5687153407033616,True,True
paper,sentinel2,treatment_0004,P14,1.1995559685146702,True,True
paper,sentinel2,treatment_0004,P15,,True,False
paper,sentinel2,treatment_0004,P16,1.030990810175517,True,True
paper,sentinel2,treatment_0004,P17,0.9875996663903279,True,True
paper,sentinel2,treatment_0004,P18,0.9288738166794163,True,True
paper,sentinel2,treatment_0004,P19,1.2933626503921767,True,True
paper,sentinel2,treatment_0004,P20,1.3939607429806966,True,True
paper,sentinel2,treatment_0005,P11,1.2128038188524226,True,True
paper,sentinel2,treatment_0005,P12,1.240674762996576,True,True
paper,sentinel2,treatment_0005,P13,0.6568570262786756,True,True
paper,sentinel2,treatment_0005,P14,1.0917407074170133,True,True
paper,sentinel2,treatment_0005,P15,,True,False
paper,sentinel2,treatment_0005,P16,1.185615300993191,True,True
