cache,sensor,repr,site,test,test_rmse,train_rmse,n_test_dims
chipmean,sentinel1,quantile,treatment_0006,P09,0.726319163294068,0.8236252966378168,100
chipmean,sentinel1,quantile,treatment_0007,P09,0.9222872605962794,0.7897262690218589,100
chipmean,sentinel1,quantile,treatment_0008,P09,0.7559424431813748,0.8170640001068984,100
chipmean,sentinel1,quantile,treatment_0009,P09,0.6194493439074739,0.9470877778243424,100
chipmean,sentinel1,quantile,treatment_0010,P09,0.5936226140885509,0.7110925837893092,100
chipmean,sentinel1,quantile,treatment_0001,P10,0.9160045859348784,0.8377826807040825,100
chipmean,sentinel1,quantile,treatment_0002,P10,0.842200006351342,0.8015645289232127,100
chipmean,sentinel1,quantile,treatment_0003,P10,0.9177612376223591,0.9870395264244791,100
chipmean,sentinel1,quantile,treatment_0004,P10,0.9894378346540933,0.8216129515545754,100
chipmean,sentinel1,quantile,treatment_0005,P10,0.6729697001217105,1.098270543255563,100
chipmean,sentinel1,quantile,treatment_0006,P10,1.1713308909858071,0.7865125033810874,100
chipmean,sentinel1,quantile,treatment_0007,P10,1.0861329394558243,0.8176092801866647,100
chipmean,sentinel1,quantile,treatment_0008,P10,0.8291398364138448,0.8153697592184966,100
chipmean,sentinel1,quantile,treatment_0009,P10,0.7189490047857272,0.9404784193349527,100
chipmean,sentinel1,quantile,treatment_0010,P10,0.7250059079322339,0.6998022398771777,100
chipmean,sentinel1,gram,treatment_0001,P09,0.6232166923176988,0.713824508910602,15
chipmean,sentinel1,gram,treatment_0002,P09,0.9966559399866443,0.7035304564090219,15
chipmean,sentinel1,gram,treatment_0003,P09,0.8430235522936248,0.4749978767996712,15
chipmean,sentinel1,gram,treatment_0004,P09,0.6220007110389107,0.7221017199325813,15
chipmean,sentinel1,gram,treatment_0005,P09,0.49649099349101367,0.572855489070953,15
chipmean,sentinel1,gram,treatment_0006,P09,0.8578879720732089,0.6944442871413171,15
chipmean,sentinel1,gram,treatment_0007,P09,0.9688418693711672,0.7215414033506234,15
chipmean,sentinel1,gram,treatment_0008,P09,0.6786170997621706,0.7503296169464835,15
chipmean,sentinel1,gram,treatment_0009,P09,0.45750442920878825,0.682695036256232,15
chipmean,sentinel1,gram,treatment_0010,P09,0.37948503554303925,0.5532326155268915,15
chipmean,sentinel1,gram,treatment_0001,P10,0.8673935815887922,0.7072188002420817,15
chipmean,sentinel1,gram,treatment_0002,P10,0.6443503110695629,0.7368569071629597,15
chipmean,sentinel1,gram,treatment_0003,P10,0.33663776845291593,0.5048242584183186,15
chipmean,sentinel1,gram,treatment_0004,P10,0.9859673131042326,0.7115443384194671,15
chipmean,sentinel1,gram,treatment_0005,P10,0.5700708013321497,0.5664477577287397,15
chipmean,sentinel1,gram,treatment_0006,P10,0.8203493723352228,0.7115146464327323,15
chipmean,sentinel1,gram,treatment_0007,P10,0.8790955702178376,0.7707217436167543,15
chipmean,sentinel1,gram,treatment_0008,P10,1.1103992277732526,0.7430197997761226,15
chipmean,sentinel1,gram,treatment_0009,P10,0.5330431538768817,0.661117101159346,15
chipmean,sentinel1,gram,treatment_0010,P10,0.5768324348243005,0.5368078911116364,15
chipmean,sentinel1,combined,treatment_0001,P09,0.8341778145978412,0.821365877967465,115
chipmean,sentinel1,combined,treatment_0002,P09,0.9129407939333474,0.7880888398258276,115
chipmean,sentinel1,combined,treatment_0003,P09,1.0341586804834124,0.9085472529222568,115
chipmean,sentinel1,combined,treatment_0004,P09,0.7002063540692681,0.8312263246574256,115
chipmean,sentinel1,combined,treatment_0005,P09,0.6699529185019809,1.0538165917040647,115
chipmean,sentinel1,combined,treatment_0006,P09,0.7583042859756957,0.8144715070324614,115
chipmean,sentinel1,combined,treatment_0007,P09,0.9331648178189821,0.7844460801089049,115
chipmean,sentinel1,combined,treatment_0008,P09,0.7471525964347632,0.8162787106239584,115
chipmean,sentinel1,combined,treatment_0009,P09,0.6013192604720514,0.9203510886099325,115
chipmean,sentinel1,combined,treatment_0010,P09,0.5690044933126712,0.694383682911743,115
chipmean,sentinel1,combined,treatment_0001,P10,0.9089747550599299,0.8273623592673977,115
chipmean,sentinel1,combined,treatment_0002,P10,0.822426641724605,0.7971033232155598,115
chipmean,sentinel1,combined,treatment_0003,P10,0.861270268173227,0.9405187247256449,115
chipmean,sentinel1,combined,treatment_0004,P10,0.982077170143582,0.8171226151396948,115
chipmean,sentinel1,combined,treatment_0005,P10,0.6674604677363678,1.0474633595480876,115
chipmean,sentinel1,combined,treatment_0006,P10,1.1364341151891388,0.7841920990220477,115
chipmean,sentinel1,combined,treatment_0007,P10,1.0741904990385278,0.8157282845767932,115
chipmean,sentinel1,combined,treatment_0008,P10,0.8662503490739497,0.8135989713437808,115
chipmean,sentinel1,combined,treatment_0009,P10,0.702857386653439,0.9120972131242053,115
chipmean,sentinel1,combined,treatment_0010,P10,0.7150402777550128,0.6823271033627077,115
chipmean,sentinel2,latent980,treatment_0001,P09,1.0829301609210387,0.9414736531640259,980
chipmean,sentinel2,latent980,treatment_0002,P09,1.2053632186495258,0.8880965738259994,980
chipmean,sentinel2,latent980,treatment_0003,P09,0.89904218911365,0.839973061496041,980
chipmean,sentinel2,latent980,treatment_0004,P09,1.425443275733933,1.085364285611995,980
chipmean,sentinel2,latent980,treatment_0005,P09,1.1228150250487199,1.1491995158689565,980
chipmean,sentinel2,latent980,treatment_0006,P09,1.2374566486878897,0.9623327658500573,980
chipmean,sentinel2,latent980,treatment_0007,P09,1.0939711114598,0.7799338101712376,980
chipmean,sentinel2,latent980,treatment_0008,P09,1.016806858465133,0.8842864897358713,980
chipmean,sentinel2,latent980,treatment_0009,P09,1.1051737134769866,0.8909593218076662,980
chipmean,sentinel2,latent980,treatment_0010,P09,0.8799929831229668,1.1163498669746907,980
chipmean,sentinel2,latent980,treatment_0001,P10,1.3495277779000272,0.9441417057687973,980
chipmean,sentinel2,latent980,treatment_0002,P10,1.2042949716315652,0.9161817577034634,980
chipmean,sentinel2,latent980,treatment_0003,P10,0.9130265400897671,0.8346944382708986,980
chipmean,sentinel2,latent980,treatment_0004,P10,1.4336158807997286,1.1117865271761906,980
chipmean,sentinel2,latent980,treatment_0005,P10,1.3433596005490516,1.1299500408180854,980
chipmean,sentinel2,latent980,treatment_0006,P10,1.2268078508617577,0.981237724764989,980
chipmean,sentinel2,latent980,treatment_0007,P10,1.0759541194312707,0.8086151001323091,980
