fill,sensor,repr,M,estimator,perm,role,site,n_donors,n_pre,n_valid_test,rmse_train,rmse_test,rms_y_test,w_max,rel_l2_test,C2,C3,n_cells_used,rmse_test_unproj,sum_w,n_negative,lambda_,lambda_flag,rmse_test_fscm
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned,-,estimator,treatment_0002,5,9,196,0.01209844004468203,0.014228669128289404,0.542695340260153,1.0,0.02621852091353609,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned,-,estimator,treatment_0003,5,9,196,0.008419351794939025,0.009242700177836384,0.5569830615166519,1.0,0.016594221290444144,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned,-,estimator,treatment_0004,5,9,196,0.006586952085183768,0.02079644418831944,0.5400293652841116,0.7351924698012163,0.03850983951100205,False,True,,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned,-,estimator,treatment_0005,5,9,196,0.012536227539643436,0.018435042356409102,0.5448275725041124,0.9310392176459554,0.03383647099884974,True,False,,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned,-,estimator,treatment_0006,5,9,196,0.011296011500330461,0.009881570870320867,0.5431111390194449,0.800092150710313,0.01819438078210191,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned,-,estimator,treatment_0007,5,5,196,0.0077377394374761755,0.014268561842518245,0.5344816979675697,0.9999999999999999,0.02669607190812361,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned,-,estimator,treatment_0008,5,9,196,0.010372818102191097,0.014804987733214259,0.5525691760009912,0.5550429453603307,0.026793003258632184,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned,-,estimator,treatment_0009,5,9,196,0.011007645561377576,0.009495768541106439,0.5440042620819244,0.6394684642622545,0.017455320119672928,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned,-,estimator,treatment_0010,5,9,196,0.008222565525940816,0.007675949059609934,0.5554742461492069,0.6535612492608052,0.013818730774330235,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,-,estimator,treatment_0001,5,9,196,0.011192417772821506,0.012047387951717795,0.537943469290473,0.8053254802238947,0.02239526760610709,False,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,-,estimator,treatment_0002,5,9,196,0.012569555857869496,0.01631885300604957,0.542695340260153,1.0,0.03007000759989346,False,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,-,estimator,treatment_0003,5,9,196,0.008783097436234821,0.010118981528327972,0.5569830615166519,1.0,0.01816748520282506,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,-,estimator,treatment_0004,5,9,196,0.006989287739884254,0.0197455950906552,0.5400293652841116,0.7981234444975238,0.036563928482420516,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,-,estimator,treatment_0005,5,9,196,0.013084367263931636,0.016832920686028673,0.5448275725041124,0.888525852167991,0.03089586785900344,True,False,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,-,estimator,treatment_0006,5,9,196,0.011550632514951788,0.008321682282806277,0.5431111390194449,0.8358356651480053,0.015322245641712641,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,-,estimator,treatment_0007,5,5,196,0.008825339205043132,0.016304937968069026,0.5344816979675697,0.9999999999999998,0.030506073510225877,True,True,25.0,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,-,estimator,treatment_0008,5,9,196,0.011528725440105306,0.010016385623288493,0.5525691760009912,0.6763780450056129,0.01812693515729246,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,-,estimator,treatment_0009,5,9,196,0.011904393689992736,0.007310893846544337,0.5440042620819244,0.9997599745588589,0.013439037809309206,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,perdim_scm_demeaned_std,-,estimator,treatment_0010,5,9,196,0.00899606678660884,0.006716979840546461,0.5554742461492069,0.8691119606097675,0.012092333509809924,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned,-,estimator,treatment_0001,5,9,196,0.01079837142543815,0.012252953712181002,0.537943469290473,0.46023233810279385,0.02277740025051737,False,True,,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned,-,estimator,treatment_0002,5,9,196,0.01411651194554474,0.010112773212476289,0.542695340260153,0.4230662047743964,0.018634346865091026,True,True,,,,,,,
