site_id,sensor,period_id,seq,valid_pixel_fraction,fill_method,arm
counterfactual_0001_02,sentinel2,after_P10,20,1.0,none,
counterfactual_0001_03,sentinel1,before_P01,1,1.0,none,
counterfactual_0001_03,sentinel1,before_P02,2,1.0,none,
counterfactual_0001_03,sentinel1,before_P03,3,1.0,none,
counterfactual_0001_03,sentinel1,before_P04,4,1.0,none,
counterfactual_0001_03,sentinel1,before_P05,5,1.0,none,
counterfactual_0001_03,sentinel1,before_P06,6,1.0,none,
counterfactual_0001_03,sentinel1,before_P07,7,1.0,none,
counterfactual_0001_03,sentinel1,before_P08,8,1.0,none,
counterfactual_0001_03,sentinel1,before_P09,9,1.0,none,
counterfactual_0001_03,sentinel1,before_P10,10,1.0,none,
counterfactual_0001_03,sentinel1,after_P01,11,1.0,none,
counterfactual_0001_03,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0001_03,sentinel1,after_P03,13,1.0,none,
counterfactual_0001_03,sentinel1,after_P04,14,1.0,none,
counterfactual_0001_03,sentinel1,after_P05,15,,still_missing,
counterfactual_0001_03,sentinel1,after_P06,16,1.0,none,
counterfactual_0001_03,sentinel1,after_P07,17,1.0,none,
counterfactual_0001_03,sentinel1,after_P08,18,1.0,none,
counterfactual_0001_03,sentinel1,after_P09,19,1.0,none,
counterfactual_0001_03,sentinel1,after_P10,20,1.0,none,
counterfactual_0001_03,sentinel2,before_P01,1,1.0,none,
counterfactual_0001_03,sentinel2,before_P02,2,0.1156749338300166,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,before_P03,3,0.9976472894814232,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,before_P04,4,0.9674541711596902,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,before_P05,5,1.0,none,
counterfactual_0001_03,sentinel2,before_P06,6,0.0,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,before_P07,7,0.7957063033035977,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,before_P08,8,0.3798647191451818,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,before_P09,9,0.7460052935986669,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,before_P10,10,1.0,none,
counterfactual_0001_03,sentinel2,after_P01,11,1.0,none,
counterfactual_0001_03,sentinel2,after_P02,12,1.0,none,
counterfactual_0001_03,sentinel2,after_P03,13,0.0,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,after_P04,14,0.952553671208705,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,after_P05,15,,still_missing,
counterfactual_0001_03,sentinel2,after_P06,16,0.9776492500735222,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,after_P07,17,0.0,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,after_P08,18,0.0,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,after_P09,19,0.9978433486913048,generated_s1_to_s2,A
counterfactual_0001_03,sentinel2,after_P10,20,0.3910400941084207,generated_s1_to_s2,A
counterfactual_0001_04,sentinel1,before_P01,1,1.0,none,
counterfactual_0001_04,sentinel1,before_P02,2,1.0,none,
counterfactual_0001_04,sentinel1,before_P03,3,1.0,none,
counterfactual_0001_04,sentinel1,before_P04,4,1.0,none,
counterfactual_0001_04,sentinel1,before_P05,5,1.0,none,
counterfactual_0001_04,sentinel1,before_P06,6,1.0,none,
counterfactual_0001_04,sentinel1,before_P07,7,1.0,none,
counterfactual_0001_04,sentinel1,before_P08,8,1.0,none,
counterfactual_0001_04,sentinel1,before_P09,9,1.0,none,
counterfactual_0001_04,sentinel1,before_P10,10,1.0,none,
counterfactual_0001_04,sentinel1,after_P01,11,1.0,none,
counterfactual_0001_04,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0001_04,sentinel1,after_P03,13,1.0,none,
counterfactual_0001_04,sentinel1,after_P04,14,1.0,none,
counterfactual_0001_04,sentinel1,after_P05,15,,still_missing,
counterfactual_0001_04,sentinel1,after_P06,16,1.0,none,
counterfactual_0001_04,sentinel1,after_P07,17,1.0,none,
counterfactual_0001_04,sentinel1,after_P08,18,1.0,none,
counterfactual_0001_04,sentinel1,after_P09,19,1.0,none,
counterfactual_0001_04,sentinel1,after_P10,20,1.0,none,
counterfactual_0001_04,sentinel2,before_P01,1,1.0,none,
counterfactual_0001_04,sentinel2,before_P02,2,0.9945103421233212,generated_s1_to_s2,A
counterfactual_0001_04,sentinel2,before_P03,3,0.0,generated_s1_to_s2,A
counterfactual_0001_04,sentinel2,before_P04,4,1.0,none,
counterfactual_0001_04,sentinel2,before_P05,5,1.0,none,
counterfactual_0001_04,sentinel2,before_P06,6,0.0,generated_s1_to_s2,A
counterfactual_0001_04,sentinel2,before_P07,7,0.5365160278404077,generated_s1_to_s2,A
counterfactual_0001_04,sentinel2,before_P08,8,0.9400058817762964,generated_s1_to_s2,A
counterfactual_0001_04,sentinel2,before_P09,9,0.8837368885403392,generated_s1_to_s2,A
counterfactual_0001_04,sentinel2,before_P10,10,1.0,none,
counterfactual_0001_04,sentinel2,after_P01,11,1.0,none,
counterfactual_0001_04,sentinel2,after_P02,12,1.0,none,
counterfactual_0001_04,sentinel2,after_P03,13,0.0,generated_s1_to_s2,A
counterfactual_0001_04,sentinel2,after_P04,14,0.9725517106166062,generated_s1_to_s2,A
counterfactual_0001_04,sentinel2,after_P05,15,,still_missing,
counterfactual_0001_04,sentinel2,after_P06,16,1.0,none,
counterfactual_0001_04,sentinel2,after_P07,17,0.6162140966571905,generated_s1_to_s2,A
counterfactual_0001_04,sentinel2,after_P08,18,0.2439956866973826,generated_s1_to_s2,A
counterfactual_0001_04,sentinel2,after_P09,19,1.0,none,
counterfactual_0001_04,sentinel2,after_P10,20,1.0,none,
counterfactual_0001_05,sentinel1,before_P01,1,1.0,none,
counterfactual_0001_05,sentinel1,before_P02,2,1.0,none,
counterfactual_0001_05,sentinel1,before_P03,3,1.0,none,
counterfactual_0001_05,sentinel1,before_P04,4,1.0,none,
counterfactual_0001_05,sentinel1,before_P05,5,1.0,none,
counterfactual_0001_05,sentinel1,before_P06,6,1.0,none,
counterfactual_0001_05,sentinel1,before_P07,7,1.0,none,
counterfactual_0001_05,sentinel1,before_P08,8,1.0,none,
counterfactual_0001_05,sentinel1,before_P09,9,1.0,none,
counterfactual_0001_05,sentinel1,before_P10,10,1.0,none,
counterfactual_0001_05,sentinel1,after_P01,11,1.0,none,
counterfactual_0001_05,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0001_05,sentinel1,after_P03,13,1.0,none,
counterfactual_0001_05,sentinel1,after_P04,14,1.0,none,
counterfactual_0001_05,sentinel1,after_P05,15,,still_missing,
counterfactual_0001_05,sentinel1,after_P06,16,1.0,none,
counterfactual_0001_05,sentinel1,after_P07,17,1.0,none,
