label,sensor,period,n_groups,n_rank1,min_possible_p,median_rank,p_combined
genfill,sentinel1,P11,10,3,0.16666666666666666,3.0,0.22477320212874055
genfill,sentinel2,P11,10,2,0.16666666666666666,2.5,0.5154832513304629
