label,repr,period,treatment_site_id,group,rank,n_units,p_site,treated_magnitude,max_control_magnitude,sensor
maskdrop,quantile,P11,treatment_0004,4,5,6,0.8333333333333334,0.60755222697567,0.842840628327082,sentinel2
maskdrop,quantile,P11,treatment_0005,5,4,6,0.6666666666666666,0.769686937297047,1.02522438452472,sentinel2
maskdrop,quantile,P11,treatment_0006,6,3,6,0.5,0.746767651688496,0.927095117123546,sentinel2
maskdrop,quantile,P11,treatment_0007,7,2,6,0.3333333333333333,0.894753982008788,0.905761100554568,sentinel2
maskdrop,quantile,P11,treatment_0008,8,1,6,0.16666666666666666,0.793131566770555,0.744851135966191,sentinel2
maskdrop,quantile,P11,treatment_0009,9,4,6,0.6666666666666666,0.698176941134314,1.1375637324069,sentinel2
maskdrop,quantile,P11,treatment_0010,10,4,6,0.6666666666666666,0.733048125409882,0.919200123849986,sentinel2
unmasked,gram,P11,treatment_0001,1,4,6,0.6666666666666666,0.137043403287735,0.309134755504895,
unmasked,gram,P11,treatment_0002,2,1,6,0.16666666666666666,0.22671135520254,0.191348669150299,
unmasked,gram,P11,treatment_0003,3,3,6,0.5,0.0931972300500391,0.118465549834896,
unmasked,gram,P11,treatment_0004,4,1,6,0.16666666666666666,0.253296090384934,0.243546275332157,
unmasked,gram,P11,treatment_0005,5,1,6,0.16666666666666666,0.281162197877587,0.237539149198907,
unmasked,gram,P11,treatment_0006,6,2,6,0.3333333333333333,0.263496614872652,0.323171395733598,
unmasked,gram,P11,treatment_0007,7,4,6,0.6666666666666666,0.181110644388276,0.327430013062362,
unmasked,gram,P11,treatment_0008,8,3,6,0.5,0.163520674986849,0.27503874025966,
unmasked,gram,P11,treatment_0009,9,3,6,0.5,0.167708796454429,0.29039042963765,
unmasked,gram,P11,treatment_0010,10,3,6,0.5,0.185123692402979,0.244671442051178,
masked,gram,P11,treatment_0001,1,4,6,0.6666666666666666,0.123258989080381,0.311859517342124,
masked,gram,P11,treatment_0002,2,2,6,0.3333333333333333,0.186075352023513,0.195002680344271,
masked,gram,P11,treatment_0003,3,3,6,0.5,0.102838375464435,0.136636387905924,
masked,gram,P11,treatment_0004,4,1,6,0.16666666666666666,0.215357263091162,0.212385596615158,
masked,gram,P11,treatment_0005,5,1,6,0.16666666666666666,0.286277561411863,0.267374240633094,
masked,gram,P11,treatment_0006,6,2,6,0.3333333333333333,0.238157445276074,0.323171380717161,
masked,gram,P11,treatment_0007,7,5,6,0.8333333333333334,0.16421654892414,0.310665030454464,
masked,gram,P11,treatment_0008,8,3,6,0.5,0.193946974990093,0.263364339305906,
masked,gram,P11,treatment_0009,9,3,6,0.5,0.15662161992223,0.278612704315897,
masked,gram,P11,treatment_0010,10,2,6,0.3333333333333333,0.220039531922471,0.240978581645996,
maskdrop,gram,P11,treatment_0001,1,3,6,0.5,0.139381484219865,0.241653451264413,sentinel2
maskdrop,gram,P11,treatment_0002,2,1,6,0.16666666666666666,0.17007824567426,0.157603832363446,sentinel2
maskdrop,gram,P11,treatment_0003,3,2,6,0.3333333333333333,0.118286318854989,0.184442388035558,sentinel2
maskdrop,gram,P11,treatment_0004,4,5,6,0.8333333333333334,0.133939963666817,0.186588957069015,sentinel2
maskdrop,gram,P11,treatment_0005,5,2,6,0.3333333333333333,0.193490173509338,0.263532625921255,sentinel2
maskdrop,gram,P11,treatment_0006,6,4,6,0.6666666666666666,0.0685727559093642,0.163707011433946,sentinel2
maskdrop,gram,P11,treatment_0007,7,1,6,0.16666666666666666,0.32837416582338,0.264126859875889,sentinel2
maskdrop,gram,P11,treatment_0008,8,1,6,0.16666666666666666,0.17985412895988,0.173022628876448,sentinel2
maskdrop,gram,P11,treatment_0009,9,3,6,0.5,0.143496012812645,0.305541467921756,sentinel2
maskdrop,gram,P11,treatment_0010,10,3,6,0.5,0.175191084064538,0.23946626585816,sentinel2
unmasked,combined,P11,treatment_0001,1,4,6,0.6666666666666666,1.0490929727763,1.83127617376733,
unmasked,combined,P11,treatment_0002,2,1,6,0.16666666666666666,1.47704457233899,1.39228665746348,
unmasked,combined,P11,treatment_0003,3,2,6,0.3333333333333333,0.996461094509695,1.10667530706784,
unmasked,combined,P11,treatment_0004,4,3,6,0.5,1.29755075732172,1.61709713853617,
unmasked,combined,P11,treatment_0005,5,1,6,0.16666666666666666,1.79133269026309,1.56237644665404,
unmasked,combined,P11,treatment_0006,6,2,6,0.3333333333333333,1.41130847465726,1.66109264239632,
unmasked,combined,P11,treatment_0007,7,4,6,0.6666666666666666,1.19524486028868,1.67679529936125,
unmasked,combined,P11,treatment_0008,8,3,6,0.5,1.21975495201522,1.45122850248054,
unmasked,combined,P11,treatment_0009,9,3,6,0.5,1.41944593906385,1.75778440420928,
unmasked,combined,P11,treatment_0010,10,3,6,0.5,1.18232477395415,1.44805646724844,
masked,combined,P11,treatment_0001,1,4,6,0.6666666666666666,1.07693467915141,1.89211061207368,
masked,combined,P11,treatment_0002,2,2,6,0.3333333333333333,1.22465377154663,1.46019643536886,
masked,combined,P11,treatment_0003,3,3,6,0.5,1.00223909313632,1.13511924883072,
masked,combined,P11,treatment_0004,4,3,6,0.5,1.23015544214743,1.53375295003147,
masked,combined,P11,treatment_0005,5,1,6,0.16666666666666666,1.7808725384961,1.67646444545039,
masked,combined,P11,treatment_0006,6,2,6,0.3333333333333333,1.34271512966862,1.60034646780997,
masked,combined,P11,treatment_0007,7,4,6,0.6666666666666666,1.22768902755794,1.65055752242512,
masked,combined,P11,treatment_0008,8,2,6,0.3333333333333333,1.37281783428495,1.48772409606021,
masked,combined,P11,treatment_0009,9,3,6,0.5,1.42393348538506,1.73825661167658,
masked,combined,P11,treatment_0010,10,4,6,0.6666666666666666,1.23115235588729,1.44347797124577,
