sensor,treatment_site_id,period,latent_gap_norm,latent_frac_outside_01,treated_latent_present,donors_present
sentinel1,treatment_0010,P11,1.071031827698356,0.0,True,True
sentinel1,treatment_0010,P12,,,True,False
sentinel1,treatment_0010,P13,1.0677299565430327,0.0,True,True
sentinel1,treatment_0010,P14,1.0665542169637252,0.0,True,True
sentinel1,treatment_0010,P15,,,True,False
sentinel1,treatment_0010,P16,,,True,False
sentinel1,treatment_0010,P17,1.0705095389299564,0.0,True,True
sentinel1,treatment_0010,P18,1.0941036891700495,0.0,True,True
sentinel1,treatment_0010,P19,1.0799274164513082,0.0,True,True
sentinel1,treatment_0010,P20,1.0532422624946813,0.0,True,True
sentinel2,treatment_0001,P11,1.2806697754133936,0.0,True,True
sentinel2,treatment_0001,P12,1.2693243565324264,0.0,True,True
sentinel2,treatment_0001,P13,0.9500309376282479,0.0,True,True
sentinel2,treatment_0001,P14,1.2703307645993855,0.0,True,True
sentinel2,treatment_0001,P15,,,False,False
sentinel2,treatment_0001,P16,1.322787020761577,0.0,True,True
sentinel2,treatment_0001,P17,0.6740684796840762,0.0,True,True
sentinel2,treatment_0001,P18,0.7970527060152832,0.0,True,True
sentinel2,treatment_0001,P19,1.4495194791737076,0.0,True,True
sentinel2,treatment_0001,P20,1.5256814128639902,0.0,True,True
sentinel2,treatment_0002,P11,1.3330503757886563,0.0,True,True
sentinel2,treatment_0002,P12,1.3643074419581107,0.0,True,True
sentinel2,treatment_0002,P13,0.7176840084418779,0.0,True,True
sentinel2,treatment_0002,P14,1.347719684101703,0.0,True,True
sentinel2,treatment_0002,P15,,,False,False
sentinel2,treatment_0002,P16,1.2505325862100842,0.0,True,True
sentinel2,treatment_0002,P17,1.0160905373578555,0.0,True,True
sentinel2,treatment_0002,P18,0.8258610117638867,0.0,True,True
sentinel2,treatment_0002,P19,1.4654629784097215,0.0,True,True
sentinel2,treatment_0002,P20,1.4006252736717169,0.0,True,True
sentinel2,treatment_0003,P11,1.0732684132496857,0.0,True,True
sentinel2,treatment_0003,P12,1.1090651140409793,0.0,True,True
sentinel2,treatment_0003,P13,1.3588002117794713,0.0,True,True
sentinel2,treatment_0003,P14,0.7174517674113718,0.0,True,True
sentinel2,treatment_0003,P15,,,False,False
sentinel2,treatment_0003,P16,1.222789766233331,0.0,True,True
sentinel2,treatment_0003,P17,1.2235256378390684,0.0,True,True
sentinel2,treatment_0003,P18,1.1190108741150726,0.0,True,True
sentinel2,treatment_0003,P19,1.230945018318106,0.0,True,True
sentinel2,treatment_0003,P20,1.3224825289327051,0.0,True,True
sentinel2,treatment_0004,P11,1.2797313707714861,0.0,True,True
sentinel2,treatment_0004,P12,1.3121392155826501,0.0,True,True
sentinel2,treatment_0004,P13,0.21784610110115932,0.0,True,True
sentinel2,treatment_0004,P14,1.242093889248558,0.0,True,True
sentinel2,treatment_0004,P15,,,True,False
sentinel2,treatment_0004,P16,1.069980234326299,0.0,True,True
sentinel2,treatment_0004,P17,1.1535859820630983,0.0,True,True
sentinel2,treatment_0004,P18,0.8997392924930402,0.0,True,True
sentinel2,treatment_0004,P19,1.377356126757925,0.0,True,True
sentinel2,treatment_0004,P20,1.454980736806635,0.0,True,True
sentinel2,treatment_0005,P11,1.2842605592180878,0.0,True,True
sentinel2,treatment_0005,P12,1.3156735458577107,0.0,True,True
sentinel2,treatment_0005,P13,0.42318664508447934,0.0,True,True
sentinel2,treatment_0005,P14,1.1378857768993873,0.0,True,True
sentinel2,treatment_0005,P15,,,True,False
sentinel2,treatment_0005,P16,1.2478616089678942,0.0,True,True
sentinel2,treatment_0005,P17,1.2915204438936139,0.0,True,True
sentinel2,treatment_0005,P18,0.7503836355061084,0.0,True,True
sentinel2,treatment_0005,P19,1.2956187235684635,0.0,True,True
sentinel2,treatment_0005,P20,1.3875554639371752,0.0,True,True
sentinel2,treatment_0006,P11,1.3395591519545214,0.0,True,True
sentinel2,treatment_0006,P12,1.3555618507478413,0.0,True,True
sentinel2,treatment_0006,P13,0.7095361191430437,0.0,True,True
sentinel2,treatment_0006,P14,1.2743883182714661,0.0,True,True
sentinel2,treatment_0006,P15,,,False,False
sentinel2,treatment_0006,P16,1.0875335110879596,0.0,True,True
sentinel2,treatment_0006,P17,1.3972646096167674,0.0,True,True
sentinel2,treatment_0006,P18,0.6948453811478876,0.0,True,True
sentinel2,treatment_0006,P19,1.3534734104181942,0.0,True,True
sentinel2,treatment_0006,P20,1.469112475845883,0.0,True,True
sentinel2,treatment_0007,P11,1.1650008351634171,0.0,True,True
sentinel2,treatment_0007,P12,1.191106045277124,0.0,True,True
sentinel2,treatment_0007,P13,1.165373108114711,0.0,True,True
sentinel2,treatment_0007,P14,0.5255517436337395,0.0,True,True
sentinel2,treatment_0007,P15,,,True,False
sentinel2,treatment_0007,P16,1.2712008508769048,0.0,True,True
sentinel2,treatment_0007,P17,1.338830395367858,0.0,True,True
sentinel2,treatment_0007,P18,1.1168192881177073,0.0,True,True
sentinel2,treatment_0007,P19,1.2532155506583265,0.0,True,True
sentinel2,treatment_0007,P20,1.2634862260683348,0.0,True,True
