sensor,weights_from,demeaned,raw_rmse,std_rmse
sentinel1,bands (her outcome),False,0.2591130938924959,0.37775831733685167
sentinel1,bands (her outcome),True,0.14630919800519487,0.27840114714182573
sentinel1,TerraMind 5ch (chip mean),False,0.4709834787340873,0.5023779512123001
sentinel1,TerraMind 5ch (chip mean),True,0.15442465140039643,0.28750192348091974
sentinel1,"quantile (distributional, 100-d)",False,0.6057501012290122,0.6040211627175586
sentinel1,"quantile (distributional, 100-d)",True,0.17624988281006032,0.28705212908810074
sentinel1,gram (15-d),False,0.5199389357354414,0.5332936563069289
sentinel1,gram (15-d),True,0.14698056060096096,0.2753905265724213
sentinel1,combined quantile+gram (115-d),False,0.6024489811544559,0.6011017647965101
sentinel1,combined quantile+gram (115-d),True,0.1754505249919251,0.28652135734522943
sentinel1,latent980,False,0.8602338303855306,0.8146395696542845
sentinel1,latent980,True,0.18185345032576827,0.2962597340817829
sentinel1,latent980 aligned,False,0.7672897645368731,0.7673540904929507
sentinel1,latent980 aligned,True,0.233820216336895,0.33001474702021605
sentinel1,equal weight (baseline),False,0.7916372418403625,0.7824626810848115
sentinel2,bands (her outcome),False,0.021593409314338244,0.39980920806930353
sentinel2,bands (her outcome),True,0.02062295860016243,0.392793702899957
sentinel2,TerraMind 5ch (chip mean),False,0.02699210510652067,0.47229907978068963
sentinel2,TerraMind 5ch (chip mean),True,0.01996115346555756,0.33424476474872283
sentinel2,"quantile (distributional, 100-d)",False,0.023674089819873772,0.43422174156559695
sentinel2,"quantile (distributional, 100-d)",True,0.019548584248821336,0.3400979053369809
sentinel2,gram (15-d),False,0.024914521348021246,0.43882238491624326
sentinel2,gram (15-d),True,0.020346941943449895,0.34381604285983
sentinel2,combined quantile+gram (115-d),False,0.023739191863148833,0.43396513789038155
sentinel2,combined quantile+gram (115-d),True,0.019630764326587464,0.3411272011382442
sentinel2,latent980,False,0.026313804544312498,0.4660293184728773
sentinel2,latent980,True,0.01984637200595587,0.34231548506938747
sentinel2,latent980 aligned,False,0.021467319358449515,0.40436751366154655
sentinel2,latent980 aligned,True,0.02135025474081647,0.3686858091888668
sentinel2,equal weight (baseline),False,0.02574470452964306,0.4713229835033417
