arm,sensor,treatment_site_id,fit_window,donor,weight,largest_donor_weight,effective_donors,n_train_periods
main,sentinel1,treatment_0001,P01-08,counterfactual_0003_03,0.23710692433574213,0.23710692433574213,4.945969474569996,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0006_04,0.18283425096980296,0.23710692433574213,4.945969474569996,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0010_03,0.1779058289202155,0.23710692433574213,4.945969474569996,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0006_02,0.1977020600878444,0.23710692433574213,4.945969474569996,8
main,sentinel1,treatment_0001,P01-08,counterfactual_0003_01,0.20445093568639505,0.23710692433574213,4.945969474569996,8
main,sentinel1,treatment_0001,P01-09,counterfactual_0003_03,0.23706776473888902,0.23706776473888902,4.946250089415949,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0006_04,0.18130437200267144,0.23706776473888902,4.946250089415949,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0010_03,0.1800842128407761,0.23706776473888902,4.946250089415949,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0006_02,0.19567357506222968,0.23706776473888902,4.946250089415949,9
main,sentinel1,treatment_0001,P01-09,counterfactual_0003_01,0.20587007535543378,0.23706776473888902,4.946250089415949,9
main,sentinel1,treatment_0002,P01-08,counterfactual_0002_01,0.20434936153459585,0.20434936153459585,4.996992638885753,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0006_03,0.19180663493701075,0.20434936153459585,4.996992638885753,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0001_05,0.20263584985823482,0.20434936153459585,4.996992638885753,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0007_01,0.20425381264382855,0.20434936153459585,4.996992638885753,8
main,sentinel1,treatment_0002,P01-08,counterfactual_0010_04,0.19695434102632997,0.20434936153459585,4.996992638885753,8
main,sentinel1,treatment_0002,P01-09,counterfactual_0002_01,0.20713332231424092,0.20735200057777875,4.994690933651959,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0006_03,0.190186049305376,0.20735200057777875,4.994690933651959,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0001_05,0.1972018768712956,0.20735200057777875,4.994690933651959,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0007_01,0.20735200057777875,0.20735200057777875,4.994690933651959,9
main,sentinel1,treatment_0002,P01-09,counterfactual_0010_04,0.19812675093130877,0.20735200057777875,4.994690933651959,9
