label,sensor,period,treatment_site_id,group,rank,n_units,p_site,treated_magnitude,max_control_magnitude,repr,method
chipmean,sentinel2,P13,treatment_0001,1,4,6,0.6666666666666666,0.697839105976986,0.998648474022218,gram,covmat
chipmean,sentinel2,P13,treatment_0002,2,2,6,0.3333333333333333,1.03459200539794,1.30242179785758,gram,covmat
chipmean,sentinel2,P13,treatment_0003,3,4,6,0.6666666666666666,0.265910934495988,0.935815383914537,gram,covmat
chipmean,sentinel2,P13,treatment_0004,4,5,6,0.8333333333333334,0.398047182902682,0.921986244228572,gram,covmat
chipmean,sentinel2,P13,treatment_0005,5,6,6,1.0,0.0724073044115231,1.02877570639095,gram,covmat
chipmean,sentinel2,P13,treatment_0006,6,6,6,1.0,0.0144135649498399,0.380373700246045,gram,covmat
chipmean,sentinel2,P13,treatment_0007,7,3,6,0.5,0.895367459118698,1.14630490269528,gram,covmat
chipmean,sentinel2,P13,treatment_0008,8,1,6,0.16666666666666666,0.934158909943011,0.886208575294025,gram,covmat
chipmean,sentinel2,P13,treatment_0009,9,2,6,0.3333333333333333,1.50390305065775,1.51161540063392,gram,covmat
chipmean,sentinel2,P13,treatment_0010,10,3,6,0.5,0.783331648411637,0.971539941382949,gram,covmat
chipmean,sentinel2,P16,treatment_0001,1,6,6,1.0,0.119664360698813,0.273758774388716,gram,covmat
chipmean,sentinel2,P16,treatment_0002,2,1,6,0.16666666666666666,0.359429841679018,0.291508151307091,gram,covmat
chipmean,sentinel2,P16,treatment_0003,3,4,6,0.6666666666666666,0.221735324242716,0.39391480147735,gram,covmat
chipmean,sentinel2,P16,treatment_0004,4,1,6,0.16666666666666666,0.643471504954165,0.563906549328992,gram,covmat
chipmean,sentinel2,P16,treatment_0005,5,3,6,0.5,0.527767628730296,0.70209120329026,gram,covmat
chipmean,sentinel2,P16,treatment_0006,6,6,6,1.0,0.193895741708453,0.672608820027647,gram,covmat
chipmean,sentinel2,P16,treatment_0007,7,4,6,0.6666666666666666,0.101341983803947,0.145817557397723,gram,covmat
chipmean,sentinel2,P16,treatment_0008,8,5,6,0.8333333333333334,0.158433460336909,0.555496255628002,gram,covmat
chipmean,sentinel2,P16,treatment_0009,9,5,6,0.8333333333333334,0.28641902510754,0.617371836426496,gram,covmat
chipmean,sentinel2,P16,treatment_0010,10,6,6,1.0,0.0886499171488589,0.352961712113722,gram,covmat
chipmean,sentinel2,P20,treatment_0001,1,6,6,1.0,0.0693504321822044,0.57192597807335,gram,covmat
chipmean,sentinel2,P20,treatment_0002,2,2,6,0.3333333333333333,0.319692323464635,0.338118728262015,gram,covmat
chipmean,sentinel2,P20,treatment_0003,3,4,6,0.6666666666666666,0.0784772670848639,0.286234417784966,gram,covmat
chipmean,sentinel2,P20,treatment_0004,4,2,6,0.3333333333333333,0.200027605474444,0.226836722605879,gram,covmat
chipmean,sentinel2,P20,treatment_0005,5,4,6,0.6666666666666666,0.203501397759733,0.380005240807189,gram,covmat
chipmean,sentinel2,P20,treatment_0006,6,2,6,0.3333333333333333,0.321918048765468,0.349691289021405,gram,covmat
chipmean,sentinel2,P20,treatment_0007,7,3,6,0.5,0.138211861027134,0.336569985057948,gram,covmat
chipmean,sentinel2,P20,treatment_0008,8,3,6,0.5,0.117574985844904,0.275326727144422,gram,covmat
chipmean,sentinel2,P20,treatment_0009,9,5,6,0.8333333333333334,0.149165599099019,0.297476797695838,gram,covmat
chipmean,sentinel2,P20,treatment_0010,10,6,6,1.0,0.0977651402416101,0.197598701483286,gram,covmat
