label,sensor,period,n_groups,n_rank1,min_possible_p,median_rank,p_combined
chipmean,sentinel1,P11,9,3,0.16666666666666666,4.0,0.17825959425646498
chipmean,sentinel1,P13,9,2,0.16666666666666666,2.0,0.45734124149011846
chipmean,sentinel1,P16,9,3,0.16666666666666666,2.0,0.17825959425646498
chipmean,sentinel1,P20,9,3,0.16666666666666666,3.0,0.17825959425646498
chipmean,sentinel2,P11,10,3,0.16666666666666666,3.0,0.22477320212874055
chipmean,sentinel2,P13,10,1,0.16666666666666666,3.5,0.8384944171101543
chipmean,sentinel2,P16,10,2,0.16666666666666666,4.5,0.5154832513304629
chipmean,sentinel2,P20,10,0,0.16666666666666666,3.5,1.0
genfill,sentinel1,P11,10,4,0.16666666666666666,4.0,0.06972784255448863
genfill,sentinel1,P13,10,2,0.16666666666666666,2.0,0.5154832513304629
genfill,sentinel1,P16,10,3,0.16666666666666666,2.0,0.22477320212874055
genfill,sentinel1,P20,10,3,0.16666666666666666,3.0,0.22477320212874055
genfill,sentinel2,P11,10,3,0.16666666666666666,2.0,0.22477320212874055
genfill,sentinel2,P13,10,0,0.16666666666666666,4.0,1.0
genfill,sentinel2,P16,10,0,0.16666666666666666,4.0,1.0
genfill,sentinel2,P20,10,3,0.16666666666666666,4.5,0.22477320212874055
