sensor,treatment_site_id,scheme,eval_period,valid_rmse_scm,valid_rmse_ascm,valid_rmse_ridge_cv,valid_rmse_ridge_cv_intercept,valid_rmse_ridge_paper,valid_rmse_ridge_unitnorm,null_rmse,best_method,best_rmse,gain_over_null,beats_null,beats_mean_baseline
sentinel1,treatment_0001,frozen_joint,pooled,1.076979669828495,1.07697966983554,1.0054185873833932,1.005427145937579,1.0055257576723176,1.0053567258617815,1.0066181374667191,ridge_unitnorm,1.0053567258617815,0.0012614116049376456,True,False
sentinel1,treatment_0001,expanding,P09,1.0683515774077015,1.0683515773999943,1.002852566262899,1.0028779065754658,1.0028352543195478,1.0036922502109746,1.005860498313307,ridge_paper,1.0028352543195478,0.0030252439937592523,True,False
sentinel1,treatment_0001,expanding,P10,1.085693999123312,1.0856939989578414,1.0081764962626163,1.008168946584109,1.0083953594258148,1.0071049597783512,1.0073752068057062,ridge_unitnorm,1.0071049597783512,0.0002702470273550084,True,False
sentinel1,treatment_0002,frozen_joint,pooled,1.0745025779157216,1.0745025825008903,0.9930604494675667,0.9930944977107952,0.9933501063861071,0.9926858034934446,0.9930025911356297,ridge_unitnorm,0.9926858034934446,0.00031678764218512345,True,True
sentinel1,treatment_0002,expanding,P09,1.0637517269204364,1.063751735890415,0.9882960583281136,0.9885381588889317,0.9883937607115026,0.9884055944306425,0.989406125938173,ridge_cv,0.9882960583281136,0.0011100676100593843,True,True
sentinel1,treatment_0002,expanding,P10,1.0851422993937814,1.0851422993966764,0.997943289602622,0.997815021339048,0.9982961800190945,0.9969793068608269,0.9965860775468246,ridge_unitnorm,0.9969793068608269,-0.0003932293140023191,False,True
sentinel1,treatment_0003,frozen_joint,pooled,1.035149140131413,1.0351491401423467,0.972232552198234,0.970971174017919,0.9722626615730103,0.9734196418347266,0.9782510937364614,ridge_cv_intercept,0.970971174017919,0.00727991971854236,True,True
sentinel1,treatment_0003,expanding,P09,1.0396778621173524,1.0396778621668696,0.9730068147728783,0.9714955067470602,0.9731301436159413,0.9731173575366358,0.9767831833496151,ridge_cv_intercept,0.9714955067470602,0.005287676602554914,True,True
sentinel1,treatment_0003,expanding,P10,1.0306310678885604,1.030631067863788,0.9715980021452911,0.9703302360917972,0.9715343278545308,0.9738875084328112,0.9797168047545973,ridge_cv_intercept,0.9703302360917972,0.009386568662800077,True,True
sentinel1,treatment_0004,frozen_joint,pooled,1.065008977532695,1.0650089768064013,0.9821129712236093,0.9817225774962219,0.9822485915780764,0.982242585499839,0.9841555792485936,ridge_cv_intercept,0.9817225774962219,0.0024330017523717107,True,True
sentinel1,treatment_0004,expanding,P09,1.0710110187378348,1.071011019320175,0.9823260416195262,0.9814703899557445,0.9826004121670662,0.981838155270521,0.982964516074351,ridge_cv_intercept,0.9814703899557445,0.0014941261186064425,True,True
sentinel1,treatment_0004,expanding,P10,1.0589988670568593,1.0589988641342738,0.9819185579740857,0.9820415606296097,0.9818897145898573,0.9827355376109097,0.9853452026934452,ridge_paper,0.9818897145898573,0.003455488103587867,True,True
sentinel1,treatment_0005,frozen_joint,pooled,1.0637252717581414,1.063725271761957,0.9721781838290561,0.9728606187149015,0.9722622320098591,0.9720613845554564,0.9725015922859614,ridge_unitnorm,0.9720613845554564,0.0004402077305050156,True,True
