sensor,repr,M,estimator,site,rmse,rel_l2,rms_y,sd_y
sentinel1,bands,3,equal_weight,treatment_0001,1.287721037864685,0.10763855278491974,11.963380813598633,11.966187477111816
sentinel1,bands,3,equal_weight,treatment_0002,0.6446853876113892,0.054605040699243546,11.806334495544434,11.931076049804688
sentinel1,bands,3,equal_weight,treatment_0003,0.30373677611351013,0.02715327776968479,11.186007499694824,11.382538795471191
sentinel1,bands,3,equal_weight,treatment_0004,0.5041799545288086,0.041207801550626755,12.235060691833496,12.06774616241455
sentinel1,bands,3,equal_weight,treatment_0005,0.20976652204990387,0.01786220446228981,11.743597030639648,11.763076782226562
sentinel1,bands,3,equal_weight,treatment_0006,1.5466688871383667,0.12482970952987671,12.390230178833008,12.496068954467773
sentinel1,bands,3,equal_weight,treatment_0007,0.42051762342453003,0.038069356232881546,11.046091079711914,11.400925636291504
sentinel1,bands,3,equal_weight,treatment_0008,0.9313640594482422,0.08184395730495453,11.379753112792969,11.476893424987793
sentinel1,bands,3,equal_weight,treatment_0009,0.28875604271888733,0.02556256577372551,11.296051025390625,11.453457832336426
sentinel1,bands,3,equal_weight,treatment_0010,0.5317485332489014,0.043939586728811264,12.101810455322266,11.956645011901855
sentinel1,bands,3,own_history_mean,treatment_0001,0.3901953101158142,0.03261580318212509,11.963380813598633,11.966187477111816
sentinel1,bands,3,own_history_mean,treatment_0002,0.31020084023475647,0.026274101808667183,11.806334495544434,11.931076049804688
sentinel1,bands,3,own_history_mean,treatment_0003,0.5903487801551819,0.05277564376592636,11.186007499694824,11.382538795471191
sentinel1,bands,3,own_history_mean,treatment_0004,0.321173757314682,0.026250280439853668,12.235060691833496,12.06774616241455
sentinel1,bands,3,own_history_mean,treatment_0005,0.37870052456855774,0.032247405499219894,11.743597030639648,11.763076782226562
sentinel1,bands,3,own_history_mean,treatment_0006,0.5531067252159119,0.04464055225253105,12.390230178833008,12.496068954467773
sentinel1,bands,3,own_history_mean,treatment_0007,0.6568081378936768,0.059460680931806564,11.046091079711914,11.400925636291504
sentinel1,bands,3,own_history_mean,treatment_0008,0.5195445418357849,0.04565516859292984,11.379753112792969,11.476893424987793
sentinel1,bands,3,own_history_mean,treatment_0009,0.5230574607849121,0.046304453164339066,11.296051025390625,11.453457832336426
sentinel1,bands,3,own_history_mean,treatment_0010,0.4455956518650055,0.03682057932019234,12.101810455322266,11.956645011901855
sentinel1,bands,3,scm,treatment_0001,0.13011399498813508,0.010876021974523128,11.963380813598633,11.966187477111816
sentinel1,bands,3,scm,treatment_0002,0.22132192897980527,0.018746032520321143,11.806334495544434,11.931076049804688
sentinel1,bands,3,scm,treatment_0003,0.062131753437001176,0.005554417388680567,11.186007499694824,11.382538795471191
sentinel1,bands,3,scm,treatment_0004,0.09133849807583527,0.007465308481923134,12.235060691833496,12.06774616241455
sentinel1,bands,3,scm,treatment_0005,0.11305337653527797,0.009626810462693296,11.743597030639648,11.763076782226562
sentinel1,bands,3,scm,treatment_0006,0.48473723843177574,0.03912253669513562,12.390230178833008,12.496068954467773
sentinel1,bands,3,scm,treatment_0007,0.570220895681099,0.05162195700670262,11.046091079711914,11.400925636291504
sentinel1,bands,3,scm,treatment_0008,0.09634061136234064,0.008465966991978853,11.379753112792969,11.476893424987793
sentinel1,bands,3,scm,treatment_0009,0.08155304158266655,0.007219606331391444,11.296051025390625,11.453457832336426
sentinel1,bands,3,scm,treatment_0010,0.06666552468475741,0.005508723181768353,12.101810455322266,11.956645011901855
sentinel1,bands,3,scm_demeaned,treatment_0001,0.24535288797028862,0.020508657822095953,11.963380813598633,11.966187477111816
sentinel1,bands,3,scm_demeaned,treatment_0002,0.13282483277679458,0.01125030242695565,11.806334495544434,11.931076049804688
sentinel1,bands,3,scm_demeaned,treatment_0003,0.03935772474770366,0.0035184783725636954,11.186007499694824,11.382538795471191
sentinel1,bands,3,scm_demeaned,treatment_0004,0.03296444457967209,0.002694260940421761,12.235060691833496,12.06774616241455
sentinel1,bands,3,scm_demeaned,treatment_0005,0.052718923419096266,0.004489163429758456,11.743597030639648,11.763076782226562
sentinel1,bands,3,scm_demeaned,treatment_0006,0.22667605439225585,0.018294741053028737,12.390230178833008,12.496068954467773
sentinel1,bands,3,scm_demeaned,treatment_0007,0.18485364305968782,0.016734754700915566,11.046091079711914,11.400925636291504
sentinel1,bands,3,scm_demeaned,treatment_0008,0.15425072560021263,0.013554839781000751,11.379753112792969,11.476893424987793
sentinel1,bands,3,scm_demeaned,treatment_0009,0.13690967035139862,0.012120135603964483,11.296051025390625,11.453457832336426
sentinel1,bands,3,scm_demeaned,treatment_0010,0.05213368594544031,0.004307924458357138,12.101810455322266,11.956645011901855
sentinel1,bands,3,shc_m3,treatment_0001,0.5068811155557748,0.04236938656566584,11.963380813598633,11.966187477111816
sentinel1,bands,3,shc_m3,treatment_0002,0.25369032160808447,0.021487644902054955,11.806334495544434,11.931076049804688
sentinel1,bands,3,shc_m3,treatment_0003,0.12709068491565462,0.01136157715153816,11.186007499694824,11.382538795471191
sentinel1,bands,3,shc_m3,treatment_0004,0.3125405830784364,0.02554467081190087,12.235060691833496,12.06774616241455
sentinel1,bands,3,shc_m3,treatment_0005,0.23583982965060746,0.020082419554198858,11.743597030639648,11.763076782226562
sentinel1,bands,3,shc_m3,treatment_0006,0.3481403455406389,0.028097972187023965,12.390230178833008,12.496068954467773
sentinel1,bands,3,shc_m3,treatment_0007,0.2990367479770953,0.0270717230189526,11.046091079711914,11.400925636291504
sentinel1,bands,3,shc_m3,treatment_0008,0.15690977955607976,0.013788505134603246,11.379753112792969,11.476893424987793
sentinel1,bands,3,shc_m3,treatment_0009,0.13416159565301197,0.011876858135625085,11.296051025390625,11.453457832336426
sentinel1,bands,3,shc_m3,treatment_0010,0.792953153782554,0.06552351370448344,12.101810455322266,11.956645011901855
sentinel1,chip_mean,5,equal_weight,treatment_0001,0.03783285606385263,0.0703286836324135,0.537943469290473,0.04521303324335851
sentinel1,chip_mean,5,equal_weight,treatment_0002,0.024152901607698937,0.044505452352181084,0.542695340260153,0.05160571918242557
sentinel1,chip_mean,5,equal_weight,treatment_0003,0.02095992149561972,0.0376311650098413,0.5569830615166519,0.09164520149947451
sentinel1,chip_mean,5,equal_weight,treatment_0004,0.03302553638992946,0.06115507509958202,0.5400293652841116,0.061552326524866724
sentinel1,chip_mean,5,equal_weight,treatment_0005,0.016249034983545074,0.02982417888445326,0.5448275725041124,0.05261194410757198
sentinel1,chip_mean,5,equal_weight,treatment_0006,0.04281492290245365,0.07883270996752795,0.5431111390194449,0.032657610265929705
sentinel1,chip_mean,5,equal_weight,treatment_0007,0.025905953810250966,0.0484693000878448,0.5344816979675697,0.07728521121225225
sentinel1,chip_mean,5,equal_weight,treatment_0008,0.03332338307299668,0.06030626484481449,0.5525691760009912,0.0645132320242669
sentinel1,chip_mean,5,equal_weight,treatment_0009,0.01811978608065037,0.03330816933548513,0.5440042620819244,0.06671588745567388
sentinel1,chip_mean,5,equal_weight,treatment_0010,0.022713742894501843,0.040890721850677235,0.5554742461492069,0.04935699250781707
sentinel1,chip_mean,5,own_history_mean,treatment_0001,0.010846674075467844,0.020163222893614073,0.537943469290473,0.04521303324335851
sentinel1,chip_mean,5,own_history_mean,treatment_0002,0.014649329672758246,0.026993652950356578,0.542695340260153,0.05160571918242557
sentinel1,chip_mean,5,own_history_mean,treatment_0003,0.018041057959511036,0.03239067613723415,0.5569830615166519,0.09164520149947451
sentinel1,chip_mean,5,own_history_mean,treatment_0004,0.020061057200434412,0.03714808580803788,0.5400293652841116,0.061552326524866724
sentinel1,chip_mean,5,own_history_mean,treatment_0005,0.02433900205994718,0.04467285300573416,0.5448275725041124,0.05261194410757198
sentinel1,chip_mean,5,own_history_mean,treatment_0006,0.01747196578102449,0.03217014810738202,0.5431111390194449,0.032657610265929705
sentinel1,chip_mean,5,own_history_mean,treatment_0007,0.018775195130366528,0.03512785414685188,0.5344816979675697,0.07728521121225225
sentinel1,chip_mean,5,own_history_mean,treatment_0008,0.019190066574627664,0.03472880393638396,0.5525691760009912,0.0645132320242669
sentinel1,chip_mean,5,own_history_mean,treatment_0009,0.01988444637663619,0.03655200475918641,0.5440042620819244,0.06671588745567388
sentinel1,chip_mean,5,own_history_mean,treatment_0010,0.01934017177640678,0.03481740496608331,0.5554742461492069,0.04935699250781707
sentinel1,chip_mean,5,scm,treatment_0001,0.027325857306975232,0.05079689385023485,0.537943469290473,0.04521303324335851
sentinel1,chip_mean,5,scm,treatment_0002,0.0193380895656004,0.03563341737249901,0.542695340260153,0.05160571918242557
sentinel1,chip_mean,5,scm,treatment_0003,0.008286258864532162,0.01487703924418971,0.5569830615166519,0.09164520149947451
sentinel1,chip_mean,5,scm,treatment_0004,0.026436131836077587,0.048953137617191306,0.5400293652841116,0.061552326524866724
sentinel1,chip_mean,5,scm,treatment_0005,0.017013359116520146,0.031227052328361617,0.5448275725041124,0.05261194410757198
sentinel1,chip_mean,5,scm,treatment_0006,0.029267481538585275,0.053888567985230396,0.5431111390194449,0.032657610265929705
sentinel1,chip_mean,5,scm,treatment_0007,0.02376976149490454,0.04447254524390992,0.5344816979675697,0.07728521121225225
sentinel1,chip_mean,5,scm,treatment_0008,0.02295382750016542,0.041540188083390744,0.5525691760009912,0.0645132320242669
sentinel1,chip_mean,5,scm,treatment_0009,0.016688712109716022,0.030677539263842722,0.5440042620819244,0.06671588745567388
sentinel1,chip_mean,5,scm,treatment_0010,0.01326487453869631,0.023880269212576972,0.5554742461492069,0.04935699250781707
sentinel1,chip_mean,5,scm_demeaned,treatment_0001,0.012252953712181002,0.022777400250517367,0.537943469290473,0.04521303324335851
sentinel1,chip_mean,5,scm_demeaned,treatment_0002,0.010112773212476289,0.018634346865091026,0.542695340260153,0.05160571918242557
sentinel1,chip_mean,5,scm_demeaned,treatment_0003,0.008173669852791594,0.014674898426057844,0.5569830615166519,0.09164520149947451
sentinel1,chip_mean,5,scm_demeaned,treatment_0004,0.01988101745155879,0.03681469699541118,0.5400293652841116,0.061552326524866724
