fill,sensor,site,group,matched_treatment,n,m,T0,post_period,k,observed,valid_frac,delta_rms,delta_raw_rms,y_post_rms,l0_rms,note,delta_ch1,delta_ch2,delta_ch3,delta_ch4,delta_ch5
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,P11,1,True,0.99009900990099,0.2458430480397677,0.30681257578853777,0.6322271928679278,0.6047589196625802,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.0006409342950292753,-0.000528418755680969,0.007576569790562949,0.002739384831783779,0.006567017588053556
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,P12,2,True,0.99009900990099,0.28913675029708213,0.3274192569930336,0.627012967768336,0.6033207892396496,,0.026162571647715526,0.019620153335385113,-0.0021016945319304405,-0.011716046993953427,-0.013634096298325734
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,P11,1,True,1.0,0.21206396631344365,0.27064722007689873,0.6323551050802962,0.6099518429188515,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.02195596637437657,-0.006818536233289088,-0.007866790019421512,0.009786445603571664,-0.01715467367415839
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,P12,2,True,1.0,0.2786798605446244,0.31317696085335256,0.6277835216120189,0.6148906304648175,,-0.004866378163023792,0.009564564659474861,0.0013348649292934576,-0.015033989164405646,-0.022614901220940602
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,P11,1,True,1.0,0.20121918414575152,0.24649915376433176,0.6163792879401045,0.6019583388870002,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.007923960756224148,-0.009409946041148228,-0.008484028256587044,-0.0014391471030849804,-0.00031131252812347703
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,P12,2,True,1.0,0.2519791460060204,0.286630368376101,0.6179497887149383,0.6016188451940773,,0.006037065263058738,-0.023119335159602156,-0.0053475731102359935,-0.026537615264875514,0.038706767927693835
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,P11,1,True,1.0,0.1950350136161134,0.23981450904490867,0.6069366469100936,0.6001563599197643,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.011709898198050513,-0.021658798117613228,0.004587712090558809,-0.011870062644149632,-0.025265812427109062
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,P12,2,True,1.0,0.25470299699101934,0.29426804523576444,0.6081158456825523,0.6010149029480956,,-0.016522958217588177,-0.04167374087202332,-0.01031116520763399,-0.00010487837712043225,0.02710095342306107
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,P11,1,True,1.0,0.20615874468060422,0.25620291566454995,0.6222365047231899,0.590377539304325,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.022860441404976936,0.021368554636640665,-0.01285074804018536,-0.0013185569412007484,-0.0003283205817091538
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,P12,2,True,1.0,0.26544003293414875,0.30226988078272155,0.6208066808134276,0.5887106397328485,,0.016068476818621915,-0.0005641565935066536,0.006137439980521304,-0.007129062446550098,0.035461623313192206
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,P11,1,True,1.0,0.21330238685073746,0.2690153851810132,0.6227021975207075,0.5973479928206219,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.023915077808499923,0.000335066334394353,-0.0026666300762027717,0.004148052595702592,0.000456567882039724
