label,estimator,treatment_site_id,period,period_index,is_post,gap_norm,gap_rmse,sensor,method,repr
genfill,fsc,treatment_0004,P03,3,False,0.9544609354977738,0.08900394116292219,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P04,4,False,1.0193453940515718,0.09505444812107079,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P05,5,False,1.0423990230777054,0.09720421011249661,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P06,6,False,0.7646093865161001,0.07130019293519399,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P07,7,False,0.7381660071001459,0.06883433509004395,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P08,8,False,0.9124178027460292,0.08508339881847345,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P09,9,False,0.7850615025307536,0.0732073625874293,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P10,10,False,1.0792088165871083,0.10063674105628174,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P11,11,True,1.0552669960034953,0.09840415477505714,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P12,12,True,0.9409289576727811,0.0877420777242415,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P13,13,True,0.884762934779557,0.08250456908347481,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P14,14,True,0.9250244192919325,0.08625897187294311,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P16,15,True,0.9134291786762574,0.08517771011026107,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P17,16,True,1.0411969022687855,0.09709211176905623,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P18,17,True,0.9116541145226229,0.08501218452444115,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P19,18,True,0.9048203479519926,0.08437493250589068,sentinel1,covmat,combined
genfill,fsc,treatment_0004,P20,19,True,1.157939028521799,0.10797837117456956,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P01,1,False,1.080935189802636,0.10079772618871141,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P02,2,False,0.7909184832773145,0.0737535288582232,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P03,3,False,0.8228923299292688,0.07673510543231177,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P04,4,False,0.955161316732028,0.08906925204977653,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P05,5,False,0.8612810713979383,0.08031487403249464,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P06,6,False,1.029362662805853,0.09598856324895107,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P07,7,False,0.8475310189753218,0.07903267503273002,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P08,8,False,0.8050249755217175,0.07506896604275423,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P09,9,False,0.8541756152960684,0.07965228683452123,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P10,10,False,0.9029067698054357,0.0841964904236299,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P11,11,True,0.8884036009427623,0.08284406295371347,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P12,12,True,0.8023157762163587,0.0748163319048814,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P13,13,True,0.8853955731739375,0.08256356291793852,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P14,14,True,0.805372067391258,0.075101332526479,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P16,15,True,0.9308199446685411,0.08679940740093975,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P17,16,True,0.8825355314037734,0.08229686264769391,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P18,17,True,0.8836330974183165,0.08239921120628617,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P19,18,True,1.1246813586023925,0.10487707746349796,sentinel1,covmat,combined
genfill,fsc,treatment_0005,P20,19,True,1.0705697591188996,0.09983114479350483,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P01,1,False,0.9275037779860404,0.08649017326330392,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P02,2,False,0.8112616347316114,0.07565053751281248,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P03,3,False,1.0064395513665767,0.09385097208525571,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P04,4,False,0.8931670429683549,0.08328825621297739,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P05,5,False,1.0678335970322723,0.09957599636331436,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P06,6,False,0.9050951769400788,0.0844005604411741,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P07,7,False,0.9083059057553616,0.08469996244699479,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P08,8,False,0.7097445246951434,0.06618401819004573,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P09,9,False,0.9040537055040029,0.08430344272899554,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P10,10,False,1.0900294236057946,0.10164576786358212,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P11,11,True,1.0471723335809417,0.09764932361204581,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P12,12,True,1.591797460381931,0.14843587855508708,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P13,13,True,0.89611665857095,0.08356330928616544,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P14,14,True,1.0509829731755622,0.09800466758649125,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P16,15,True,1.0771917389878167,0.10044864760028842,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P17,16,True,1.149088778235374,0.10715308107994738,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P18,17,True,0.9492753648717212,0.08852038420869582,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P19,18,True,1.0490840051346637,0.09782758790360799,sentinel1,covmat,combined
genfill,fsc,treatment_0006,P20,19,True,0.8395850522439883,0.0782917098144214,sentinel1,covmat,combined
