fill,sensor,n,m,n_sites,N,h_median,h_interior,n_selected_mean,most_recent_only,oldest_only,n_eff_mean,mse_pre_mean,passes_nu,delta_rms_mean,placebo_sites,placebo_rmse,placebo_rmse_raw,placebo_rmse_ownmean,placebo_beats_ownmean,nc_sites,nc_rank1,nc_p_mean,nc_controls_mean
chipmean,sentinel1,2,2,12,7,0.7126427896022376,12,1.0,12,0,1.0,0.004312161744899661,0,0.23670253941510655,12.0,0.23031310020330653,0.2666431458414601,0.23601995607956275,11.0,12,0,0.6363636363636364,1.1087301587301586
chipmean,sentinel1,2,3,12,6,0.7126427896022376,12,1.0,12,0,1.0,0.004179966905668328,0,0.23670253941510655,12.0,0.23031310020330653,0.2666431458414601,0.23601995607956275,11.0,12,0,0.6363636363636364,1.1087301587301586
chipmean,sentinel1,2,4,12,5,0.7126427896022376,12,1.0,12,0,1.0,0.004062358830215897,0,0.23670253941510655,12.0,0.23031310020330653,0.2666431458414601,0.23601995607956275,11.0,12,0,0.6363636363636364,1.1087301587301586
chipmean,sentinel1,2,5,12,4,0.7126427896022376,12,1.0,12,0,1.0,0.003959492414780258,0,0.23670253941510655,12.0,0.23031310020330653,0.2666431458414601,0.23601995607956275,11.0,12,0,0.6363636363636364,1.1087301587301586
chipmean,sentinel1,2,6,12,3,0.7126427896022376,12,1.0,12,0,1.0,0.00387179851187429,0,0.23670253941510655,12.0,0.23031310020330653,0.2666431458414601,0.23601995607956275,11.0,12,0,0.6363636363636364,1.1087301587301586
chipmean,sentinel1,2,7,12,2,0.7126427896022376,12,1.0,12,0,1.0,0.0037999868625569083,0,0.23670253941510655,,,,,,12,0,0.6363636363636364,1.1087301587301586
chipmean,sentinel1,2,8,12,1,0.7126427896022376,12,1.0,12,12,1.0,0.0037450508849763233,0,0.23670253941510655,,,,,,12,0,0.6363636363636364,1.1087301587301586
chipmean,sentinel1,3,2,12,6,0.7126427896022376,12,1.0,12,0,1.0,0.009378113559743623,0,0.24028276579965516,12.0,0.2477637438589871,0.30219284953589126,0.2451810143429878,2.0,12,0,0.5909090909090909,1.2884259259259259
chipmean,sentinel1,3,3,12,5,0.7126427896022376,12,1.0,12,0,1.0,0.00910549920140502,0,0.24028276579965516,12.0,0.2477637438589871,0.30219284953589126,0.2451810143429878,2.0,12,0,0.5909090909090909,1.2884259259259259
chipmean,sentinel1,3,4,12,4,0.7126427896022376,12,1.0,12,0,1.0,0.008865837732021585,0,0.24028276579965516,12.0,0.2477637438589871,0.30219284953589126,0.2451810143429878,2.0,12,0,0.5909090909090909,1.2884259259259259
