sensor,treatment_site_id,scheme,eval_period,valid_rmse_scm,valid_rmse_ascm,valid_rmse_ridge_cv,valid_rmse_ridge_cv_intercept,valid_rmse_ridge_paper,valid_rmse_ridge_unitnorm,null_rmse,best_method,best_rmse,gain_over_null,beats_null,beats_mean_baseline
sentinel1,treatment_0001,frozen_joint,pooled,1.0831053276682114,1.0831053201239003,1.0064367308915707,1.0064392256102708,1.006560949021001,1.0063692940146065,1.007578445525302,ridge_unitnorm,1.0063692940146065,0.0012091515106955608,True,False
sentinel1,treatment_0001,expanding,P09,1.0726009457827843,1.0726009600077882,1.0039234744052807,1.0039346427298508,1.0039019524052892,1.0046793051839122,1.0067403837800413,ridge_paper,1.0039019524052892,0.0028384313747520373,True,False
sentinel1,treatment_0001,expanding,P10,1.0937128111418066,1.0937128111151735,1.0091381114114686,1.0091350284180256,1.0093952584020767,1.00813880752297,1.008415810784809,ridge_unitnorm,1.00813880752297,0.0002770032618388818,True,False
sentinel1,treatment_0002,frozen_joint,pooled,1.0756041711828181,1.0756041778337913,0.9942853136073202,0.9943218911248742,0.9945415255562267,0.9938327429312146,0.9941438459499621,ridge_unitnorm,0.9938327429312146,0.0003111030187474828,True,True
sentinel1,treatment_0002,expanding,P09,1.0647712014760498,1.0647712147789237,0.9895507162788416,0.9897523102759742,0.9896433448651368,0.9896410388620742,0.9906667273168169,ridge_cv,0.9895507162788416,0.0011160110379753174,True,True
sentinel1,treatment_0002,expanding,P10,1.086323972111535,1.0863239721015718,0.9990523097453367,0.9989688096006875,0.9994215994616388,0.9980359832796378,0.9976088453235323,ridge_unitnorm,0.9980359832796378,-0.00042713795610549443,False,True
sentinel1,treatment_0003,frozen_joint,pooled,1.0361809962743116,1.036180996277905,0.9732015861576244,0.9720620563281809,0.9732345763896205,0.9743649315608688,0.9792089966327675,ridge_cv_intercept,0.9720620563281809,0.007146940304586624,True,True
sentinel1,treatment_0003,expanding,P09,1.0407805994932833,1.0407805995261241,0.973830278558681,0.9724609863054924,0.9739584610624109,0.9738916883930999,0.9775424532366752,ridge_cv_intercept,0.9724609863054924,0.005081466931182832,True,True
sentinel1,treatment_0003,expanding,P10,1.0315919922783519,1.0315919922584167,0.9727138018083723,0.9715487233905569,0.9726505544054962,0.9750077429387544,0.9808727085066266,ridge_cv_intercept,0.9715487233905569,0.009323985116069688,True,True
sentinel1,treatment_0004,frozen_joint,pooled,1.0659306665129467,1.0659306657701721,0.9826277187173806,0.9822901797353768,0.9827677490980232,0.9827222856118057,0.9845523692008273,ridge_cv_intercept,0.9822901797353768,0.002262189465450537,True,True
