fill,sensor,seq,period,n_rows,lam,lam_flag,n_leverage_one,kind,r2_ch1,r2_ch2,r2_ch3,r2_ch4,r2_ch5,feature,coef_ch1,coef_ch2,coef_ch3,coef_ch4,coef_ch5
chipmean,sentinel1,1,P01,71,1000.0,interior,0.0,r2,-0.028720199236826408,-0.028496807474096077,-0.02826255024311196,-0.028514837467847796,-0.029077205259264563,,,,,,
chipmean,sentinel1,2,P02,132,1000.0,interior,0.0,r2,-0.014556434446298061,-0.014703345945500696,-0.01520977865876412,-0.014923603496203,-0.01571103622520728,,,,,,
chipmean,sentinel1,3,P03,132,1000.0,interior,0.0,r2,-0.015308551330163948,-0.015036137328606565,-0.015276046850832947,-0.014705242859571546,-0.015383012147993523,,,,,,
chipmean,sentinel1,4,P04,132,1000.0,interior,0.0,r2,-0.014674843890822173,-0.01458262413549284,-0.015273327225500255,-0.015461755503410292,-0.015434886924911588,,,,,,
chipmean,sentinel1,5,P05,132,1000.0,interior,0.0,r2,-0.014764891016485445,-0.0148845174939989,-0.01533223344945913,-0.015316167034940032,-0.015753144805571516,,,,,,
chipmean,sentinel1,6,P06,132,1000.0,interior,0.0,r2,-0.014756688021305983,-0.013998267604579638,-0.015131109681615492,-0.015335462285138735,-0.015719282915964267,,,,,,
chipmean,sentinel1,7,P07,132,1000.0,interior,0.0,r2,-0.014965445287534976,-0.014709101324687982,-0.014592911766833009,-0.014839814713601187,-0.01569807914570789,,,,,,
chipmean,sentinel1,8,P08,132,1000.0,interior,0.0,r2,-0.015270487550528447,-0.015137329633230813,-0.014391358376285466,-0.014804495095916824,-0.015560239410319114,,,,,,
chipmean,sentinel1,9,P09,132,1000.0,interior,0.0,r2,-0.01536271574577897,-0.014953397478117438,-0.014524495170939448,-0.014500620901808273,-0.015592805529063308,,,,,,
chipmean,sentinel1,9,P09,132,1000.0,,,coef,,,,,,intercept,0.5878193105508247,0.4180192322715988,0.5121002085071851,0.6188847346858641,0.5797825459486957
chipmean,sentinel1,9,P09,132,1000.0,,,coef,,,,,,class_21,-0.00016317571668189864,0.0003753940416561334,0.00033485913628156943,-0.000799677848003902,8.963916384440204e-06
chipmean,sentinel1,9,P09,132,1000.0,,,coef,,,,,,class_22,3.524625933555724e-18,2.485879539577056e-18,2.9285485132529538e-18,3.663759919501578e-18,3.33733445079077e-18
chipmean,sentinel1,9,P09,132,1000.0,,,coef,,,,,,class_42,4.957494673411318e-05,-3.565255209533302e-05,0.0002124153628415902,-5.285491737793087e-05,0.00017627909230239156
chipmean,sentinel1,9,P09,132,1000.0,,,coef,,,,,,class_43,7.567396486768235e-05,-0.00010950451466379747,0.0002596399744117389,0.00014368797215248756,0.00024323411024960656
chipmean,sentinel1,9,P09,132,1000.0,,,coef,,,,,,class_71,-0.00013266957777626268,8.379376515833237e-06,4.6730226492538654e-05,8.368328120072139e-05,7.910250473986736e-05
chipmean,sentinel1,9,P09,132,1000.0,,,coef,,,,,,class_81,-0.0002903351767950597,0.00043437750802593914,8.60861810618013e-05,-0.00023612619515720533,-0.00016718468171055337
chipmean,sentinel1,9,P09,132,1000.0,,,coef,,,,,,elevation_m,0.0008289375742364621,-0.0011465342010359785,-0.001559191453243223,0.0015719779091560282,-0.0006082413545568737
chipmean,sentinel1,9,P09,132,1000.0,,,coef,,,,,,slope_deg,0.0006676851392927835,-0.0011251887752834998,-0.001334064644108816,0.0011137471783077308,-0.0005912158139801996
chipmean,sentinel1,10,P10,132,1000.0,interior,0.0,r2,-0.015127509301891422,-0.015513108711698184,-0.014367179025925693,-0.015229968018961674,-0.01566539430733879,,,,,,
