sensor,method,raw_rmse,std_rmse
sentinel1,floor,0.9003683364862933,0.9059981603558717
sentinel1,synth_bands,0.5796458768937911,0.6627941246763978
sentinel1,synth_equal,0.8455991440589299,0.8932880185274179
sentinel1,synth_lat980,0.9445442098177855,0.9539111939387229
sentinel1,synth_tm5,0.6679456194420627,0.8017949299891146
sentinel2,floor,0.07584970006299975,1.0227650221142712
sentinel2,synth_bands,0.08461838620426403,1.1636055159096261
sentinel2,synth_equal,0.0989829213579275,1.4343446330865859
sentinel2,synth_lat980,0.08460867626615039,1.167022699795439
sentinel2,synth_tm5,0.08233067218538405,1.1541896559760199
