label,estimator,treatment_site_id,period,period_index,is_post,gap_norm,gap_rmse,sensor,method,repr
genfill,fsc,treatment_0004,P02,2,False,0.5966536755483103,0.05966536755483103,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P03,3,False,0.5824321509649746,0.05824321509649746,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P04,4,False,0.6215578478581094,0.06215578478581094,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P05,5,False,0.6336106372615428,0.06336106372615427,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P06,6,False,0.4678561929700762,0.04678561929700762,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P07,7,False,0.450857262514803,0.0450857262514803,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P08,8,False,0.552118730626912,0.0552118730626912,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P09,9,False,0.47915268068289013,0.04791526806828901,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P10,10,False,0.6442830078166855,0.06442830078166854,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P11,11,True,0.6472107405159883,0.06472107405159883,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P12,12,True,0.5671383431068695,0.056713834310686946,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P13,13,True,0.5300400247854674,0.053004002478546745,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P14,14,True,0.5501024080336427,0.05501024080336428,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P16,15,True,0.5573490571380897,0.055734905713808965,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P17,16,True,0.6352992236120049,0.06352992236120049,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P18,17,True,0.5615772369141614,0.05615772369141613,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P19,18,True,0.5487744283814783,0.05487744283814783,sentinel1,covmat,quantile
genfill,fsc,treatment_0004,P20,19,True,0.7059504974853902,0.07059504974853902,sentinel1,covmat,quantile
