cache,sensor,repr,site,test,own_hist_rmse,arm,test_rmse,train_rmse,n_blocks,C1,C2,n_donors,w_blocks_total,C3
chipmean,sentinel1,latent980,treatment_0005,P09,0.6694594003706416,H1_m2_diff,0.8809999835019101,0.8035905608515928,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0005,P09,0.6694594003706416,H1_m3,0.6999679166747033,0.6945276754876072,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0005,P09,0.6694594003706416,H1_m3_diff,0.8932776847545586,0.8746436528874324,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0005,P09,0.6694594003706416,H1_m4,0.7104979519513036,0.7076881055128947,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0005,P09,0.6694594003706416,H1_m4_diff,0.902001355684709,0.9282212365596001,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P09,0.7844007357186885,H0_own_mean,0.7844007357186885,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0006,P09,0.7844007357186885,L_last_period,1.0142896073526058,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0006,P09,0.7844007357186885,H1_m2,0.8114535776293731,0.7846795479299925,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P09,0.7844007357186885,H1_m2_diff,1.0522360180618935,1.0620730298228374,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P09,0.7844007357186885,H1_m3,0.8267698951584324,0.7937945793387873,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P09,0.7844007357186885,H1_m3_diff,1.063074818093637,1.0506234952789157,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P09,0.7844007357186885,H1_m4,0.8321714025622429,0.7925195439103214,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P09,0.7844007357186885,H1_m4_diff,1.0727286815981099,1.0601282804256014,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P09,0.589883929959075,H0_own_mean,0.589883929959075,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0007,P09,0.589883929959075,L_last_period,0.7238391354464653,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0007,P09,0.589883929959075,H1_m2,0.6137259144622524,0.5995434852437458,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P09,0.589883929959075,H1_m2_diff,0.7567882452252901,0.7496104652386408,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P09,0.589883929959075,H1_m3,0.615715823412726,0.66161195648221,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P09,0.589883929959075,H1_m3_diff,0.7453432482934964,0.8489630499864497,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P09,0.589883929959075,H1_m4,0.6222100788426411,0.6628338933076531,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P09,0.589883929959075,H1_m4_diff,0.736554743532964,0.892968704294466,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P09,0.6469887267094593,H0_own_mean,0.6469887267094593,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0008,P09,0.6469887267094593,L_last_period,0.8097214933672617,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0008,P09,0.6469887267094593,H1_m2,0.668041003102503,0.6442086285659508,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P09,0.6469887267094593,H1_m2_diff,0.8474425661178148,0.8108320150698743,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P09,0.6469887267094593,H1_m3,0.6790089311446668,0.7012131809042605,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P09,0.6469887267094593,H1_m3_diff,0.8516567617875482,0.8941604796933526,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P09,0.6469887267094593,H1_m4,0.6974565380507528,0.7032737220228282,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0008,P09,0.6469887267094593,H1_m4_diff,0.8714736597885344,0.9309306453913122,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P09,0.66845976442502,H0_own_mean,0.66845976442502,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0009,P09,0.66845976442502,L_last_period,0.8659238307762165,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0009,P09,0.66845976442502,H1_m2,0.6922392649135549,0.6903970097030226,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P09,0.66845976442502,H1_m2_diff,0.8956227416318013,0.8940172328964324,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P09,0.66845976442502,H1_m3,0.7039219628848866,0.7314354371974426,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P09,0.66845976442502,H1_m3_diff,0.8977537787608515,0.9313607039838937,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P09,0.66845976442502,H1_m4,0.7195459487264988,0.7324590508033348,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0009,P09,0.66845976442502,H1_m4_diff,0.9026183863017273,0.9812187840127595,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P09,0.6599268884028048,H0_own_mean,0.6599268884028048,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0010,P09,0.6599268884028048,L_last_period,0.814917969559111,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0010,P09,0.6599268884028048,H1_m2,0.6724779377942819,0.6679773519980683,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P09,0.6599268884028048,H1_m2_diff,0.8378565625325175,0.8453180429140923,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P09,0.6599268884028048,H1_m3,0.6824488969656369,0.7096283815416073,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P09,0.6599268884028048,H1_m3_diff,0.8523010059850298,0.9158064777667217,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P09,0.6599268884028048,H1_m4,0.69675854967485,0.7194775241033289,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0010,P09,0.6599268884028048,H1_m4_diff,0.8818414188626741,0.9557913679567837,4,True,False,,,
chipmean,sentinel1,latent980,treatment_0001,P10,0.7269207557699362,H0_own_mean,0.7269207557699362,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0001,P10,0.7269207557699362,L_last_period,0.9906039071948226,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0001,P10,0.7269207557699362,H1_m2,0.7379744810435745,0.7444544459570098,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0001,P10,0.7269207557699362,H1_m2_diff,0.9973078438188914,1.0392647115725873,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0001,P10,0.7269207557699362,H1_m3,0.7502667323579553,0.7629240756285395,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0001,P10,0.7269207557699362,H1_m3_diff,0.9923837978575546,1.0283525788558674,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0001,P10,0.7269207557699362,H1_m4,0.766169619991226,0.7862522543869066,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0001,P10,0.7269207557699362,H1_m4_diff,1.0116092834002468,1.0446988830375854,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0002,P10,0.7331579190230583,H0_own_mean,0.7331579190230583,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0002,P10,0.7331579190230583,L_last_period,0.9920765652727398,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0002,P10,0.7331579190230583,H1_m2,0.7472966771086708,0.7228025981055872,7,True,False,,,
