cache,sensor,model,period,site,ratio
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0001,0.515909559888954
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0002,0.608182930633086
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0003,0.1358360710123167
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0004,1.5871445204639092
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0005,1.797447934441051
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0006,0.3906521267773884
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0007,0.3364248206234855
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0008,0.4705967600937087
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0009,0.5795227323441254
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0010,0.2256115022641263
chipmean,sentinel2,FSC on hist+gram (115),P09,treatment_0001,0.8234046874137151
chipmean,sentinel2,FSC on hist+gram (115),P09,treatment_0002,0.6687984068025862
chipmean,sentinel2,FSC on hist+gram (115),P09,treatment_0003,0.550662961378015
chipmean,sentinel2,FSC on hist+gram (115),P09,treatment_0004,1.1615641057182031
chipmean,sentinel2,FSC on hist+gram (115),P09,treatment_0005,1.1431825502317765
chipmean,sentinel2,FSC on hist+gram (115),P09,treatment_0006,0.8788549253580308
chipmean,sentinel2,FSC on hist+gram (115),P09,treatment_0007,0.5513313522660435
chipmean,sentinel2,FSC on hist+gram (115),P09,treatment_0008,0.7851187544127085
chipmean,sentinel2,FSC on hist+gram (115),P09,treatment_0009,0.737509106899366
chipmean,sentinel2,FSC on hist+gram (115),P09,treatment_0010,0.733208724113174
chipmean,sentinel2,FSC on hist+gram (115),P10,treatment_0001,0.5372966602325298
chipmean,sentinel2,FSC on hist+gram (115),P10,treatment_0002,0.5004243672699619
chipmean,sentinel2,FSC on hist+gram (115),P10,treatment_0003,0.3645032005030613
chipmean,sentinel2,FSC on hist+gram (115),P10,treatment_0004,0.931968591236176
chipmean,sentinel2,FSC on hist+gram (115),P10,treatment_0005,0.9297060376634116
chipmean,sentinel2,FSC on hist+gram (115),P10,treatment_0006,0.4805465384677178
chipmean,sentinel2,FSC on hist+gram (115),P10,treatment_0007,0.4019964062247728
chipmean,sentinel2,FSC on hist+gram (115),P10,treatment_0008,0.4368400030327968
chipmean,sentinel2,FSC on hist+gram (115),P10,treatment_0009,0.4741631273819649
chipmean,sentinel2,FSC on hist+gram (115),P10,treatment_0010,0.4037459768252038
chipmean,sentinel2,FSC on Gram (15),P09,treatment_0001,0.3898453767642409
chipmean,sentinel2,FSC on Gram (15),P09,treatment_0002,0.8274679128613162
chipmean,sentinel2,FSC on Gram (15),P09,treatment_0003,0.2587589577491043
chipmean,sentinel2,FSC on Gram (15),P09,treatment_0004,1.4960858652040636
chipmean,sentinel2,FSC on Gram (15),P09,treatment_0005,1.2644913766825543
chipmean,sentinel2,FSC on Gram (15),P09,treatment_0006,0.7424205293378109
chipmean,sentinel2,FSC on Gram (15),P09,treatment_0007,0.2953815433789265
chipmean,sentinel2,FSC on Gram (15),P09,treatment_0008,0.7288281325850534
chipmean,sentinel2,FSC on Gram (15),P09,treatment_0009,0.4749835427379767
chipmean,sentinel2,FSC on Gram (15),P09,treatment_0010,0.4996847308858491
chipmean,sentinel2,FSC on Gram (15),P10,treatment_0001,0.5113199414737208
chipmean,sentinel2,FSC on Gram (15),P10,treatment_0002,0.5697524180315059
chipmean,sentinel2,FSC on Gram (15),P10,treatment_0003,0.0991842751669628
chipmean,sentinel2,FSC on Gram (15),P10,treatment_0004,1.4942259608752089
chipmean,sentinel2,FSC on Gram (15),P10,treatment_0005,1.201889307047486
chipmean,sentinel2,FSC on Gram (15),P10,treatment_0006,0.3610606440423883
chipmean,sentinel2,FSC on Gram (15),P10,treatment_0007,0.3349709496509885
chipmean,sentinel2,FSC on Gram (15),P10,treatment_0008,0.3078179518384791
chipmean,sentinel2,FSC on Gram (15),P10,treatment_0009,0.4700007787819329
chipmean,sentinel2,FSC on Gram (15),P10,treatment_0010,0.1920109021217464
chipmean,sentinel2,FSC on histogram (100),P09,treatment_0001,0.8695083192030851
chipmean,sentinel2,FSC on histogram (100),P09,treatment_0002,0.6576460597694626
chipmean,sentinel2,FSC on histogram (100),P09,treatment_0003,0.6122539731710192
chipmean,sentinel2,FSC on histogram (100),P09,treatment_0004,1.1223116308403938
chipmean,sentinel2,FSC on histogram (100),P09,treatment_0005,1.1147483664161644
chipmean,sentinel2,FSC on histogram (100),P09,treatment_0006,0.895508788088613
chipmean,sentinel2,FSC on histogram (100),P09,treatment_0007,0.5933834500237651
chipmean,sentinel2,FSC on histogram (100),P09,treatment_0008,0.7972375638197023
chipmean,sentinel2,FSC on histogram (100),P09,treatment_0009,0.7747956114177795
chipmean,sentinel2,FSC on histogram (100),P09,treatment_0010,0.8093461747932823
chipmean,sentinel2,FSC on histogram (100),P10,treatment_0001,0.5408406591092989
chipmean,sentinel2,FSC on histogram (100),P10,treatment_0002,0.4876536478385241
chipmean,sentinel2,FSC on histogram (100),P10,treatment_0003,0.4158188044378194
chipmean,sentinel2,FSC on histogram (100),P10,treatment_0004,0.8663466311317043
chipmean,sentinel2,FSC on histogram (100),P10,treatment_0005,0.8929642447878071
chipmean,sentinel2,FSC on histogram (100),P10,treatment_0006,0.5020355174536036
chipmean,sentinel2,FSC on histogram (100),P10,treatment_0007,0.4266143690911106
chipmean,sentinel2,FSC on histogram (100),P10,treatment_0008,0.4471228904446484
chipmean,sentinel2,FSC on histogram (100),P10,treatment_0009,0.4802662528191871
chipmean,sentinel2,FSC on histogram (100),P10,treatment_0010,0.4231342660556493
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0001,2.680855896706366
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0002,1.1814925307893105
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0003,0.7251477645119259
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0004,0.5324595229137207
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0005,0.9106247811732596
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0006,1.144940298946309
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0007,1.392848553079394
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0008,0.7698527420148709
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0009,0.5198931658417255
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0010,0.4744111582069333
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0001,2.572509648293556
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0002,1.3683084786459538
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0003,0.4054732652326925
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0004,1.3075273828285543
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0005,0.6582126572527683
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0006,1.5082532772806494
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0007,1.8774265430900687
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0008,1.1025357625665655
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0009,0.7627055187260908
genfill,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0010,0.6263979585835365
genfill,sentinel1,FSC on hist+gram (115),P09,treatment_0001,1.3864277794027258
genfill,sentinel1,FSC on hist+gram (115),P09,treatment_0002,1.3112144688726974
genfill,sentinel1,FSC on hist+gram (115),P09,treatment_0003,0.9500164871869484
genfill,sentinel1,FSC on hist+gram (115),P09,treatment_0004,0.9428519147690648
genfill,sentinel1,FSC on hist+gram (115),P09,treatment_0005,1.135377989040115
genfill,sentinel1,FSC on hist+gram (115),P09,treatment_0006,0.966635614927382
genfill,sentinel1,FSC on hist+gram (115),P09,treatment_0007,1.294586027296893
genfill,sentinel1,FSC on hist+gram (115),P09,treatment_0008,1.1048794778403666
genfill,sentinel1,FSC on hist+gram (115),P09,treatment_0009,0.886935767909649
genfill,sentinel1,FSC on hist+gram (115),P09,treatment_0010,0.8211248696364755
genfill,sentinel1,FSC on hist+gram (115),P10,treatment_0001,1.5490171168189764
genfill,sentinel1,FSC on hist+gram (115),P10,treatment_0002,1.2986499251019357
genfill,sentinel1,FSC on hist+gram (115),P10,treatment_0003,0.9376926862648846
genfill,sentinel1,FSC on hist+gram (115),P10,treatment_0004,1.3283830328057444
genfill,sentinel1,FSC on hist+gram (115),P10,treatment_0005,0.9183254857810216
genfill,sentinel1,FSC on hist+gram (115),P10,treatment_0006,1.3898632849176895
genfill,sentinel1,FSC on hist+gram (115),P10,treatment_0007,1.1665271951451228
genfill,sentinel1,FSC on hist+gram (115),P10,treatment_0008,1.10131929717112
genfill,sentinel1,FSC on hist+gram (115),P10,treatment_0009,0.9782365075148036
genfill,sentinel1,FSC on hist+gram (115),P10,treatment_0010,0.9496149057279022
genfill,sentinel1,FSC on Gram (15),P09,treatment_0001,1.4666426582258056
genfill,sentinel1,FSC on Gram (15),P09,treatment_0002,1.3248973872285978
genfill,sentinel1,FSC on Gram (15),P09,treatment_0003,0.774246331472242
genfill,sentinel1,FSC on Gram (15),P09,treatment_0004,0.7763548812520963
genfill,sentinel1,FSC on Gram (15),P09,treatment_0005,0.9540291761157776
genfill,sentinel1,FSC on Gram (15),P09,treatment_0006,1.3183154183219168
genfill,sentinel1,FSC on Gram (15),P09,treatment_0007,1.3033991128823614
genfill,sentinel1,FSC on Gram (15),P09,treatment_0008,0.862021158651252
genfill,sentinel1,FSC on Gram (15),P09,treatment_0009,0.5866347824528897
genfill,sentinel1,FSC on Gram (15),P09,treatment_0010,0.5571029461657214
genfill,sentinel1,FSC on Gram (15),P10,treatment_0001,2.573908789635681
genfill,sentinel1,FSC on Gram (15),P10,treatment_0002,1.2459003025270443
genfill,sentinel1,FSC on Gram (15),P10,treatment_0003,0.4688901271335248
genfill,sentinel1,FSC on Gram (15),P10,treatment_0004,1.5707218476475269
genfill,sentinel1,FSC on Gram (15),P10,treatment_0005,0.5893659112319505
genfill,sentinel1,FSC on Gram (15),P10,treatment_0006,1.4775851897640726
genfill,sentinel1,FSC on Gram (15),P10,treatment_0007,1.967891149998472
genfill,sentinel1,FSC on Gram (15),P10,treatment_0008,1.1327165000592072
genfill,sentinel1,FSC on Gram (15),P10,treatment_0009,0.6312707896967419
genfill,sentinel1,FSC on Gram (15),P10,treatment_0010,0.7490363977766484
genfill,sentinel1,FSC on histogram (100),P09,treatment_0001,1.3760175088620108
genfill,sentinel1,FSC on histogram (100),P09,treatment_0002,1.3051017838507066
genfill,sentinel1,FSC on histogram (100),P09,treatment_0003,0.9667549525701116
genfill,sentinel1,FSC on histogram (100),P09,treatment_0004,0.9478632085827428
genfill,sentinel1,FSC on histogram (100),P09,treatment_0005,1.155367801526475
genfill,sentinel1,FSC on histogram (100),P09,treatment_0006,0.9397633822118068
genfill,sentinel1,FSC on histogram (100),P09,treatment_0007,1.2925811978775434
genfill,sentinel1,FSC on histogram (100),P09,treatment_0008,1.1194821156748682
genfill,sentinel1,FSC on histogram (100),P09,treatment_0009,0.908783552925748
genfill,sentinel1,FSC on histogram (100),P09,treatment_0010,0.836335235790626
genfill,sentinel1,FSC on histogram (100),P10,treatment_0001,1.511034544763856
genfill,sentinel1,FSC on histogram (100),P10,treatment_0002,1.2996490504028697
genfill,sentinel1,FSC on histogram (100),P10,treatment_0003,0.9662065341787924
genfill,sentinel1,FSC on histogram (100),P10,treatment_0004,1.3139468842347752
genfill,sentinel1,FSC on histogram (100),P10,treatment_0005,0.9375417403694644
genfill,sentinel1,FSC on histogram (100),P10,treatment_0006,1.3845620212478813
genfill,sentinel1,FSC on histogram (100),P10,treatment_0007,1.1280248594977589
genfill,sentinel1,FSC on histogram (100),P10,treatment_0008,1.0973961944171358
genfill,sentinel1,FSC on histogram (100),P10,treatment_0009,0.9996784765724184
genfill,sentinel1,FSC on histogram (100),P10,treatment_0010,0.9590563863300108
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0001,1.2680590509972611
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0002,3.87645899788054
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0003,0.4422351068677264
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0004,0.3153441071914666
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0005,1.0550062407327292
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0006,0.6237552153072542
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0007,2.7095818614480534
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0008,1.63193670039019
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0009,0.5173994976224467
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0010,1.1269225594988463
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0001,0.9215751985083406
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0002,0.9580920721904046
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0003,0.4065323702156727
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0004,0.5687502351025748
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0005,0.943638133394464
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0006,1.0044548412692866
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0007,0.8598006027253798
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0008,0.6126236682745639
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0009,0.3278872188071012
genfill,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0010,0.4839156384744548
genfill,sentinel2,FSC on hist+gram (115),P09,treatment_0001,1.0562854400661874
genfill,sentinel2,FSC on hist+gram (115),P09,treatment_0002,1.6199641534698304
genfill,sentinel2,FSC on hist+gram (115),P09,treatment_0003,0.7813294117711272
genfill,sentinel2,FSC on hist+gram (115),P09,treatment_0004,0.8672529233894882
genfill,sentinel2,FSC on hist+gram (115),P09,treatment_0005,1.2567886092976055
genfill,sentinel2,FSC on hist+gram (115),P09,treatment_0006,0.8090223003669768
genfill,sentinel2,FSC on hist+gram (115),P09,treatment_0007,1.7526110490324671
genfill,sentinel2,FSC on hist+gram (115),P09,treatment_0008,1.0517568057991666
genfill,sentinel2,FSC on hist+gram (115),P09,treatment_0009,0.8366163700069195
genfill,sentinel2,FSC on hist+gram (115),P09,treatment_0010,1.2211669520510924
genfill,sentinel2,FSC on hist+gram (115),P10,treatment_0001,0.9179357683713276
genfill,sentinel2,FSC on hist+gram (115),P10,treatment_0002,1.1186278576888122
genfill,sentinel2,FSC on hist+gram (115),P10,treatment_0003,0.6011478373822482
genfill,sentinel2,FSC on hist+gram (115),P10,treatment_0004,0.7923639493951196
genfill,sentinel2,FSC on hist+gram (115),P10,treatment_0005,1.0827536509634077
genfill,sentinel2,FSC on hist+gram (115),P10,treatment_0006,0.9778926368847284
genfill,sentinel2,FSC on hist+gram (115),P10,treatment_0007,1.05551578423305
genfill,sentinel2,FSC on hist+gram (115),P10,treatment_0008,0.7523570103404589
genfill,sentinel2,FSC on hist+gram (115),P10,treatment_0009,0.5660367467986595
genfill,sentinel2,FSC on hist+gram (115),P10,treatment_0010,0.6846710407571798
genfill,sentinel2,FSC on Gram (15),P09,treatment_0001,1.060256384869775
genfill,sentinel2,FSC on Gram (15),P09,treatment_0002,3.891829496488254
genfill,sentinel2,FSC on Gram (15),P09,treatment_0003,0.4627910948684904
genfill,sentinel2,FSC on Gram (15),P09,treatment_0004,0.3246846584975844
genfill,sentinel2,FSC on Gram (15),P09,treatment_0005,1.2500055606259322
genfill,sentinel2,FSC on Gram (15),P09,treatment_0006,0.709017559113831
genfill,sentinel2,FSC on Gram (15),P09,treatment_0007,2.748338670793668
genfill,sentinel2,FSC on Gram (15),P09,treatment_0008,1.397489425986239
genfill,sentinel2,FSC on Gram (15),P09,treatment_0009,0.4913885522817496
genfill,sentinel2,FSC on Gram (15),P09,treatment_0010,0.9485566251411603
genfill,sentinel2,FSC on Gram (15),P10,treatment_0001,0.7762765718185232
genfill,sentinel2,FSC on Gram (15),P10,treatment_0002,1.0847010172394098
genfill,sentinel2,FSC on Gram (15),P10,treatment_0003,0.4576288824829186
genfill,sentinel2,FSC on Gram (15),P10,treatment_0004,0.4443128436053505
genfill,sentinel2,FSC on Gram (15),P10,treatment_0005,0.9282264664955742
genfill,sentinel2,FSC on Gram (15),P10,treatment_0006,0.8655849466762895
genfill,sentinel2,FSC on Gram (15),P10,treatment_0007,0.9677488995747822
genfill,sentinel2,FSC on Gram (15),P10,treatment_0008,0.8401635811285549
genfill,sentinel2,FSC on Gram (15),P10,treatment_0009,0.3841106577572407
genfill,sentinel2,FSC on Gram (15),P10,treatment_0010,0.526400331694861
genfill,sentinel2,FSC on histogram (100),P09,treatment_0001,1.0622656878709245
genfill,sentinel2,FSC on histogram (100),P09,treatment_0002,1.556468685616225
genfill,sentinel2,FSC on histogram (100),P09,treatment_0003,0.8089463958818607
genfill,sentinel2,FSC on histogram (100),P09,treatment_0004,0.9184069987066836
genfill,sentinel2,FSC on histogram (100),P09,treatment_0005,1.2492093758788612
genfill,sentinel2,FSC on histogram (100),P09,treatment_0006,0.8202413298491268
genfill,sentinel2,FSC on histogram (100),P09,treatment_0007,1.6560164181009267
genfill,sentinel2,FSC on histogram (100),P09,treatment_0008,1.029634512052461
genfill,sentinel2,FSC on histogram (100),P09,treatment_0009,0.8643565869960098
genfill,sentinel2,FSC on histogram (100),P09,treatment_0010,1.253080107081925
genfill,sentinel2,FSC on histogram (100),P10,treatment_0001,0.9369327768745233
genfill,sentinel2,FSC on histogram (100),P10,treatment_0002,1.1221625642348017
genfill,sentinel2,FSC on histogram (100),P10,treatment_0003,0.6483307694685289
genfill,sentinel2,FSC on histogram (100),P10,treatment_0004,0.808673106640694
genfill,sentinel2,FSC on histogram (100),P10,treatment_0005,1.0863308263382014
genfill,sentinel2,FSC on histogram (100),P10,treatment_0006,1.014755477372876
genfill,sentinel2,FSC on histogram (100),P10,treatment_0007,1.0630600062834634
genfill,sentinel2,FSC on histogram (100),P10,treatment_0008,0.7466506855759114
genfill,sentinel2,FSC on histogram (100),P10,treatment_0009,0.579118662995378
genfill,sentinel2,FSC on histogram (100),P10,treatment_0010,0.7021941954975056
