cache,sensor,model,period,site,ratio
genfill,sentinel1,SCM (latent 980-d),P10,treatment_0007,1.7284376667926182
genfill,sentinel1,ASCM (latent 980-d),P10,treatment_0007,1.7284376667558772
genfill,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0007,1.638033513138036
genfill,sentinel1,SCM (latent 980-d),P09,treatment_0008,1.6366166081187699
genfill,sentinel1,ASCM (latent 980-d),P09,treatment_0008,1.6366166140179776
genfill,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0008,1.5223516865454554
genfill,sentinel1,SCM (latent 980-d),P10,treatment_0008,1.555021626303643
genfill,sentinel1,ASCM (latent 980-d),P10,treatment_0008,1.5550216270840413
genfill,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0008,1.4653476185672751
genfill,sentinel1,SCM (latent 980-d),P09,treatment_0009,1.5808411284333705
genfill,sentinel1,ASCM (latent 980-d),P09,treatment_0009,1.5808411319975693
genfill,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0009,1.4854878989731657
genfill,sentinel1,SCM (latent 980-d),P10,treatment_0009,1.527971944894973
genfill,sentinel1,ASCM (latent 980-d),P10,treatment_0009,1.5279719460746928
genfill,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0009,1.433095558488308
genfill,sentinel1,SCM (latent 980-d),P09,treatment_0010,1.5661027779917303
genfill,sentinel1,ASCM (latent 980-d),P09,treatment_0010,1.5661027779242376
genfill,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0010,1.4792766278335525
genfill,sentinel1,SCM (latent 980-d),P10,treatment_0010,1.5344836564488078
genfill,sentinel1,ASCM (latent 980-d),P10,treatment_0010,1.5344836642419706
genfill,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0010,1.4480315236841688
genfill,sentinel2,SCM (latent 980-d),P09,treatment_0001,0.8517052821162818
genfill,sentinel2,ASCM (latent 980-d),P09,treatment_0001,0.8517052838231532
genfill,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0001,0.8295165268376826
genfill,sentinel2,SCM (latent 980-d),P10,treatment_0001,1.1088907055383996
genfill,sentinel2,ASCM (latent 980-d),P10,treatment_0001,1.10889066221251
genfill,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0001,1.0458566488737278
genfill,sentinel2,SCM (latent 980-d),P09,treatment_0002,1.0165677174250551
genfill,sentinel2,ASCM (latent 980-d),P09,treatment_0002,1.0165677245346216
