fill,sensor,n,m,n_sites,N,h_median,h_interior,n_selected_mean,most_recent_only,oldest_only,n_eff_mean,mse_pre_mean,passes_nu,delta_rms_mean,placebo_sites,placebo_rmse,placebo_rmse_raw,placebo_rmse_ownmean,placebo_beats_ownmean,nc_sites,nc_rank1,nc_p_mean,nc_controls_mean
chipmean,sentinel1,2,2,12,7,0.7126427896022376,12,1.0,12,0,1.0,0.004289848893582192,0,0.23666506565907527,12.0,0.23097712859719285,0.267712198148157,0.23601995607956275,10.0,12,0,0.6363636363636364,1.1203703703703702
chipmean,sentinel1,2,3,12,6,0.7126427896022376,12,1.0,12,0,1.0,0.004157581710485384,0,0.23666506565907527,12.0,0.23097712859719285,0.267712198148157,0.23601995607956275,10.0,12,0,0.6363636363636364,1.1203703703703702
chipmean,sentinel1,2,4,12,5,0.7126427896022376,12,1.0,12,0,1.0,0.004040065361630602,0,0.23666506565907527,12.0,0.23097712859719285,0.267712198148157,0.23601995607956275,10.0,12,0,0.6363636363636364,1.1203703703703702
chipmean,sentinel1,2,5,12,4,0.7126427896022376,12,1.0,12,0,1.0,0.003937452913904423,0,0.23666506565907527,12.0,0.23097712859719285,0.267712198148157,0.23601995607956275,10.0,12,0,0.6363636363636364,1.1203703703703702
chipmean,sentinel1,2,6,12,3,0.7126427896022376,12,1.0,12,0,1.0,0.003850172437006713,0,0.23666506565907527,12.0,0.23097712859719285,0.267712198148157,0.23601995607956275,10.0,12,0,0.6363636363636364,1.1203703703703702
chipmean,sentinel1,2,7,12,2,0.7126427896022376,12,1.0,12,0,1.0,0.0037789292720283086,0,0.23666506565907527,,,,,,12,0,0.6363636363636364,1.1203703703703702
chipmean,sentinel1,2,8,12,1,0.7126427896022376,12,1.0,12,12,1.0,0.0037247101787678404,0,0.23666506565907527,,,,,,12,0,0.6363636363636364,1.1203703703703702
chipmean,sentinel1,3,2,12,6,0.7126427896022376,12,1.0,12,0,1.0,0.009327494255747153,0,0.2399154009150839,12.0,0.24800044757132655,0.30214538154628495,0.2451810143429878,2.0,12,0,0.6060606060606061,1.26005291005291
chipmean,sentinel1,3,3,12,5,0.7126427896022376,12,1.0,12,0,1.0,0.00905499684160121,0,0.2399154009150839,12.0,0.24800044757132655,0.30214538154628495,0.2451810143429878,2.0,12,0,0.6060606060606061,1.26005291005291
chipmean,sentinel1,3,4,12,4,0.7126427896022376,12,1.0,12,0,1.0,0.008815818662848288,0,0.2399154009150839,12.0,0.24800044757132655,0.30214538154628495,0.2451810143429878,2.0,12,0,0.6060606060606061,1.26005291005291
