fill,sensor,repr,M,estimator,role,perm,rmse_test,rmse_train,rel_l2_test,n_sites,C2,C3,lambda,lambda_flag
histfill,sentinel2,quantile,100,afsc,estimator,-,0.06986218397230204,0.07479994416337972,0.09271670967373183,10,10,7,1.0,interior
histfill,sentinel2,combined,115,equal_weight,reference,-,0.11771041773766955,0.11691633963188224,0.11115729019590193,10,7,0,,
histfill,sentinel2,combined,115,own_history_mean,reference,-,0.15997509680131405,0.08252380563107137,0.1502747121789387,10,0,3,,
histfill,sentinel2,combined,115,scm,estimator,-,0.09649223956010985,0.10247480431106774,0.0910301576759924,10,9,7,,
histfill,sentinel2,combined,115,afsc,estimator,-,0.09514644562153322,0.10166682474508534,0.08975691269305787,10,9,7,10.0,interior
histfill,sentinel2,block245,245,equal_weight,reference,-,0.1851371450569296,0.16863907450893628,0.25492931752911235,10,2,0,,
histfill,sentinel2,block245,245,own_history_mean,reference,-,0.13838922145825122,0.08546412408796909,0.18972198637150434,10,0,8,,
histfill,sentinel2,block245,245,scm,estimator,-,0.1813534815582943,0.16330873326286505,0.24965633938161752,10,2,8,,
histfill,sentinel2,block245,245,scm,estimator,B,0.16597466467531335,0.14557608893718907,0.22900316774656893,10,1,6,,
histfill,sentinel2,block245,245,scm,estimator,C,0.16151356563679906,0.1478318487466061,0.2227968312430138,10,2,7,,
histfill,sentinel2,block245,245,scm,estimator,D_min,0.1354683848036221,0.11414463191348775,0.1863513855636301,10,7,9,,
histfill,sentinel2,block245,245,scm,estimator,D_full,0.1329394035292703,0.11816820208102423,0.18311564254916685,10,8,10,,
histfill,sentinel2,block245,245,scm,estimator,E,0.13471051134456566,0.11848719906199057,0.1851230789104314,10,7,9,,
histfill,sentinel2,latent980,980,equal_weight,reference,-,0.2833823058586534,0.2428205112126478,0.37569190296764,10,0,0,,
histfill,sentinel2,latent980,980,own_history_mean,reference,-,0.20755624479448068,0.12419036361520908,0.27469305694531054,10,0,10,,
histfill,sentinel2,latent980,980,scm,estimator,-,0.2821589218373347,0.23997108413625878,0.3740606064603483,10,0,8,,
histfill,sentinel2,latent980,980,scm,estimator,B,0.2622194864673397,0.2131220403224683,0.34316990593658686,10,0,8,,
histfill,sentinel2,latent980,980,scm,estimator,C,0.2652245745425509,0.2225425902923194,0.34855795323044453,10,0,8,,
histfill,sentinel2,latent980,980,scm,estimator,D_min,0.20824822884751132,0.15389758723499436,0.27276745109528366,10,7,10,,
histfill,sentinel2,latent980,980,scm,estimator,D_full,0.22189204942095717,0.16562234508815327,0.29079779258305044,10,4,9,,
histfill,sentinel2,latent980,980,scm,estimator,E,0.21991183847481266,0.16636700324294665,0.2885740037560907,10,4,10,,
masked,sentinel2,chip_mean,5,equal_weight,reference,-,0.04765110341229506,0.11353863780750331,0.0676974059518192,10,8,0,,
masked,sentinel2,chip_mean,5,own_history_mean,reference,-,0.0909068145516141,0.13217497269534978,0.12779578594026395,10,0,2,,
masked,sentinel2,chip_mean,5,scm,estimator,-,0.04254788857409253,0.08608032585644121,0.06015532835151283,10,8,4,,
masked,sentinel2,chip_mean,5,perdim_scm,estimator,-,0.034901116500772295,0.07454737254133452,0.04942827957123162,10,10,7,,
masked,sentinel2,chip_mean,5,perdim_scm_demeaned,estimator,-,0.036309386269964286,0.06901817231292635,0.051498683009377,10,10,6,,
masked,sentinel2,chip_mean,5,perdim_scm_demeaned_std,estimator,-,0.036498316208319684,0.07598402544081405,0.05167055295485885,10,10,7,,
masked,sentinel2,chip_mean,5,scm_demeaned,estimator,-,0.0387102296188232,0.07788107862242696,0.054757815384051646,10,10,6,,
masked,sentinel2,chip_mean,5,scm_demeaned_std,estimator,-,0.03835777807944428,0.08980413451598415,0.05428266435437836,10,10,6,,
masked,sentinel2,gram,15,equal_weight,reference,-,0.05272385712917131,0.1050725775119791,0.10075910313685355,10,10,0,,
masked,sentinel2,gram,15,own_history_mean,reference,-,0.11586033375542568,0.12290869890865933,0.2181186986260759,10,0,0,,
