arm,sensor,treated,donor,n_matched
E,sentinel2,treatment_0006,counterfactual_0006_04,177
E,sentinel2,treatment_0006,counterfactual_0006_05,157
E,sentinel2,treatment_0007,counterfactual_0007_01,146
E,sentinel2,treatment_0007,counterfactual_0007_02,190
E,sentinel2,treatment_0007,counterfactual_0007_03,173
E,sentinel2,treatment_0007,counterfactual_0007_04,158
E,sentinel2,treatment_0007,counterfactual_0007_05,94
E,sentinel2,treatment_0008,counterfactual_0008_01,148
E,sentinel2,treatment_0008,counterfactual_0008_02,122
E,sentinel2,treatment_0008,counterfactual_0008_03,146
E,sentinel2,treatment_0008,counterfactual_0008_04,90
E,sentinel2,treatment_0008,counterfactual_0008_05,120
E,sentinel2,treatment_0009,counterfactual_0009_01,154
E,sentinel2,treatment_0009,counterfactual_0009_02,176
E,sentinel2,treatment_0009,counterfactual_0009_03,144
E,sentinel2,treatment_0009,counterfactual_0009_04,143
E,sentinel2,treatment_0009,counterfactual_0009_05,144
E,sentinel2,treatment_0010,counterfactual_0010_01,154
E,sentinel2,treatment_0010,counterfactual_0010_02,153
E,sentinel2,treatment_0010,counterfactual_0010_03,117
E,sentinel2,treatment_0010,counterfactual_0010_04,102
E,sentinel2,treatment_0010,counterfactual_0010_05,77
