fill,sensor,site,group,matched_treatment,n,m,T0,h,h_flag,ok,note,N,selected,n_selected,w,w_max,n_eff,mse_pre,passes_nu,nu,zeta,var_pre,single_block,mse_single,mse_allin,n_post_observed,pre_periods,post_periods,delta_rms_k1,delta_rms_k2,delta_rms_mean,placebo_T0,placebo_ok,placebo_h,placebo_h_flag,placebo_selected,placebo_w,placebo_n_eff,placebo_mse_pre,placebo_rmse_P09,placebo_rmse_P10,placebo_rmse,placebo_rmse_raw,placebo_rmse_ownmean,placebo_beats_ownmean,delta_rms_k3,placebo_rmse_P08
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.7943282347242817,interior,True,,7,1,1,1.0000,1.0,1.0,0.004266762900776133,False,8.775780850015102e-05,8.775780850015101e-07,0.08775780850015101,1,0.004266762900776133,0.004266762900776133,2,P09-P10,P11-P12,0.2458430480397677,0.28913675029708213,0.2674898991684249,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.005880749024296839,0.2440166892200997,0.26368619252319203,0.25385144087164585,0.29547877205735074,0.2556505144147314,True,,
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.5011872336272725,interior,True,,7,1,1,1.0000,1.0,1.0,0.005889971122695721,False,9.433112809585543e-05,9.433112809585544e-07,0.09433112809585543,1,0.005889971122695721,0.005889971122695721,2,P09-P10,P11-P12,0.21206396631344365,0.2786798605446244,0.24537191342903403,8,True,0.5011872336272725,interior,1,1.0000,1.0,0.008562990724101568,0.2476096046362347,0.2581119224536932,0.25286076354496395,0.2933530608137739,0.2494650523585931,False,,
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,0.6309573444801934,interior,True,,7,1,1,1.0000,1.0,1.0,0.004386547425103756,False,8.985877891180561e-05,8.985877891180561e-07,0.0898587789118056,1,0.004386547425103756,0.004386547425103756,2,P09-P10,P11-P12,0.20121918414575152,0.2519791460060204,0.22659916507588596,8,True,0.5011872336272725,interior,1,1.0000,1.0,0.006372380855761939,0.22256470232658104,0.22825042096234377,0.2254075616444624,0.2579311889128917,0.23318974501917872,True,,
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,0.7943282347242817,interior,True,,7,1,1,1.0000,1.0,1.0,0.00407540156102511,False,9.279347051996463e-05,9.279347051996463e-07,0.09279347051996463,1,0.00407540156102511,0.00407540156102511,2,P09-P10,P11-P12,0.1950350136161134,0.25470299699101934,0.22486900530356635,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.005407258220921531,0.2063225079818965,0.22122953786076416,0.21377602292133033,0.24601653035211746,0.22852909403877258,True,,
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,0.7943282347242817,interior,True,,7,1,1,1.0000,1.0,1.0,0.003964440876127087,False,8.773163111850815e-05,8.773163111850816e-07,0.08773163111850815,1,0.003964440876127087,0.003964440876127087,2,P09-P10,P11-P12,0.20615874468060422,0.26544003293414875,0.2357993888073765,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.005361584533242264,0.21972408586283784,0.24329669907809867,0.23151039247046826,0.2703439081405126,0.23648674624663063,True,,
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,0.6309573444801934,interior,True,,7,1,1,1.0000,1.0,1.0,0.004705794572645367,False,9.107946335829826e-05,9.107946335829828e-07,0.09107946335829827,1,0.004705794572645367,0.004705794572645367,2,P09-P10,P11-P12,0.21330238685073746,0.2682643173578605,0.24078335210429896,8,True,0.5011872336272725,interior,1,1.0000,1.0,0.007429047694289949,0.22422034122591547,0.24690621621159156,0.23556327871875352,0.267034148416412,0.24012264638678354,True,,
chipmean,sentinel1,treatment_0021,treatment,treatment_0021,2,2,10,0.6309573444801934,interior,True,,7,1,1,1.0000,1.0,1.0,0.00436079494793396,False,8.867287998727529e-05,8.867287998727529e-07,0.08867287998727529,1,0.00436079494793396,0.00436079494793396,2,P09-P10,P11-P12,0.21434427473153075,0.2752059945842567,0.24477513465789374,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.0059026297525765535,0.22486777932735744,0.2508034818825167,0.23783563060493706,0.28090933039308474,0.23724022864951674,False,,
chipmean,sentinel1,treatment_0022,treatment,treatment_0022,2,2,10,0.6309573444801934,interior,True,,7,1,1,1.0000,1.0,1.0,0.004413345635229939,False,9.03886297287936e-05,9.03886297287936e-07,0.09038862972879359,1,0.004413345635229939,0.004413345635229939,2,P09-P10,P11-P12,0.22012802073784188,0.2771724010639237,0.2486502109008828,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.005252209538263123,0.22281784875965255,0.25028131695233063,0.2365495828559916,0.2734186334268337,0.24061803796578587,True,,
chipmean,sentinel1,treatment_0023,treatment,treatment_0023,2,2,10,1.9952623149688797,interior,True,,7,1,1,1.0000,1.0,1.0,0.0036245299167216158,False,8.7590602191067e-05,8.759060219106701e-07,0.087590602191067,1,0.0036245299167216158,0.0036245299167216158,2,P09-P10,P11-P12,0.19641758803937145,0.2357532919746869,0.21608544000702917,8,True,0.5011872336272725,interior,1,1.0000,1.0,0.007305279574719702,0.2309658899594665,0.2137878433725133,0.2223768666659899,0.2577123598032984,0.2308614221947181,True,,
chipmean,sentinel1,treatment_0024,treatment,treatment_0024,2,2,10,1.0,interior,True,,7,1,1,1.0000,1.0,1.0,0.004160398560296494,False,8.970148171594812e-05,8.970148171594813e-07,0.08970148171594812,1,0.004160398560296494,0.004160398560296494,2,P09-P10,P11-P12,0.2226882130908899,0.2732736272110145,0.2479809201509522,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.0060531307226708315,0.2281927273504207,0.2374853843818412,0.23283905586613096,0.27917552433708626,0.24281179015562016,True,,
chipmean,sentinel1,treatment_0025,treatment,treatment_0025,2,2,10,1.0,interior,True,,7,1,1,1.0000,1.0,1.0,0.003667346607128615,False,8.945460038701058e-05,8.945460038701058e-07,0.08945460038701057,1,0.003667346607128615,0.003667346607128615,2,P09-P10,P11-P12,0.20843921605928092,0.2638231142751472,0.23613116516721405,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.005493744555102507,0.2143618902034607,0.23642056482930296,0.22539122751638183,0.2648584127541897,0.23137086101227147,True,,
chipmean,sentinel1,treatment_0027,treatment,treatment_0027,2,2,10,0.5011872336272725,interior,True,,7,1,1,1.0000,1.0,1.0,0.0039628525973025115,False,9.83876093436802e-05,9.83876093436802e-07,0.0983876093436802,1,0.0039628525973025115,0.0039628525973025115,2,P09-P10,P11-P12,0.1721684637728405,0.23872192249984883,0.20544519313634468,8,True,0.5011872336272725,interior,1,1.0000,1.0,0.004742543144713992,0.19140919434011858,0.21611824463039825,0.2037637194852584,0.22631450837033257,0.2058933345121508,True,,
