sensor,repr,cache,test,site,sd_ratio_hf_over_cm,H0_own_mean,H1_m3
sentinel2,latent980,chipmean,P09,treatment_0001,1.079459229596709,1.0143449344806668,1.4766672087023147
sentinel2,latent980,chipmean,P09,treatment_0002,1.079459229596709,1.0690688891447713,1.131005393909301
sentinel2,latent980,chipmean,P09,treatment_0003,1.079459229596709,0.752510328546121,0.819800104830168
sentinel2,latent980,chipmean,P09,treatment_0004,1.079459229596709,1.2282074153056863,1.3157160349725545
sentinel2,latent980,chipmean,P09,treatment_0005,1.079459229596709,1.0402817014960961,1.3287812881694447
sentinel2,latent980,chipmean,P09,treatment_0006,1.079459229596709,0.893519107215024,0.8509502363732143
sentinel2,latent980,chipmean,P09,treatment_0007,1.079459229596709,0.9569624282222805,0.9107291841901056
sentinel2,latent980,chipmean,P09,treatment_0008,1.079459229596709,0.8475702666374225,0.8228274602960186
sentinel2,latent980,chipmean,P09,treatment_0009,1.079459229596709,0.8506248839550861,0.7451091404734916
sentinel2,latent980,chipmean,P09,treatment_0010,1.079459229596709,1.262177925723428,1.2944847298140614
sentinel2,latent980,histfill,P09,treatment_0001,1.079459229596709,0.7872856264153355,0.800653155092855
sentinel2,latent980,histfill,P09,treatment_0002,1.079459229596709,1.1240144286524447,1.1057328652673617
sentinel2,latent980,histfill,P09,treatment_0003,1.079459229596709,0.6839669696583299,0.7390422975898462
sentinel2,latent980,histfill,P09,treatment_0004,1.079459229596709,1.3053355704416303,1.3345060659402594
sentinel2,latent980,histfill,P09,treatment_0005,1.079459229596709,0.9301207520059115,0.9788658544417772
sentinel2,latent980,histfill,P09,treatment_0006,1.079459229596709,0.817947682905828,0.7982457064861617
sentinel2,latent980,histfill,P09,treatment_0007,1.079459229596709,0.9488599130815251,0.9446277007641829
sentinel2,latent980,histfill,P09,treatment_0008,1.079459229596709,0.6568973970572237,0.6472708494229651
sentinel2,latent980,histfill,P09,treatment_0009,1.079459229596709,0.612497441893209,0.5547897710198725
sentinel2,latent980,histfill,P09,treatment_0010,1.079459229596709,0.6468828825824372,0.705842593798001
sentinel2,latent980,chipmean,P10,treatment_0001,1.072091261297655,1.058933619658939,1.0602743587504713
sentinel2,latent980,chipmean,P10,treatment_0002,1.072091261297655,1.0538362766314358,1.122034339814994
sentinel2,latent980,chipmean,P10,treatment_0003,1.072091261297655,0.8528252156254349,0.8482653548536417
sentinel2,latent980,chipmean,P10,treatment_0004,1.072091261297655,0.9454189577083011,1.0496800636615762
sentinel2,latent980,chipmean,P10,treatment_0005,1.072091261297655,0.9513326902735654,1.0239135606881888
sentinel2,latent980,chipmean,P10,treatment_0006,1.072091261297655,0.8730197251872288,0.9302575074923779
sentinel2,latent980,chipmean,P10,treatment_0007,1.072091261297655,0.9789663210753872,1.011766633197906
sentinel2,latent980,chipmean,P10,treatment_0008,1.072091261297655,1.0025338879059151,0.9317850918319385
sentinel2,latent980,chipmean,P10,treatment_0009,1.072091261297655,1.0608564739773978,0.9626191149414236
sentinel2,latent980,chipmean,P10,treatment_0010,1.072091261297655,1.1072973687554368,1.014734570184595
sentinel2,latent980,histfill,P10,treatment_0001,1.072091261297655,1.0081138348721048,0.9725515261563381
sentinel2,latent980,histfill,P10,treatment_0002,1.072091261297655,0.9786563990797973,0.9295301832917668
sentinel2,latent980,histfill,P10,treatment_0003,1.072091261297655,0.8103997364883334,0.823253552225466
sentinel2,latent980,histfill,P10,treatment_0004,1.072091261297655,0.8014374119599353,0.8703768898610913
sentinel2,latent980,histfill,P10,treatment_0005,1.072091261297655,0.8675070147746697,0.861153305513762
sentinel2,latent980,histfill,P10,treatment_0006,1.072091261297655,0.8117591391786695,0.669116636592405
sentinel2,latent980,histfill,P10,treatment_0007,1.072091261297655,0.9587510111528128,0.9260322639255304
sentinel2,latent980,histfill,P10,treatment_0008,1.072091261297655,0.9361233064790574,0.9260833678103321
sentinel2,latent980,histfill,P10,treatment_0009,1.072091261297655,1.011529416213018,0.9558917101704044
sentinel2,latent980,histfill,P10,treatment_0010,1.072091261297655,1.0277489881551392,1.0406111443274901
sentinel2,chip_mean,chipmean,P09,treatment_0001,0.5942828589972111,0.8132963402049226,2.001397176042083
sentinel2,chip_mean,chipmean,P09,treatment_0002,0.5942828589972111,0.42366525030768176,0.45107935904880087
sentinel2,chip_mean,chipmean,P09,treatment_0003,0.5942828589972111,0.8217699692087753,0.8920150174104431
sentinel2,chip_mean,chipmean,P09,treatment_0004,0.5942828589972111,0.8308324667063524,1.1899247918259543
sentinel2,chip_mean,chipmean,P09,treatment_0005,0.5942828589972111,0.7568818580614415,1.7271204250000103
sentinel2,chip_mean,chipmean,P09,treatment_0006,0.5942828589972111,0.5069375113810298,0.5532468515520627
sentinel2,chip_mean,chipmean,P09,treatment_0007,0.5942828589972111,0.6910553737220734,1.087581828760872
sentinel2,chip_mean,chipmean,P09,treatment_0008,0.5942828589972111,0.552039669706479,0.3412431231823233
sentinel2,chip_mean,chipmean,P09,treatment_0009,0.5942828589972111,0.5375520659432215,0.6369276879439761
sentinel2,chip_mean,chipmean,P09,treatment_0010,0.5942828589972111,2.136453333298418,1.763485133695321
sentinel2,chip_mean,histfill,P09,treatment_0001,0.5942828589972111,0.12129665912631225,0.22586599525125664
sentinel2,chip_mean,histfill,P09,treatment_0002,0.5942828589972111,0.2851984101738572,0.36508728900706733
sentinel2,chip_mean,histfill,P09,treatment_0003,0.5942828589972111,0.6425330892789499,0.5418174086093868
sentinel2,chip_mean,histfill,P09,treatment_0004,0.5942828589972111,0.6122354441138256,0.7338787815235734
sentinel2,chip_mean,histfill,P09,treatment_0005,0.5942828589972111,0.38538407985076717,0.6263703755192647
sentinel2,chip_mean,histfill,P09,treatment_0006,0.5942828589972111,0.3959351486740777,0.2316180347081804
sentinel2,chip_mean,histfill,P09,treatment_0007,0.5942828589972111,0.5979835074602806,0.6617670085786339
sentinel2,chip_mean,histfill,P09,treatment_0008,0.5942828589972111,0.21981543497920114,0.5137196501329548
sentinel2,chip_mean,histfill,P09,treatment_0009,0.5942828589972111,0.21961959668092068,0.41038629911043156
sentinel2,chip_mean,histfill,P09,treatment_0010,0.5942828589972111,0.10386418706383319,0.11540331796261538
sentinel2,chip_mean,chipmean,P10,treatment_0001,0.6057222787305292,0.5783862105871703,0.7925957124790355
sentinel2,chip_mean,chipmean,P10,treatment_0002,0.6057222787305292,1.1305797072378,1.4569224107382146
sentinel2,chip_mean,chipmean,P10,treatment_0003,0.6057222787305292,1.0563467734065954,0.6850932298374376
sentinel2,chip_mean,chipmean,P10,treatment_0004,0.6057222787305292,0.5624748470265789,0.7785796438902003
sentinel2,chip_mean,chipmean,P10,treatment_0005,0.6057222787305292,0.7625504022439338,0.7150735780872298
sentinel2,chip_mean,chipmean,P10,treatment_0006,0.6057222787305292,0.9332989647189405,0.7928604916232072
sentinel2,chip_mean,chipmean,P10,treatment_0007,0.6057222787305292,1.1105828605654366,1.7239462280235336
sentinel2,chip_mean,chipmean,P10,treatment_0008,0.6057222787305292,0.6922208637629296,0.6074431235308687
sentinel2,chip_mean,chipmean,P10,treatment_0009,0.6057222787305292,0.6426293279725308,0.4090074888223449
sentinel2,chip_mean,chipmean,P10,treatment_0010,0.6057222787305292,0.43283087602649606,1.2106706197670052
sentinel2,chip_mean,histfill,P10,treatment_0001,0.6057222787305292,0.5625652457583158,0.534933399871873
sentinel2,chip_mean,histfill,P10,treatment_0002,0.6057222787305292,1.0193991705187395,0.4316519116832799
sentinel2,chip_mean,histfill,P10,treatment_0003,0.6057222787305292,0.9463106536783599,0.9444031054759987
sentinel2,chip_mean,histfill,P10,treatment_0004,0.6057222787305292,0.5339483960245449,0.43245320773613694
sentinel2,chip_mean,histfill,P10,treatment_0005,0.6057222787305292,0.8721029004507997,0.7028269831613763
sentinel2,chip_mean,histfill,P10,treatment_0006,0.6057222787305292,0.8903236899458392,0.6566348456606945
sentinel2,chip_mean,histfill,P10,treatment_0007,0.6057222787305292,1.0217991183831001,0.42962252785290744
sentinel2,chip_mean,histfill,P10,treatment_0008,0.6057222787305292,0.6346823946593126,0.5774253853511887
sentinel2,chip_mean,histfill,P10,treatment_0009,0.6057222787305292,0.6662838622768977,0.5796461996251141
sentinel2,chip_mean,histfill,P10,treatment_0010,0.6057222787305292,0.5692089197092377,0.7120795830003489
sentinel2,gram,chipmean,P09,treatment_0001,0.5140200230100935,0.7001984601003741,1.9650172030845747
sentinel2,gram,chipmean,P09,treatment_0002,0.5140200230100935,0.4479044767213184,0.7311894607056528
sentinel2,gram,chipmean,P09,treatment_0003,0.5140200230100935,1.035990015783273,0.9896359099372515
sentinel2,gram,chipmean,P09,treatment_0004,0.5140200230100935,0.7820325923151733,0.9303833402509858
sentinel2,gram,chipmean,P09,treatment_0005,0.5140200230100935,0.7292396407088995,1.8205670942146597
sentinel2,gram,chipmean,P09,treatment_0006,0.5140200230100935,0.6489762982684729,1.2953989109369974
sentinel2,gram,chipmean,P09,treatment_0007,0.5140200230100935,0.7975573521790528,1.1661988901924567
sentinel2,gram,chipmean,P09,treatment_0008,0.5140200230100935,0.6147619028689453,0.2930211893907671
sentinel2,gram,chipmean,P09,treatment_0009,0.5140200230100935,0.698464341199404,0.6139161028531627
sentinel2,gram,chipmean,P09,treatment_0010,0.5140200230100935,2.2250372686616524,1.7375281964707614
sentinel2,gram,histfill,P09,treatment_0001,0.5140200230100935,0.1367523031555163,0.10721562359988826
sentinel2,gram,histfill,P09,treatment_0002,0.5140200230100935,0.3692371040356642,0.28254893003317233
sentinel2,gram,histfill,P09,treatment_0003,0.5140200230100935,0.7348208770937644,0.622568547246067
sentinel2,gram,histfill,P09,treatment_0004,0.5140200230100935,0.686652861005551,0.6969698686920586
sentinel2,gram,histfill,P09,treatment_0005,0.5140200230100935,0.42986506902761323,0.7151485193990842
sentinel2,gram,histfill,P09,treatment_0006,0.5140200230100935,0.4244127108598003,0.2707499066680849
sentinel2,gram,histfill,P09,treatment_0007,0.5140200230100935,0.606821132814228,0.6876326694874458
sentinel2,gram,histfill,P09,treatment_0008,0.5140200230100935,0.19615828295479035,0.606934766381782
sentinel2,gram,histfill,P09,treatment_0009,0.5140200230100935,0.2111184091070593,0.4322646900569192
sentinel2,gram,histfill,P09,treatment_0010,0.5140200230100935,0.10132377797793442,0.12897910357236883
sentinel2,gram,chipmean,P10,treatment_0001,0.5230603935068739,0.7972439337349121,0.9545708397840879
sentinel2,gram,chipmean,P10,treatment_0002,0.5230603935068739,1.4146267354144006,1.642357731110669
sentinel2,gram,chipmean,P10,treatment_0003,0.5230603935068739,1.295550311049267,1.0964087654205446
sentinel2,gram,chipmean,P10,treatment_0004,0.5230603935068739,0.6259101364359703,0.9843554832141636
sentinel2,gram,chipmean,P10,treatment_0005,0.5230603935068739,1.0597411514521002,1.1104234052434814
sentinel2,gram,chipmean,P10,treatment_0006,0.5230603935068739,1.1138114237563033,1.1305807384739543
sentinel2,gram,chipmean,P10,treatment_0007,0.5230603935068739,1.2686293084667095,1.8833343740667439
sentinel2,gram,chipmean,P10,treatment_0008,0.5230603935068739,0.8660715409956434,0.6879370553163816
sentinel2,gram,chipmean,P10,treatment_0009,0.5230603935068739,0.8233366163307179,0.39022560703558773
sentinel2,gram,chipmean,P10,treatment_0010,0.5230603935068739,0.5643004412125848,1.4343236897194742
sentinel2,gram,histfill,P10,treatment_0001,0.5230603935068739,0.6526971223183655,0.6374477745229234
sentinel2,gram,histfill,P10,treatment_0002,0.5230603935068739,1.1091431090344608,0.5260558168841748
sentinel2,gram,histfill,P10,treatment_0003,0.5230603935068739,1.0584257719171264,1.0215550608133683
sentinel2,gram,histfill,P10,treatment_0004,0.5230603935068739,0.4607560314887405,0.3098919780864955
sentinel2,gram,histfill,P10,treatment_0005,0.5230603935068739,0.9568199250057179,0.977846185997253
sentinel2,gram,histfill,P10,treatment_0006,0.5230603935068739,0.9260988574477346,0.7121796221988291
sentinel2,gram,histfill,P10,treatment_0007,0.5230603935068739,1.0734142634907544,0.5014493477046218
sentinel2,gram,histfill,P10,treatment_0008,0.5230603935068739,0.6478364428379225,0.6194726707541539
sentinel2,gram,histfill,P10,treatment_0009,0.5230603935068739,0.674168071463753,0.5816834699693032
sentinel2,gram,histfill,P10,treatment_0010,0.5230603935068739,0.5527046652761147,0.6877873349831132
