group,donor,weight_fsc,weight_afsc,lambda,lambda_at_bound,sum_w_fsc,sum_w_afsc,n_nonzero_fsc,n_negative_afsc,label,sensor,repr,method,T_0,treatment_site_id
4,5,0.0,-2.02185436284987e-08,1000000.0,False,1.0,1.0,3,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0004
5,1,0.0,-0.235875501045568,0.1,False,1.0,0.999999999999999,2,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0005
5,2,0.5629,0.727185655072238,0.1,False,1.0,0.999999999999999,2,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0005
5,3,0.0,0.0519663648668702,0.1,False,1.0,0.999999999999999,2,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0005
5,4,0.4371,0.516686787463776,0.1,False,1.0,0.999999999999999,2,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0005
5,5,0.0,-0.0599633063573168,0.1,False,1.0,0.999999999999999,2,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0005
5,1,0.0,-0.0927996727407265,0.316227766,False,1.0,1.0,2,1,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0005
5,2,0.5802,0.615473689417428,0.316227766,False,1.0,1.0,2,1,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0005
5,3,0.0,0.0164589397509219,0.316227766,False,1.0,1.0,2,1,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0005
5,4,0.4198,0.447870180698378,0.316227766,False,1.0,1.0,2,1,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0005
5,5,0.0,0.0129968628739976,0.316227766,False,1.0,1.0,2,1,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0005
6,1,0.18,0.225001423046727,0.01,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,3,treatment_0006
6,2,0.0,-0.104350297167471,0.01,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,3,treatment_0006
6,3,0.0,-0.0198253268244531,0.01,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,3,treatment_0006
6,4,0.82,0.882821540419366,0.01,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,3,treatment_0006
6,5,0.0,0.0163526605258316,0.01,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,3,treatment_0006
6,1,0.1406,0.379131558211264,1e-06,False,1.0,1.00000000001862,3,1,maskdrop,sentinel2,chip_mean,covmat,4,treatment_0006
6,2,0.0,-0.865992495919045,1e-06,False,1.0,1.00000000001862,3,1,maskdrop,sentinel2,chip_mean,covmat,4,treatment_0006
6,3,0.0,0.0926810809924064,1e-06,False,1.0,1.00000000001862,3,1,maskdrop,sentinel2,chip_mean,covmat,4,treatment_0006
6,4,0.344,0.317962546629991,1e-06,False,1.0,1.00000000001862,3,1,maskdrop,sentinel2,chip_mean,covmat,4,treatment_0006
6,5,0.5154,1.076217310104,1e-06,False,1.0,1.00000000001862,3,1,maskdrop,sentinel2,chip_mean,covmat,4,treatment_0006
7,1,0.0,0.138463339320356,0.01,False,1.0,1.0,1,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0007
7,2,0.0,0.136461248808488,0.01,False,1.0,1.0,1,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0007
7,3,1.0,1.44724061057684,0.01,False,1.0,1.0,1,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0007
7,4,0.0,-0.352776202077837,0.01,False,1.0,1.0,1,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0007
7,5,0.0,-0.369388996627848,0.01,False,1.0,1.0,1,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0007
7,1,0.0,0.488552951382722,0.00316227766,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0007
7,2,0.5572,0.506698895690375,0.00316227766,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0007
7,3,0.4428,0.981016154160071,0.00316227766,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0007
7,4,0.0,-0.498986749988241,0.00316227766,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0007
7,5,0.0,-0.477281251244923,0.00316227766,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0007
8,1,0.1506,0.150600000926234,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0008
8,2,0.1978,0.197800000924896,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0008
8,3,0.4291,0.429100000927382,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0008
8,4,0.0,-3.7022467046242605e-09,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0008
8,5,0.2225,0.222500000923734,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0008
8,1,0.0,-4.976735193628e-09,1000000.0,False,0.9999,0.9999,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0008
8,2,0.0349,0.0349000019371628,1000000.0,False,0.9999,0.9999,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0008
8,3,0.5303,0.53030000193606,1000000.0,False,0.9999,0.9999,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0008
8,4,0.0,-8.347923725874e-10,1000000.0,False,0.9999,0.9999,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0008
8,5,0.4347,0.434700001938305,1000000.0,False,0.9999,0.9999,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0008
9,1,0.0,0.0178379409130399,0.1,False,1.0,1.0,3,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0009
9,2,0.48,0.490778082093252,0.1,False,1.0,1.0,3,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0009
9,3,0.4029,0.442445528238852,0.1,False,1.0,1.0,3,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0009
9,4,0.1171,0.124416636255734,0.1,False,1.0,1.0,3,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0009
9,5,0.0,-0.0754781875008782,0.1,False,1.0,1.0,3,1,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0009
9,1,0.6764,0.67640000109837,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0009
9,2,0.0,-4.3821561975029205e-09,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0009
9,3,0.2273,0.227300001094132,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0009
9,4,0.0707,0.0707000010945402,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0009
9,5,0.0256,0.0256000010951135,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0009
10,1,0.7469,0.752553365309455,0.01,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0010
10,2,0.0,0.0308627144410174,0.01,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0010
10,3,0.0,-0.069788433211763,0.01,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0010
10,4,0.2531,0.604451422975299,0.01,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0010
10,5,0.0,-0.318079069514004,0.01,False,1.0,1.0,2,2,maskdrop,sentinel2,chip_mean,covmat,5,treatment_0010
