variant,sensor,treatment_site_id,period,latent_gap_norm,treated_latent_present,donors_present
paper,sentinel1,treatment_0009,P19,0.989012944354855,True,True
paper,sentinel1,treatment_0009,P20,0.9922640314792889,True,True
paper,sentinel1,treatment_0010,P11,1.0028795994319455,True,True
paper,sentinel1,treatment_0010,P12,0.9892449984520724,True,True
paper,sentinel1,treatment_0010,P13,0.9992147110356545,True,True
paper,sentinel1,treatment_0010,P14,1.004811017756356,True,True
paper,sentinel1,treatment_0010,P15,,True,False
paper,sentinel1,treatment_0010,P16,1.0030984571811403,True,True
paper,sentinel1,treatment_0010,P17,1.0082880057833528,True,True
paper,sentinel1,treatment_0010,P18,1.026121328094491,True,True
paper,sentinel1,treatment_0010,P19,1.0076331714481568,True,True
paper,sentinel1,treatment_0010,P20,0.9914326635653304,True,True
paper,sentinel2,treatment_0001,P11,1.0994776573307616,True,True
paper,sentinel2,treatment_0001,P12,1.1195882513943518,True,True
paper,sentinel2,treatment_0001,P13,0.9983252775047076,True,True
paper,sentinel2,treatment_0001,P14,0.9211822877866644,True,True
paper,sentinel2,treatment_0001,P15,,False,False
paper,sentinel2,treatment_0001,P16,1.067863816831768,True,True
paper,sentinel2,treatment_0001,P17,1.1047142057102468,True,True
paper,sentinel2,treatment_0001,P18,1.1439690821301933,True,True
paper,sentinel2,treatment_0001,P19,1.3146436684396043,True,True
paper,sentinel2,treatment_0001,P20,1.1298681040526768,True,True
paper,sentinel2,treatment_0002,P11,1.2170755542659453,True,True
paper,sentinel2,treatment_0002,P12,1.220680855143643,True,True
paper,sentinel2,treatment_0002,P13,1.1411159128183959,True,True
paper,sentinel2,treatment_0002,P14,1.2889400957642296,True,True
paper,sentinel2,treatment_0002,P15,,False,False
paper,sentinel2,treatment_0002,P16,1.2160737615322037,True,True
paper,sentinel2,treatment_0002,P17,1.2131944263986325,True,True
paper,sentinel2,treatment_0002,P18,1.1574988653035159,True,True
paper,sentinel2,treatment_0002,P19,1.3818624008820601,True,True
paper,sentinel2,treatment_0002,P20,1.3089044959676885,True,True
paper,sentinel2,treatment_0003,P11,0.9354686675325417,True,True
paper,sentinel2,treatment_0003,P12,0.9676309969192033,True,True
paper,sentinel2,treatment_0003,P13,0.9230300355022542,True,True
paper,sentinel2,treatment_0003,P14,0.9469528087947228,True,True
paper,sentinel2,treatment_0003,P15,,False,False
paper,sentinel2,treatment_0003,P16,1.107126334152057,True,True
paper,sentinel2,treatment_0003,P17,1.2344817301436768,True,True
paper,sentinel2,treatment_0003,P18,1.1998868527967197,True,True
paper,sentinel2,treatment_0003,P19,1.1304339799572605,True,True
paper,sentinel2,treatment_0003,P20,1.168484073686115,True,True
paper,sentinel2,treatment_0004,P11,1.2839713067854432,True,True
paper,sentinel2,treatment_0004,P12,1.25404293377849,True,True
paper,sentinel2,treatment_0004,P13,1.2556247981642912,True,True
paper,sentinel2,treatment_0004,P14,1.2423944598872387,True,True
paper,sentinel2,treatment_0004,P15,,True,False
paper,sentinel2,treatment_0004,P16,1.2307844306516165,True,True
paper,sentinel2,treatment_0004,P17,1.249135789971578,True,True
paper,sentinel2,treatment_0004,P18,1.3135158337501334,True,True
paper,sentinel2,treatment_0004,P19,1.266536603849107,True,True
paper,sentinel2,treatment_0004,P20,1.3978211896499717,True,True
paper,sentinel2,treatment_0005,P11,1.0937041911215093,True,True
paper,sentinel2,treatment_0005,P12,1.1175056233312717,True,True
paper,sentinel2,treatment_0005,P13,0.82269526115163,True,True
paper,sentinel2,treatment_0005,P14,1.09813659708548,True,True
paper,sentinel2,treatment_0005,P15,,True,False
