arm,sensor,treatment_site_id,counterfactual_site_id,rank,distance,n_shared_periods
main,sentinel2,treatment_0005,counterfactual_0004_03,3,8.899396649484617,8
main,sentinel2,treatment_0005,counterfactual_0006_04,4,9.761909220679001,8
main,sentinel2,treatment_0005,counterfactual_0007_01,5,9.96348843683332,8
main,sentinel2,treatment_0006,counterfactual_0009_01,1,9.543790889003967,8
main,sentinel2,treatment_0006,counterfactual_0007_02,2,9.645239531723007,8
main,sentinel2,treatment_0006,counterfactual_0007_05,3,9.752536114408057,8
main,sentinel2,treatment_0006,counterfactual_0002_04,4,9.83358979629983,8
main,sentinel2,treatment_0006,counterfactual_0002_02,5,9.847175154550733,8
main,sentinel2,treatment_0007,counterfactual_0005_01,1,8.015244365552094,8
main,sentinel2,treatment_0007,counterfactual_0003_04,2,9.882368190322689,8
main,sentinel2,treatment_0007,counterfactual_0005_04,3,10.208196952121735,8
main,sentinel2,treatment_0007,counterfactual_0007_04,4,10.4733164653124,8
main,sentinel2,treatment_0007,counterfactual_0001_05,5,10.545901730914945,8
main,sentinel2,treatment_0008,counterfactual_0005_05,1,9.2744651450709,8
main,sentinel2,treatment_0008,counterfactual_0010_05,2,9.280764475195818,8
main,sentinel2,treatment_0008,counterfactual_0003_05,3,9.45078813934538,8
main,sentinel2,treatment_0008,counterfactual_0007_01,4,9.887645368867265,8
main,sentinel2,treatment_0008,counterfactual_0002_04,5,10.340187467411717,8
main,sentinel2,treatment_0009,counterfactual_0008_03,1,5.939715893265678,8
main,sentinel2,treatment_0009,counterfactual_0005_02,2,6.344755479279684,8
main,sentinel2,treatment_0009,counterfactual_0004_05,3,7.034672099582346,8
main,sentinel2,treatment_0009,counterfactual_0005_03,4,7.247981233668028,8
main,sentinel2,treatment_0009,counterfactual_0009_03,5,7.680537545064902,8
main,sentinel2,treatment_0010,counterfactual_0004_04,1,6.280145402860604,8
main,sentinel2,treatment_0010,counterfactual_0006_03,2,8.645021215256405,8
main,sentinel2,treatment_0010,counterfactual_0002_02,3,9.45494049920725,8
main,sentinel2,treatment_0010,counterfactual_0003_03,4,9.855898505809183,8
main,sentinel2,treatment_0010,counterfactual_0006_01,5,9.889607038739994,8
