fill,sensor,site,group,matched_treatment,n,m,T0,h,h_flag,ok,note,N,selected,n_selected,w,w_max,n_eff,mse_pre,passes_nu,nu,zeta,var_pre,single_block,mse_single,mse_allin,n_post_observed,pre_periods,post_periods,delta_rms_k1,delta_rms_k2,delta_rms_mean,placebo_T0,placebo_ok,placebo_h,placebo_h_flag,placebo_selected,placebo_w,placebo_n_eff,placebo_mse_pre,placebo_rmse_P09,placebo_rmse_P10,placebo_rmse,placebo_rmse_raw,placebo_rmse_ownmean,placebo_beats_ownmean,delta_rms_k3,placebo_rmse_P08
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,2,10,0.7943282347242817,interior,True,,7,1,1,1.0000,1.0,1.0,0.004284711298060595,False,9.173049624717083e-05,9.173049624717083e-07,0.09173049624717082,1,0.004284711298060595,0.004284711298060595,2,P09-P10,P11-P12,0.24641570530696846,0.28905619987487946,0.267735952590924,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.005865756259950613,0.2447137846089492,0.26211993135407585,0.25341685798151253,0.29565922848476434,0.2556505144147314,True,,
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,2,10,0.5011872336272725,interior,True,,7,1,1,1.0000,1.0,1.0,0.005701192348228597,False,9.62757846571042e-05,9.627578465710422e-07,0.09627578465710421,1,0.005701192348228597,0.005701192348228597,2,P09-P10,P11-P12,0.21137285307258638,0.2782954938222721,0.24483417344742925,8,True,0.5011872336272725,interior,1,1.0000,1.0,0.008394813060910963,0.246211801690449,0.2564214884871864,0.2513166450888177,0.29141382949288996,0.2494650523585931,False,,
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,2,10,0.6309573444801934,interior,True,,7,1,1,1.0000,1.0,1.0,0.004400757279666424,False,9.769492385730265e-05,9.769492385730265e-07,0.09769492385730265,1,0.004400757279666424,0.004400757279666424,2,P09-P10,P11-P12,0.19983957391137933,0.2529559336965168,0.22639775380394805,8,True,0.5011872336272725,interior,1,1.0000,1.0,0.006371762483323574,0.22113482018786876,0.22784662577122436,0.22449072297954656,0.25681160114675733,0.23318974501917872,True,,
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,2,10,0.7943282347242817,interior,True,,7,1,1,1.0000,1.0,1.0,0.00414999724596836,False,9.632222275197609e-05,9.63222227519761e-07,0.09632222275197609,1,0.00414999724596836,0.00414999724596836,2,P09-P10,P11-P12,0.1935851341924835,0.2552666637223683,0.22442589895742587,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.005444890577785324,0.20657370589930157,0.2205682852911879,0.21357099559524473,0.2457862528652046,0.22852909403877258,True,,
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,2,10,0.7943282347242817,interior,True,,7,1,1,1.0000,1.0,1.0,0.00405201837010657,False,9.448634647677068e-05,9.448634647677068e-07,0.09448634647677068,1,0.00405201837010657,0.00405201837010657,2,P09-P10,P11-P12,0.2055975510824686,0.2661564779463753,0.23587701451442195,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.0054679765511970995,0.22068037507673624,0.24163473991817566,0.23115755749745595,0.2691862294609831,0.23648674624663063,True,,
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,2,10,0.6309573444801934,interior,True,,7,1,1,1.0000,1.0,1.0,0.00474271521271193,False,9.65303665765014e-05,9.65303665765014e-07,0.0965303665765014,1,0.00474271521271193,0.00474271521271193,2,P09-P10,P11-P12,0.21311342067024885,0.26877873150314097,0.2409460760866949,8,True,0.5011872336272725,interior,1,1.0000,1.0,0.007396545056662647,0.22380191733052107,0.24634538571505935,0.2350736515227902,0.2657282721311061,0.24012264638678354,True,,
chipmean,sentinel1,treatment_0021,treatment,treatment_0021,2,2,10,0.6309573444801934,interior,True,,7,1,1,1.0000,1.0,1.0,0.004367788455593412,False,9.292130116743302e-05,9.292130116743304e-07,0.09292130116743302,1,0.004367788455593412,0.004367788455593412,2,P09-P10,P11-P12,0.21437634599552022,0.2750318962308941,0.24470412111320716,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.005921355001991517,0.22460687686237074,0.24843073384984055,0.23651880535610564,0.27884776585966203,0.23724022864951674,True,,
chipmean,sentinel1,treatment_0022,treatment,treatment_0022,2,2,10,0.6309573444801934,interior,True,,7,1,1,1.0000,1.0,1.0,0.004454397315462652,False,9.45025382248226e-05,9.450253822482261e-07,0.0945025382248226,1,0.004454397315462652,0.004454397315462652,2,P09-P10,P11-P12,0.22076107824831442,0.2776266873596267,0.24919388280397056,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.005260086745080065,0.22276791195690673,0.2503176654050804,0.23654278868099354,0.27250624588023664,0.24061803796578587,True,,
chipmean,sentinel1,treatment_0023,treatment,treatment_0023,2,2,10,1.9952623149688797,interior,True,,7,1,1,1.0000,1.0,1.0,0.003703634157298865,False,9.258248133090554e-05,9.258248133090554e-07,0.09258248133090553,1,0.003703634157298865,0.003703634157298865,2,P09-P10,P11-P12,0.19521855993675774,0.2365037835500216,0.21586117174338967,8,True,0.5011872336272725,interior,1,1.0000,1.0,0.007380017702728926,0.23084534549651584,0.21184971075428116,0.22134752812539848,0.25675802561620675,0.2308614221947181,True,,
chipmean,sentinel1,treatment_0024,treatment,treatment_0024,2,2,10,1.0,interior,True,,7,1,1,1.0000,1.0,1.0,0.004210911108427135,False,9.685528507002201e-05,9.685528507002203e-07,0.09685528507002202,1,0.004210911108427135,0.004210911108427135,2,P09-P10,P11-P12,0.22293582024914538,0.2752786124116738,0.24910721633040958,8,True,0.6309573444801934,interior,1,1.0000,1.0,0.006099165657814593,0.22784985101241648,0.23737097634380316,0.2326104136781098,0.27893199933289536,0.24281179015562016,True,,
