site,sensor,magnitude_ours,magnitude_feature09
treatment_0001,sentinel1,1.3503972109730316,1.8006098935984562
treatment_0002,sentinel1,3.8180596457382543,1.4813362307319098
treatment_0003,sentinel1,3.350769562768106,2.721044722308185
treatment_0004,sentinel1,2.3755177922126083,1.9321413310606852
treatment_0005,sentinel1,1.489151649840213,0.6917855409296941
treatment_0006,sentinel1,3.1345520203235817,0.4468248358462957
treatment_0007,sentinel1,1.7831052380388652,0.22572543793131883
treatment_0008,sentinel1,1.8660327677595556,0.7150506475903687
treatment_0009,sentinel1,2.593712515548024,1.1449203297441262
treatment_0010,sentinel1,2.675657382874869,0.8515821129949429
treatment_0011,sentinel1,2.0019338873260755,1.3877051750248777
treatment_0012,sentinel1,2.557918456905859,1.2799050671846677
treatment_0013,sentinel1,1.4015009843560353,0.3589915707829439
treatment_0014,sentinel1,0.9829351914725195,0.6143517002854159
treatment_0015,sentinel1,2.8625734074326674,2.351862803022863
treatment_0016,sentinel1,1.3486529792143243,2.8110710497310665
treatment_0017,sentinel1,4.777957533024191,3.2575020949215463
treatment_0018,sentinel1,4.342383633712976,2.6749383412810688
treatment_0019,sentinel1,2.6319226059728122,1.2609391636494047
treatment_0020,sentinel1,2.4400428108514647,1.4059345442125983
treatment_0021,sentinel1,0.5871934877915947,1.5743182629095887
treatment_0022,sentinel1,1.1228875115951336,1.3688213086221597
treatment_0023,sentinel1,1.9628544456634895,1.5232482747839915
treatment_0024,sentinel1,3.9920261345723858,0.6553458403984566
treatment_0025,sentinel1,1.6445454045608285,1.7254165856857022
treatment_0027,sentinel1,4.174098092696567,2.496780703814903
treatment_0001,sentinel2,24.675779949016743,2.6324884642811783
treatment_0002,sentinel2,29.764787152794135,1.8493007708370715
treatment_0003,sentinel2,24.787546651048768,2.7230376774650993
treatment_0004,sentinel2,21.267461678774463,6.979263514026629
treatment_0005,sentinel2,26.539903390332952,1.1137283423161577
treatment_0006,sentinel2,27.660706706658303,4.548974432054659
treatment_0007,sentinel2,25.057080505163512,2.3881175888714914
treatment_0008,sentinel2,26.7203785577972,2.4758290914256733
treatment_0009,sentinel2,25.47238673603412,1.1732856230537196
treatment_0010,sentinel2,23.29761439779964,1.5244811231658457
treatment_0011,sentinel2,26.325614343529466,2.552120720668908
treatment_0012,sentinel2,24.956830956851178,2.2377599933790604
treatment_0013,sentinel2,26.361084077012887,2.1099071629728607
treatment_0014,sentinel2,25.585744725226217,1.5890434077358213
treatment_0015,sentinel2,26.591107269347724,2.3617752029318706
treatment_0016,sentinel2,24.50393793918208,3.2052356209059103
treatment_0017,sentinel2,30.99261794712485,1.1561302634426383
treatment_0018,sentinel2,30.76333043538074,3.016919958878569
treatment_0019,sentinel2,29.92861700725894,1.9401172425615947
treatment_0020,sentinel2,25.83359085947605,2.706352119189405
treatment_0021,sentinel2,26.043432466551035,2.4638916390555488
treatment_0022,sentinel2,28.527142667576786,2.6938547163056494
treatment_0023,sentinel2,27.042542093517206,1.16782976426573
treatment_0024,sentinel2,31.40571491136007,1.6755401191197823
treatment_0025,sentinel2,29.545556866270292,2.544735915678468
treatment_0027,sentinel2,32.777137850948876,4.02584520888663
