treatment_site_id,sensor,period,band,decoded,collab09_cf,err
treatment_0003,sentinel2,before,NDWI,-0.46583059430122375,-0.7523353099822998,0.28650471568107605
treatment_0004,sentinel2,before,B2,0.09734919667243958,0.035086993128061295,0.06226220354437828
treatment_0004,sentinel2,before,B3,0.12514621019363403,0.053579363971948624,0.07156684622168541
treatment_0004,sentinel2,before,B4,0.11587382107973099,0.03305322676897049,0.0828205943107605
treatment_0004,sentinel2,before,B8,0.36318448185920715,0.3411747217178345,0.02200976014137268
treatment_0004,sentinel2,before,B11,0.20431242883205414,0.18621107935905457,0.018101349472999573
treatment_0004,sentinel2,before,B12,0.14570312201976776,0.08287014812231064,0.06283297389745712
treatment_0004,sentinel2,before,NDVI,0.5162312984466553,0.8087942004203796,-0.29256290197372437
treatment_0004,sentinel2,before,NDWI,-0.4874352514743805,-0.712325394153595,0.22489014267921448
treatment_0005,sentinel2,before,B2,0.1058308333158493,0.03700440004467964,0.06882643327116966
treatment_0005,sentinel2,before,B3,0.12967617809772491,0.05890769138932228,0.07076848670840263
treatment_0005,sentinel2,before,B4,0.1172441765666008,0.03959796950221062,0.07764620706439018
treatment_0005,sentinel2,before,B8,0.3619422912597656,0.34514233469963074,0.016799956560134888
treatment_0005,sentinel2,before,B11,0.2068653553724289,0.20573334395885468,0.0011320114135742188
treatment_0005,sentinel2,before,B12,0.14953337609767914,0.09772288799285889,0.05181048810482025
treatment_0005,sentinel2,before,NDVI,0.5106365084648132,0.796255350112915,-0.2856188416481018
treatment_0005,sentinel2,before,NDWI,-0.4724337160587311,-0.7085785865783691,0.23614487051963806
treatment_0006,sentinel2,before,B2,0.10530988872051239,0.028929999098181725,0.07637988962233067
treatment_0006,sentinel2,before,B3,0.13251928985118866,0.04871736466884613,0.08380192518234253
treatment_0006,sentinel2,before,B4,0.12069354951381683,0.029859330505132675,0.09083421900868416
treatment_0006,sentinel2,before,B8,0.364287793636322,0.3647306263446808,-0.00044283270835876465
treatment_0006,sentinel2,before,B11,0.207916721701622,0.17974357306957245,0.02817314863204956
treatment_0006,sentinel2,before,B12,0.1494291126728058,0.07853340357542038,0.0708957090973854
treatment_0006,sentinel2,before,NDVI,0.5022596120834351,0.84684818983078,-0.34458857774734497
treatment_0006,sentinel2,before,NDWI,-0.4664968252182007,-0.7626422047615051,0.29614537954330444
treatment_0007,sentinel2,before,B2,0.10891536623239517,0.03544782102108002,0.07346754521131516
treatment_0007,sentinel2,before,B3,0.13538432121276855,0.05532056838274002,0.08006375283002853
treatment_0007,sentinel2,before,B4,0.12596465647220612,0.03333194926381111,0.092632707208395
