treatment_site_id,VV,VH,VV_minus_VH,B2,B3,B4,B8,B11,B12,NDVI,NDWI
treatment_0001,1.3772573471069336,1.5357155799865723,-0.15845942497253418,0.038395761512219906,0.03587750904262066,0.03209417685866356,-0.011237666010856628,-0.04796699434518814,-0.0017365142703056335,-0.12843716144561768,0.14225737750530243
treatment_0002,0.3623371124267578,0.19042396545410156,0.17191314697265625,0.045563954859972,0.04810676537454128,0.0468477476388216,0.006062835454940796,-0.02420353889465332,0.017526447772979736,-0.17990756034851074,0.17976312339305878
treatment_0003,-0.2385878562927246,-0.18211603164672852,-0.05647110939025879,0.051551311276853085,0.05650173872709274,0.05306890793144703,-0.006197705864906311,0.004821762442588806,0.03922991454601288,-0.21969729661941528,0.2247648686170578
treatment_0004,-0.06721067428588867,-0.10567283630371094,0.03846335411071777,0.04144775215536356,0.04879395477473736,0.05086064152419567,0.017781123518943787,-0.0005508959293365479,0.031210780143737793,-0.18292772769927979,0.16128389537334442
treatment_0005,-0.11396932601928711,-0.2303323745727539,0.1163625717163086,0.047299028374254704,0.04765183851122856,0.04619283974170685,0.005935415625572205,-0.017615213990211487,0.020308762788772583,-0.18402457237243652,0.17880482971668243
treatment_0006,-0.5841221809387207,-0.5495343208312988,-0.03458690643310547,0.05428873188793659,0.0602087639272213,0.05394827201962471,0.019893601536750793,0.004259467124938965,0.03356537967920303,-0.19799590110778809,0.21768274903297424
treatment_0007,-0.1041421890258789,-0.23630332946777344,0.13216090202331543,0.05375661700963974,0.05780460871756077,0.060298122465610504,0.007067739963531494,-0.012759357690811157,0.03235755115747452,-0.23777858912944794,0.21526962518692017
treatment_0008,0.6599345207214355,0.5080041885375977,0.1519298553466797,0.04825980681926012,0.052073752507567406,0.04756771959364414,0.015533655881881714,-0.029130324721336365,0.012853141874074936,-0.17796820402145386,0.18555140495300293
treatment_0009,0.15970849990844727,0.36484813690185547,-0.2051398754119873,0.04517739173024893,0.051160162314772606,0.053015926852822304,0.015525341033935547,-0.017651915550231934,0.02686314657330513,-0.20297223329544067,0.18502041697502136
treatment_0010,0.3460845947265625,0.13814258575439453,0.20794153213500977,0.051836080849170685,0.052965596318244934,0.05459023453295231,0.02593185007572174,-0.01680680364370346,0.024777758866548538,-0.19778457283973694,0.17934288084506989
