sensor,treatment_site_id,counterfactual_site_id,control_rank,match_quality,matching_score
sentinel1,treatment_0007,counterfactual_0015_06,1,tokenizer_latent_knn,12.06619930267334
sentinel1,treatment_0007,counterfactual_0008_01,2,tokenizer_latent_knn,12.398235321044922
sentinel1,treatment_0007,counterfactual_0012_03,3,tokenizer_latent_knn,12.48537540435791
sentinel1,treatment_0007,counterfactual_0012_05,4,tokenizer_latent_knn,12.541138648986816
sentinel1,treatment_0007,counterfactual_0010_02,5,tokenizer_latent_knn,12.565008163452148
sentinel1,treatment_0007,counterfactual_0013_01,6,tokenizer_latent_knn,12.574629783630371
sentinel1,treatment_0007,counterfactual_0006_05,7,tokenizer_latent_knn,12.600153923034668
sentinel1,treatment_0007,counterfactual_0021_09,8,tokenizer_latent_knn,12.607942581176758
sentinel1,treatment_0007,counterfactual_0021_08,9,tokenizer_latent_knn,12.609976768493652
sentinel1,treatment_0007,counterfactual_0003_02,10,tokenizer_latent_knn,12.61234188079834
sentinel1,treatment_0008,counterfactual_0015_08,1,tokenizer_latent_knn,12.193982124328613
sentinel1,treatment_0008,counterfactual_0014_07,2,tokenizer_latent_knn,12.23858642578125
sentinel1,treatment_0008,counterfactual_0006_06,3,tokenizer_latent_knn,12.271698951721191
sentinel1,treatment_0008,counterfactual_0025_09,4,tokenizer_latent_knn,12.406975746154785
sentinel1,treatment_0008,counterfactual_0007_07,5,tokenizer_latent_knn,12.464674949645996
sentinel1,treatment_0008,counterfactual_0019_10,6,tokenizer_latent_knn,12.50133991241455
sentinel1,treatment_0008,counterfactual_0020_05,7,tokenizer_latent_knn,12.508469581604004
sentinel1,treatment_0008,counterfactual_0024_02,8,tokenizer_latent_knn,12.533395767211914
sentinel1,treatment_0008,counterfactual_0012_04,9,tokenizer_latent_knn,12.537731170654297
sentinel1,treatment_0008,counterfactual_0012_08,10,tokenizer_latent_knn,12.54774284362793
sentinel1,treatment_0009,counterfactual_0006_08,1,tokenizer_latent_knn,12.464146614074707
sentinel1,treatment_0009,counterfactual_0003_02,2,tokenizer_latent_knn,12.495450019836426
sentinel1,treatment_0009,counterfactual_0015_09,3,tokenizer_latent_knn,12.56057357788086
sentinel1,treatment_0009,counterfactual_0016_09,4,tokenizer_latent_knn,12.620635986328125
sentinel1,treatment_0009,counterfactual_0022_04,5,tokenizer_latent_knn,12.63058090209961
sentinel1,treatment_0009,counterfactual_0022_03,6,tokenizer_latent_knn,12.632844924926758
sentinel1,treatment_0009,counterfactual_0015_08,7,tokenizer_latent_knn,12.677122116088867
